Q (Ang^-1), RMC, Data
   1.9609465483439075E-320  ,    6.3436806155680277E-266  ,    1.9609465483439075E-320
  0.46824703000000001       ,  -0.11361752915361896       ,  -0.67645976659789175     
  0.49828223050676884       ,  -0.25328325691944370       ,  -0.63785289907766130     
  0.52831743101353767       ,  -0.34994880546234780       ,  -0.61020097948485164     
  0.55835263152030645       ,  -0.40486035303856283       ,  -0.59309750692659946     
  0.58838783202707534       ,  -0.42078278731289404       ,  -0.58571342249107317     
  0.61842303253384423       ,  -0.40180630020157171       ,  -0.58684503261829690     
  0.64845823304061301       ,  -0.35310356738571846       ,  -0.59497591454770560     
  0.67849343354738179       ,  -0.28065011990374195       ,  -0.60834979923090216     
  0.70852863405415067       ,  -0.19092187577520425       ,  -0.62505103051859934     
  0.73856383456091956       ,   -9.0584460209571060E-002  ,  -0.64308896698990770     
  0.76859903506768834       ,    1.3811114100589092E-002  ,  -0.66048263108233274     
  0.79863423557445712       ,   0.11611259151377325       ,  -0.67534201744811273     
  0.82866943608122601       ,   0.21081803069050997       ,  -0.68594273888093682     
  0.85870463658799490       ,   0.29328432796736548       ,  -0.69079109650624471     
  0.88873983709476367       ,   0.35988467786325118       ,  -0.68867718762740582     
  0.91877503760153245       ,   0.40810968062788322       ,  -0.67871428106016363     
  0.94881023810830134       ,   0.43660972285114852       ,  -0.66036336388673400     
  0.97884543861507012       ,   0.44517920068024608       ,  -0.63344246145693983     
   1.0088806391218390       ,   0.43468597841009016       ,  -0.59812102025578506     
   1.0389158396286078       ,   0.40695203996798257       ,  -0.55490028870035180     
   1.0689510401353766       ,   0.36459347540584580       ,  -0.50458120500183101     
   1.0989862406421453       ,   0.31082964959089182       ,  -0.44822177948657532     
   1.1290214411489143       ,   0.24927255346499275       ,  -0.38708632242722557     
   1.1590566416556833       ,   0.18370789723275924       ,  -0.32258910511971656     
   1.1890918421624521       ,   0.11787945893148254       ,  -0.25623514609736286     
   1.2191270426692209       ,    5.5287571722582939E-002  ,  -0.18956078729072229     
   1.2491622431759897       ,   -9.8853081486306163E-004  ,  -0.12407657443588928     
   1.2791974436827585       ,   -4.8436413615582187E-002  ,   -6.1214695786360268E-002
   1.3092326441895272       ,   -8.5218066374094348E-002  ,   -2.2828818018425521E-003
   1.3392678446962960       ,  -0.11023556639228194       ,    5.1573751664995574E-002
   1.3693030452030650       ,  -0.12315323528283084       ,    9.9401898292132237E-002
   1.3993382457098340       ,  -0.12437709014559122       ,   0.14045975822085191     
   1.4293734462166028       ,  -0.11499460613596725       ,   0.17422717591904052     
   1.4594086467233716       ,   -9.6679784406213762E-002  ,   0.20040660194577914     
   1.4894438472301403       ,   -7.1570160978358693E-002  ,   0.21891565386967085     
   1.5194790477369091       ,   -4.2123622566356815E-002  ,   0.22987237521238779     
   1.5495142482436779       ,   -1.0963663136638246E-002  ,   0.23357453397847744     
   1.5795494487504467       ,    1.9278005335869462E-002  ,   0.23047445690414364     
   1.6095846492572159       ,    4.6112781526819628E-002  ,   0.22115096004722890     
   1.6396198497639847       ,    6.7332402918916526E-002  ,   0.20627991385876368     
   1.6696550502707534       ,    8.1125108314765340E-002  ,   0.18660487918068905     
   1.6996902507775222       ,    8.6165181199290064E-002  ,   0.16290908143461358     
   1.7297254512842910       ,    8.1671981569233248E-002  ,   0.13598976843476307     
   1.7597606517910598       ,    6.7436386346943558E-002  ,   0.10663573969591023     
   1.7897958522978286       ,    4.3814419126894252E-002  ,    7.5608559734929803E-002
   1.8198310528045973       ,    1.1689656139558798E-002  ,    4.3627692500930022E-002
   1.8498662533113666       ,   -2.7592349492104890E-002  ,    1.1359535379321181E-002
   1.8799014538181353       ,   -7.2312964085937737E-002  ,   -2.0589896224497889E-002
   1.9099366543249041       ,  -0.12048691594695085       ,   -5.1679067195374066E-002
   1.9399718548316729       ,  -0.16997975299168963       ,   -8.1432370629360554E-002
   1.9700070553384417       ,  -0.21862941363635563       ,  -0.10943956959133734     
   2.0000422558452104       ,  -0.26436503197542333       ,  -0.13535389808491749     
   2.0300774563519792       ,  -0.30531650018880757       ,  -0.15888945450595654     
   2.0601126568587480       ,  -0.33990905720334902       ,  -0.17981844195910293     
   2.0901478573655172       ,  -0.36693821009626193       ,  -0.19796869340171649     
   2.1201830578722860       ,  -0.38562155630883960       ,  -0.21322177698461456     
   2.1502182583790548       ,  -0.39562548288955646       ,  -0.22551182078154935     
   2.1802534588858236       ,  -0.39706619047886682       ,  -0.23482503931268894     
   2.2102886593925923       ,  -0.39048594047667767       ,  -0.24119979934796631     
   2.2403238598993611       ,  -0.37680677352501213       ,  -0.24472694058548117     
   2.2703590604061299       ,  -0.35726512402051669       ,  -0.24554997707676707     
   2.3003942609128987       ,  -0.33333169875576873       ,  -0.24386475426820678     
   2.3304294614196679       ,  -0.30662165287539533       ,  -0.23991812783663280     
   2.3604646619264367       ,  -0.27880045509097368       ,  -0.23400526456356074     
   2.3904998624332054       ,  -0.25149087662377628       ,  -0.22646523964961868     
   2.4205350629399742       ,  -0.22618627287104515       ,  -0.21767471356814236     
   2.4505702634467430       ,  -0.20417477867898137       ,  -0.20803960677748504     
   2.4806054639535118       ,  -0.18647824788809594       ,  -0.19798484244023995     
   2.5106406644602806       ,  -0.17380878844912229       ,  -0.18794238461032403     
   2.5406758649670498       ,  -0.16654463788908741       ,  -0.17833795056797183     
   2.5707110654738186       ,  -0.16472595748518401       ,  -0.16957690985995305     
   2.6007462659805873       ,  -0.16806996569223795       ,  -0.16202998896985130     
