12.45	0.142661	   
12.5	0.138699	   
12.55	0.132723	   
12.6	0.126119	   
12.65	0.119231	   
12.7	0.112055	   
12.75	0.104223	   
12.8	0.096095	   
12.85	0.08767	   
12.9	0.078937	   
12.95	0.069905	   
13	0.060565	   
13.05	0.049697	   
13.1	0.036971	   
13.15	0.023884	   
13.2	0.0111	   
13.25	0.001391	   
13.3	-0.00861	   
13.35	-0.01891	   
13.4	-0.02952	   
13.45	-0.04042	   
13.5	-0.05036	   
13.55	-0.05351	   
13.6	-0.05683	   
13.65	-0.06032	   
13.7	-0.06398	   
13.75	-0.06597	   
13.8	-0.06761	   
13.85	-0.06939	   
13.9	-0.07129	   
13.95	-0.07437	   
14	-0.07898	   
14.05	-0.08377	   
14.1	-0.08873	   
14.15	-0.09345	   
14.2	-0.09293	   
14.25	-0.09249	   
14.3	-0.09214	   
14.35	-0.09188	   
14.4	-0.09159	   
14.45	-0.09081	   
14.5	-0.09011	   
14.55	-0.08949	   
14.6	-0.08894	   
14.65	-0.08849	   
14.7	-0.08494	   
14.75	-0.08024	   
14.8	-0.07556	   
14.85	-0.07089	   
14.9	-0.06625	   
14.95	-0.06242	   
15	-0.06059	   
15.05	-0.05881	   
15.1	-0.0571	   
15.15	-0.05543	   
15.2	-0.0527	   
15.25	-0.04828	   
15.3	-0.04386	   
15.35	-0.03947	   
15.4	-0.0351	   
15.45	-0.03074	   
15.5	-0.02873	   
15.55	-0.0269	   
15.6	-0.0251	   
15.65	-0.02336	   
15.7	-0.02169	   
15.75	-0.01889	   
15.8	-0.01504	   
15.85	-0.01123	   
15.9	-0.00742	   
15.95	-0.00365	   
16	0.001919	   
16.05	0.008587	   
16.1	0.015264	   
16.15	0.021958	   
16.2	0.028675	   
16.25	0.034899	   
16.3	0.038912	   
16.35	0.042903	   
16.4	0.046879	   
16.45	0.050825	   
16.5	0.054763	   
16.55	0.053747	   
16.6	0.051009	   
16.65	0.048167	   
16.7	0.045221	   
16.75	0.04217	   
16.8	0.042304	   
16.85	0.042947	   
16.9	0.043523	   
16.95	0.044047	   
17	0.04451	   
17.05	0.043284	   
17.1	0.03961	   
17.15	0.03583	   
17.2	0.031929	   
17.25	0.027928	   
17.3	0.017824	   
17.35	0.001778	   
17.4	-0.01451	   
17.45	-0.03106	   
17.5	-0.03711	   
17.55	-0.03851	   
17.6	-0.03999	   
17.65	-0.04152	   
17.7	-0.04314	   
17.75	-0.05203	   
17.8	-0.06291	   
17.85	-0.07397	   
17.9	-0.08521	   
17.95	-0.09581	   
18	-0.10555	   
18.05	-0.11544	   
18.1	-0.1255	   
18.15	-0.13571	   
18.2	-0.1416	   
18.25	-0.1437	   
18.3	-0.14587	   
18.35	-0.1481	   
18.4	-0.1504	   
18.45	-0.15285	   
18.5	-0.15608	   
18.55	-0.15938	   
18.6	-0.16276	   
18.65	-0.16623	   
18.7	-0.16816	   
18.75	-0.16365	   
18.8	-0.15914	   
18.85	-0.15462	   
18.9	-0.15008	   
18.95	-0.14554	   
19	-0.13459	   
