Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
152600.989      437972      490864
152612.985     1104430     1237603
152624.980     1755786     1966508
152636.995     2519624     2822521
152648.985     3163691     3544945
152700.973     3800125     4259756
152712.981     4524527     5073870
152724.973     5101493     5721071
152736.983     5836320     6545601
152748.980     6652712     7463013
152800.980     7347447     8240730
152812.981     8252760     9256006
152824.977     9101899    10209578
152836.973     9713790    10896696
152848.979    10437320    11704980
152900.980    11123741    12475838
152912.975    11700243    13123091
152924.973    12422191    13931978
152936.981    13027441    14610811
152948.975    13641334    15298206
153000.974    14231591    15960112
153012.992    14702937    16487596
153024.980    15370380    17236100
153036.980    16077473    18028609
153048.973    16750100    18781457
153100.981    17415268    19527183
153112.980    18056570    20245201
153124.984    18542116    20789441
153136.980    19241004    21574256
153148.976    19922951    22336646
153200.979    20624704    23123526
153212.981    21265176    23840616
153224.974    21879329    24527903
153236.976    22481861    25202602
153248.979    22943920    25720703
153300.974    23465997    26307100
153312.981    23988535    26894091
153324.982    24365776    27316901
153336.980    24748015    27744965
153348.974    25198265    28248802
153400.976    25739089    28855808
153412.977    26297276    29481610
153424.985    26848808    30100922
153436.973    27177161    30467779
153448.980    27608109    30949823
153500.975    28324978    31755249
153512.976    29029363    32545610
153524.980    29803807    33414649
153536.976    30516770    34214491
153548.981    31357642    35160000
153600.982    31998135    35877618
153612.980    32717858    36683921
153624.980    33427946    37478319
153636.980    34160783    38298888
153648.973    34817135    39033657
153700.984    35501553    39801775
153712.973    36290020    40684400
153724.985    37019410    41502700
153736.973    37678278    42241329
153748.979    38428031    43082913
153800.979    39187324    43934334
153812.982    39766605    44581401
153824.979    40391764    45284618
153836.975    41118645    46098418
153848.974    41871355    46943323
153900.984    42606504    47765300
153912.974    43284849    48525322
153924.980    43914224    49231179
153936.973    44669234    50076886
153948.975    45281458    50762467
154000.976    46016382    51585979
154012.975    46814522    52478010
154024.979    47494332    53239495
154036.979    48108422    53928200
154048.988    48840737    54747577
154100.973    49552469    55545545
154112.980    50311330    56399479
154124.982    51111946    57299019
154136.973    51823295    58096383
154148.979    52584293    58947942
154200.975    53265385    59712302
154212.979    54058654    60601089
154224.976    54612198    61221231
154236.987    55215019    61897509
154248.988    56040832    62824009
154300.975    56672754    63531215
154312.974    57417611    64368304
154324.982    57980724    64997574
154336.973    58763851    65873843
154348.986    59440804    66632217
154400.980    60060023    67327501
154412.975    60832232    68191575
154424.992    61592524    69046041
154436.973    62321682    69864718
154448.977    63097771    70734450
154500.980    63752054    71466501
154512.984    64547036    72357201
154524.980    65057022    72928740
154536.973    65666154    73610474
154548.978    66445204    74485638
154600.975    67194636    75328201
154612.979    68014548    76247253
154624.977    68731772    77053723
154636.981    69538897    77959387
154648.980    70227297    78733546
154700.974    70963433    79558402
154712.978    71903644    80610430
154724.973    72863123    81686500
154736.982    73566840    82474787
154748.980    74304533    83301328
154800.973    75085468    84178209
154812.981    75767737    84945215
154824.980    76601390    85881349
154836.980    77421595    86798700
154848.978    77890273    87324274
154900.978    78535728    88047625
154912.980    79176560    88766502
154924.989    79908426    89585301
154936.981    80649752    90416386
154948.980    81360057    91212692
155000.984    82031393    91966486
155012.992    82764274    92788625
155024.980    83515768    93630677
155036.992    84352831    94571107
155048.973    84957061    95248337
155100.980    85666250    96043829
155112.982    86360956    96826508
155124.981    87102688    97655121
155136.995    87825075    98465810
155148.974    88499704    99225049
155200.995    89275834   100095918
155212.981    89921737   100822700
155224.976    90678869   101671804
155236.982    91419955   102500702
155248.979    92231612   103408101
155300.990    92829931   104079814
155312.974    93554700   104893301
155324.987    94213949   105632327
155336.975    96018192   107657673
155348.973    97908618   109779269
155400.974    99780176   111881617
155412.975   101668828   113998309
155424.979   103541236   116096335
155436.975   105451057   118240983
155448.973   107360597   120385813
155500.973   109266728   122520902
155512.975   111169548   124658018
155524.975   113063403   126785322
155536.973   114953410   128905658
155548.975   116831860   131016604
