Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
020227.668   376010118   442083637
020239.668   377747564   444125734
020251.666   379474141   446155420
020303.666   381191465   448175889
020315.668   382918323   450207366
020327.666   384640776   452232547
020339.672   386362843   454258726
020351.672   388093654   456292317
020403.672   389629698   458101878
020415.668   391181654   459927592
020427.668   392723373   461741610
020439.672   394265830   463555215
020451.668   395808897   465369518
020503.668   397326703   467155734
020515.668   398848494   468946196
020527.672   400335861   470696246
020539.666   401821734   472441747
020551.672   403302425   474181558
020603.668   404789379   475928573
020615.668   406289254   477689493
020627.668   407770948   479432556
020639.666   409247012   481172716
020651.672   410724054   482908547
020703.672   412199380   484640846
020715.668   413683307   486388680
020727.672   415176692   488143507
020739.672   416656195   489884051
020751.668   418130797   491618232
020803.666   419609711   493359044
020815.668   421087037   495096317
020827.666   422567776   496837886
020839.672   424064553   498596614
020851.668   425545807   500336226
020903.668   427032571   502085858
020915.668   428508854   503822100
020927.672   430006504   505581929
020939.666   431482523   507318028
020951.672   432959916   509053634
021003.668   434436286   510789242
021015.666   435919225   512532712
021027.672   437400908   514273308
021039.672   438881473   516012365
021051.672   440376047   517768557
021103.668   441892521   519553914
021115.668   443412520   521341172
021127.672   444933081   523130307
021139.672   446450203   524915399
021151.668   447973231   526705401
021203.666   449489012   528487610
021215.668   451010247   530276016
021227.666   452533414   532068263
021239.672   454055078   533856580
021251.672   455575233   535643125
021303.668   457094293   537428500
021315.668   458615037   539215878
021327.672   460134576   541003465
021339.672   461658587   542794255
021351.668   463181185   544583547
021403.668   464700041   546368201
021415.666   466221385   548155485
021427.666   467742339   549943782
021439.668   469261653   551728341
021451.668   470783092   553516743
021503.668   472300002   555298784
021515.668   473823575   557088400
021527.672   475341872   558874402
021539.677   476865101   560665294
021551.672   478588936   562695098
021603.668   480271309   564673922
021615.668   481957209   566659797
021627.668   483456807   568420904
021639.668   484950398   570177544
021651.672   486450186   571942169
021703.668   487946230   573701300
021715.668   489433507   575448696
021727.672   490913938   577190823
021739.672   492411185   578949615
021751.668   493894445   580695017
021803.668   495387192   582450297
021815.668   496869375   584192758
021827.672   498350172   585932992
021839.672   499842452   587687485
021851.672   501326698   589432200
021903.668   502802062   591166802
021915.668   504276479   592901220
021927.672   505758179   594642429
021939.672   507237745   596381214
021951.672   508740841   598149795
022003.666   510253373   599928446
022015.668   511765744   601707681
022027.672   513281312   603490325
022039.672   514796026   605271422
022051.668   516311002   607056000
022103.668   517819855   608829368
022115.668   519330283   610607021
022127.672   520843991   612387185
022139.668   522359765   614169427
022151.672   524084886   616197134
022203.668   525799330   618214219
022215.668   527523029   620241104
022227.672   529255077   622278145
022239.672   530993891   624321402
022251.672   532537142   626137149
022303.668   534072361   627944840
022315.668   535588579   629729432
022327.668   537104348   631509018
022339.672   538615224   633286646
022351.672   540133309   635066903
022403.668   541831327   637060821
022415.666   543557920   639093489
022427.668   545287661   641127220
022439.672   547024251   643166263
022451.672   548746398   645192907
022503.668   550281380   646997866
022515.666   551835482   648823475
022527.672   553358463   650614237
022539.668   554874492   652395673
022551.666   556386450   654174048
022603.668   557903051   655956886
022615.668   559416092   657733851
022627.668   560928458   659513193
022639.668   562444671   661292613
022651.672   563958415   663070879
022703.667   565474969   664852934
022715.667   566985422   666627102
022727.668   568501110   668409975
022739.672   570016776   670190621
022751.668   571536916   671977072
022803.672   573052653   673756900
022815.672   574530524   675495409
022827.672   576014663   677241401
022839.672   577494016   678978861
022851.672   578973874   680717626
022903.666   580451376   682454521
022915.672   581924681   684186611
022927.668   583404282   685926100
022939.672   584880542   687661622
022951.672   586359273   689402319
023003.672   587838555   691142421
023015.673   589314677   692879559
023027.672   590806030   694633075
023039.672   592284479   696367078
023051.672   593770763   698111832
023103.672   595246517   699845346
023115.672   596738262   701597956
023127.672   598470374   703634565
023139.668   600200454   705669060
023151.666   601920090   707692186
023203.672   603649958   709725461
023215.672   605375716   711753148
023227.672   607105363   713785050
023239.672   608842704   715824246
023251.672   610583235   717870591
023303.668   612134630   719694925
023315.668   613656396   721485130
023327.668   615167453   723259879
023339.668   616679151   725039097
023351.672   618188380   726811714
023403.668   619700728   728590376
023415.672   621204879   730359902
023427.672   622716853   732138200
023439.668   624227284   733913681
023451.668   625739040   735690402
023503.672   627251157   737469550
023515.668   628759045   739244941
023527.672   630271167   741021446
023539.668   631780599   742796824
023551.672   633291698   744572096
023603.672   634935159   746505523
023615.672   636648544   748517990
023627.668   638371605   750543079
023639.668   640101694   752579544
023651.672   641826323   754608147
023703.672   643554185   756637444
023715.672   645272400   758657401
023727.672   646997603   760685056
023739.668   648717324   762705914
023751.668   650440903   764732091
023803.672   652177271   766775015
023815.666   653894397   768793651
023827.672   655625027   770829322
023839.666   657358664   772868758
023851.666   659089061   774905521
023903.668   660644914   776736437
