Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
144018.288     1749695     2100769
144030.287     3030012     3640760
144042.288     4388628     5273716
144054.288     5691687     6844700
144106.287     7020366     8434769
144118.288     8425720    10120534
144130.287     9932623    11928441
144142.288    11393424    13682039
144154.287    12759440    15316946
144206.287    14255793    17111646
144218.288    15729352    18878795
144230.288    17107834    20531144
144242.287    18535156    22244165
144254.288    19965415    23960800
144306.288    21319916    25592426
144318.287    22687323    27237723
144330.288    24102165    28942383
144342.288    25451972    30569758
144354.287    26853171    32250792
144406.288    28264569    33943629
144418.287    29737221    35712332
144430.287    31167811    37424737
144442.288    32574516    39114657
144454.288    34030209    40863229
144506.288    35432531    42547615
144518.288    36860553    44264235
144530.288    38339122    46042482
144542.288    39718002    47700459
144554.288    41103487    49364180
144606.287    42588515    51141826
144618.287    44179764    53051549
144630.288    45581669    54731597
144642.288    47030914    56468900
144654.288    48426275    58144501
144706.288    49837537    59836942
144718.287    51323121    61607144
144730.288    52774599    63346068
144742.287    54231554    65103343
144754.288    55624209    66775633
144806.288    57045070    68478855
144818.288    58511324    70234951
144830.288    59825800    71812934
144842.287    61134007    73384086
144854.287    62647084    75200279
144906.287    64133413    76979479
144918.287    65647164    78793003
144930.287    67108583    80548222
144942.287    68577588    82315424
144954.287    70141986    84200000
145006.287    71723486    86096587
145018.287    73314827    88004832
145030.288    74888382    89893771
145042.287    76336388    91633087
145054.287    77910810    93529027
145106.288    79299722    95201727
145118.287    80760306    96958651
145130.287    82224585    98712057
145142.288    83601493   100369038
145154.287    85032633   102094535
145206.288    86479676   103829070
145218.288    87936944   105574999
145230.288    89386901   107313017
145242.288    90844588   109063166
145254.287    92218820   110714458
145306.287    93668089   112450160
145318.288    95180095   114263214
145330.288    96649398   116034794
145342.288    98133356   117816000
145354.288    99624018   119599700
145406.287   101111781   121384988
145418.288   102613616   123184700
145430.288   104092028   124958153
145442.288   105548734   126706394
145454.288   106773543   128176272
145506.288   107965534   129607173
145518.288   109304196   131213303
145530.288   110624139   132793137
145542.288   111984846   134431399
145554.288   113366076   136088100
145606.288   114727842   137723760
145618.287   116113462   139388850
145630.287   117462276   141009903
145642.288   118847751   142666597
145654.288   120167592   144251396
145706.287   121618085   145989037
145718.287   123124064   147794090
145730.288   124620546   149587100
145742.288   125963551   151199254
145754.288   127231023   152722664
145806.288   128580948   154347357
145818.288   129922225   155954427
145830.287   131249745   157548553
145842.288   132692806   159290460
145854.287   134027957   160899217
145906.287   135456188   162620100
145918.288   136809029   164249260
145930.287   138133795   165844688
145942.287   139571642   167568075
145954.288   141008265   169295741
150006.287   142386706   170944552
150018.288   143734765   172565342
150030.288   145082667   174178117
150042.288   146507441   175891043
150054.288   147654238   177270868
150106.288   148998199   178884256
150118.288   150315572   180463571
150130.288   151624352   182032034
150142.288   152963163   183635487
150154.288   154340310   185284896
150206.288   155657835   186864811
150218.288   156980752   188455754
150230.288   158354680   190106647
150242.288   159667610   191683277
150254.287   160963686   193232312
150306.288   162342352   194881701
150318.287   163779929   196598315
150330.287   165174452   198271100
150342.288   166493537   199856335
150354.288   167891082   201531867
150406.288   169196552   203096815
150418.287   170599763   204783557
150430.288   172085148   206562951
150442.288   173418078   208160271
150454.288   174904689   209945216
150506.287   176393500   211724650
150518.290   177987969   213635357
150530.288   179322375   215234739
150542.288   180648984   216830762
150554.288   181986702   218434212
150606.288   183263458   219964834
150618.287   184627588   221595751
150630.288   185972813   223208818
150642.287   187297914   224797918
150654.288   188606062   226376388
150706.288   189942472   227983179
150718.288   191250464   229553837
150730.288   192523289   231081570
150742.288   193937147   232774031
150754.288   195280033   234387553
150806.288   196591807   235963548
150818.287   197984150   237631592
150830.288   199363396   239282245
150842.288   200636362   240807780
150854.288   201780702   242182463
150906.287   203083811   243750090
150918.288   204414156   245344755
150930.288   205738352   246932145
150942.288   207050143   248504630
150954.288   208359674   250082513
151006.287   209676745   251664467
151018.287   210930592   253169240
151030.288   212186879   254675201
151042.288   213488111   256235975
151054.288   214893128   257917947
151106.289   216174591   259455169
151118.289   217558136   261115057
151130.289   218859462   262673070
151142.289   220174622   264253694
151154.294   221358128   265675215
151206.288   222635763   267205493
151218.290   223887833   268708100
151230.288   225151754   270221840
151242.288   226471404   271808035
151254.290   227695370   273278000
151306.288   229048557   274901791
151318.290   230355111   276465179
151330.288   231581875   277933700
151342.290   232406377   278919247
151354.290   233210203   279880799
151406.289   234125272   280977473
151418.288   235542149   282676433
151430.288   236979500   284402400
151442.294   237858109   285456419
151454.294   239202952   287069078
151506.290   240612909   288767168
151518.289   241845668   290245612
151530.287   243091841   291738152
151542.289   244232154   293114074
151554.294   245518414   294661429
151606.288   246752426   296145365
151618.288   247962629   297600400
151630.289   248867416   298692865
151642.289   250119367   300195315
151654.289   251538046   301893753
151706.288   252989082   303638457
151718.294   254437575   305375068
151730.290   255846481   307067041
151742.288   257255761   308756276
151754.288   258636273   310413336
151806.290   260010507   312063897
151818.288   261364326   313690409
151830.288   262700270   315297201
151842.290   264028769   316887698
151854.290   265364047   318491100
151906.289   266725396   320118717
151918.289   268079985   321742953
151930.287   269509480   323459147
151942.289   270921858   325150098
151954.289   272302331   326802309
152006.288   273711470   328489294
152018.287   275177276   330236723
152030.289   276628648   331977081
152042.294   278078773   333723140
152054.288   279521332   335457682
152106.288   280910621   337118097
152118.288   282325250   338811448
152130.290   283757969   340525727
152142.294   285174989   342227010
152154.294   286604584   343943312
152206.290   288030851   345654711
152218.290   289444939   347350848
152230.288   290843281   349030513
152242.288   292241964   350711635
152254.294   293663354   352418814
152306.294   295069174   354107208
152318.290   296476460   355789526
152330.294   297874034   357466825
152342.294   299275646   359147838
152354.290   300678469   360834646
152406.294   302085382   362529289
152418.294   303495257   364226386
152430.290   304893711   365908485
152442.294   306289296   367579331
152454.288   307690987   369260231
152506.290   309071685   370917368
152518.290   310471243   372593910
152530.290   311855579   374251825
152542.290   313213846   375882148
152554.288   314595416   377542090
152606.289   315973487   379201766
152618.290   317351708   380852377
152630.294   318701770   382470524
152642.290   319965893   383990187
152654.294   321272474   385560708
152706.294   322629943   387188385
152718.290   323954414   388780124
152730.288   325248856   390332689
152742.290   326519573   391856921
152754.290   327786839   393373485
152806.288   329086373   394934833
152818.290   330334475   396432088
152830.289   331580369   397929046
152842.290   332920743   399536079
