Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
150151.368      622003      698123
150203.368     1051333     1185644
150215.368     1590381     1794097
150227.370     2042152     2305756
150239.383     2486498     2810817
150251.368     3065701     3467528
150303.374     3627793     4103701
150315.386     4425123     5006703
150327.377     5066145     5731036
150339.368     5659496     6402431
150351.378     6167379     6976243
150403.368     6740537     7623902
150415.369     7286212     8244484
150427.369     7859214     8892988
150439.368     8566463     9694101
150451.370     9286121    10510631
150503.373     9712565    10993036
150515.367    10540408    11931201
150527.368    11072235    12533561
150539.374    11821572    13382501
150551.379    12438294    14079408
150603.368    13154426    14894400
150615.367    13765176    15590442
150627.368    14715855    16669000
150639.370    15426789    17473040
150651.367    16064866    18195295
150703.374    16872846    19106730
150715.368    17607662    19935964
150727.367    18244824    20658907
150739.370    18805052    21291840
150751.373    19556953    22145186
150803.368    20390939    23092945
150815.368    21345238    24175267
150827.368    22017809    24937200
150839.368    22727581    25740971
150851.368    23619348    26750712
150903.374    24602689    27862462
150915.371    25337900    28693535
150927.370    26136352    29598826
150939.379    26791949    30344149
150951.368    27530260    31180200
151003.368    28405696    32174196
151015.367    29169739    33041647
151027.367    29908721    33879999
151039.368    30602241    34664180
151051.368    31152264    35288970
151103.369    31664745    35868703
151115.368    32328522    36617629
151127.374    32878379    37240137
151139.372    33437398    37873687
151151.367    34286141    38840226
151203.367    36142439    40947126
151215.369    38023473    43078558
151227.374    39907887    45212813
151239.369    41780375    47339149
151251.369    43650126    49455751
151303.368    45408092    51446661
151315.367    47371195    53663600
151327.369    49361316    55917335
151339.369    51239329    58047169
151351.370    53112629    60175863
151403.369    54995080    62310882
151415.369    56887481    64452577
151427.370    58786099    66604373
151439.374    60693580    68760427
151451.369    62591256    70899700
151503.369    64485850    73045597
151515.374    66358355    75168055
151527.369    68238118    77298344
151539.374    70137060    79450003
151551.374    72025411    81590612
151603.369    73902698    83718245
151615.374    75786664    85856457
151627.369    77672699    87992167
151639.369    79561403    90131666
151651.374    81446760    92270036
151703.369    83326601    94403970
151715.369    85201079    96524500
151727.374    87097272    98673633
151739.374    88988165   100813000
151751.369    90866354   102949109
151803.374    92749667   105083456
151815.367    94465163   107030087
151827.370    96314013   109126922
151839.374    97884291   110902755
151851.374    99626606   112880538
151903.369   101376780   114866921
151915.374   103145220   116871436
151927.367   104996144   118969216
151939.368   106701860   120901844
151951.367   108416874   122850083
152003.369   109972955   124613032
152015.370   111747441   126623277
152027.367   113541696   128660471
152039.374   115338060   130694362
152051.369   117153160   132754247
152103.374   119023468   134875449
152115.367   120780370   136868648
152127.369   122537359   138864496
152139.374   124298718   140864381
152151.369   126067352   142870204
152203.368   127873714   144916334
152215.374   129694322   146982842
152227.374   131406508   148922823
152239.369   133189527   150953236
152251.374   134689418   152651826
152303.367   136653269   154874221
152315.367   138653774   157147914
152327.369   140573674   159326501
152339.368   142590547   161605538
152351.373   144556480   163838701
152403.369   146510241   166052910
152415.367   148241825   168012388
152427.369   150110123   170132192
152439.369   152021758   172300317
152451.367   154111410   174672937
152503.374   156199857   177039800
152515.369   158274067   179394610
152527.369   160363455   181764226
152539.374   162435863   184112298
152551.367   164490709   186434566
152603.369   166550858   188762475
152615.369   168494707   190960370
152627.369   170330366   193042142
152639.369   172183956   195146378
152651.374   174010874   197212000
152703.369   175829804   199272743
152715.374   177681057   201371466
152727.374   179561717   203501031
152739.374   181469981   205656198
152751.374   182382656   206689353
152803.374   183017931   207407308
152815.377   183471396   207920403
152827.370   183941927   208453179
152839.380   184575570   209169479
152851.375   185070856   209728206
152903.374   185729757   210475049
152915.379   186262412   211078601
152927.374   186826458   211716460
152939.373   187414847   212383074
152951.378   188133289   213197045
153003.374   188717053   213858833
153015.376   189233136   214445500
153027.372   189766081   215049256
153039.374   190443081   215819094
