   r (Ang),     Ge-Ge
   0.06545 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 , 
   0.71996 ,         0.000000000000000 , 
   0.78541 ,         0.000000000000000 , 
   0.85086 ,         0.000000000000000 , 
   0.91631 ,         0.000000000000000 , 
   0.98176 ,         0.000000000000000 , 
   1.04721 ,         0.000000000000000 , 
   1.11267 ,         0.000000000000000 , 
   1.17812 ,         0.000000000000000 , 
   1.24357 ,         0.000000000000000 , 
   1.30902 ,         0.000000000000000 , 
   1.37447 ,         0.000000000000000 , 
   1.43992 ,         0.000000000000000 , 
   1.50537 ,         0.000000000000000 , 
   1.57082 ,         0.000000000000000 , 
   1.63627 ,         0.000000000000000 , 
   1.70172 ,         0.000000000000000 , 
   1.76718 ,         0.000000000000000 , 
   1.83263 ,         0.000000000000000 , 
   1.89808 ,         0.000000000000000 , 
   1.96353 ,         0.000000000000000 , 
   2.02898 ,         0.000000000000000 , 
   2.09443 ,         0.000000000000000 , 
   2.15988 ,         0.000000000000000 , 
   2.22533 ,         0.000000000000000 , 
   2.29078 ,         0.000000000000000 , 
   2.35623 ,         0.000000000000000 , 
   2.42168 ,         0.000000000000000 , 
   2.48714 ,         0.000000000000000 , 
   2.55259 ,         0.000000000000000 , 
   2.61804 ,         0.000000000000000 , 
   2.68349 ,         0.000000000000000 , 
   2.74894 ,         0.000000000000000 , 
   2.81439 ,         0.000000000000000 , 
   2.87984 ,         0.139614121170987 , 
   2.94529 ,         2.669564937381616 , 
   3.01074 ,         2.682501178296230 , 
   3.07619 ,         1.713047202094287 , 
   3.14164 ,         3.050201700108641 , 
   3.20710 ,         1.688641347915281 , 
   3.27255 ,         1.946128055364141 , 
   3.33800 ,         1.870559952230788 , 
   3.40345 ,         2.698963964481783 , 
   3.46890 ,         2.405629711030832 , 
   3.53435 ,         2.410054205306885 , 
   3.59980 ,         1.697734020168731 , 
   3.66525 ,         0.861917699137866 , 
   3.73070 ,         0.748746925914740 , 
   3.79615 ,         0.642801134963072 , 
   3.86161 ,         0.776495553866261 , 
   3.92706 ,         0.825911521696740 , 
   3.99251 ,         0.944337746694554 , 
   4.05796 ,         0.562536344107270 , 
   4.12341 ,         0.817230227928077 , 
   4.18886 ,         0.989864772394014 , 
   4.25431 ,         0.703737670831361 , 
   4.31976 ,         1.116939678016942 , 
   4.38521 ,         0.963420112395785 , 
   4.45066 ,         1.110660539316713 , 
   4.51611 ,         0.794832553521038 , 
   4.58157 ,         0.606795864846191 , 
   4.64702 ,         0.804305013100408 , 
   4.71247 ,         0.729977467574104 , 
   4.77792 ,         0.811560431510243 , 
   4.84337 ,         0.641692106632659 , 
   4.90882 ,         0.816908385235982 , 
   4.97427 ,         0.842349743756288 , 
   5.03972 ,         0.775023301969304 , 
   5.10517 ,         1.199560077298270 , 
   5.17062 ,         0.866210427453976 , 
   5.23607 ,         0.717987173497924 , 
   5.30153 ,         0.865161398911209 , 
   5.36698 ,         1.286382977472729 , 
   5.43243 ,         1.137862940616198 , 
   5.49788 ,         1.302472639727281 , 
   5.56333 ,         1.309418815247732 , 
   5.62878 ,         0.657845794384185 , 
   5.69423 ,         1.357043293797028 , 
   5.75968 ,         1.256567654639124 , 
   5.82513 ,         0.648369253638971 , 
   5.89058 ,         0.967747157311143 , 
   5.95604 ,         0.783389019673078 , 
   6.02149 ,         1.277419242944415 , 
   6.08694 ,         1.031329051695869 , 
   6.15239 ,         1.070684793420856 , 
   6.21784 ,         1.168064378070893 , 
   6.28329 ,         1.290504955967226 , 
   6.34874 ,         1.062937679504067 , 
   6.41419 ,         1.041355937623101 , 
   6.47964 ,         0.937687720095807 , 
   6.54509 ,         0.837937193791148 , 
   6.61054 ,         0.953914825859665 , 
   6.67600 ,         1.039224944425837 , 
   6.74145 ,         1.121058327339649 , 
   6.80690 ,         1.024630372699505 , 
   6.87235 ,         0.833586033541909 , 
   6.93780 ,         1.010386958985948 , 
   7.00325 ,         0.802715398056818 , 
   7.06870 ,         1.228227025196817 , 
   7.13415 ,         1.137541777603590 , 
   7.19960 ,         0.826545481471372 , 
   7.26505 ,         0.899473463262746 , 
   7.33050 ,         0.754193017297621 , 
   7.39596 ,         0.804409643946578 , 
   7.46141 ,         0.998348438978061 , 
   7.52686 ,         1.124132918154922 , 
   7.59231 ,         1.004395433653159 , 
   7.65776 ,         0.868823786565228 , 
   7.72321 ,         0.873573182390516 , 
   7.78866 ,         0.763513826547059 , 
   7.85411 ,         1.088720452286740 , 
   7.91956 ,         0.923103048261892 , 
   7.98501 ,         0.962514254543574 , 
   8.05046 ,         0.911194216081841 , 
   8.11592 ,         0.826238689018010 , 
   8.18137 ,         1.245556829861805 , 
   8.24682 ,         1.191812849525163 , 
   8.31227 ,         1.106082810517880 , 
   8.37772 ,         0.659919917636636 , 
