r (Ang), PDF (RMC), PDF (Expt)
   0.0000000000000000       ,    3.9574658231883848E-321  ,    3.9574658231883848E-321
   6.5450934118047310E-002  ,    0.0000000000000000       ,    0.0000000000000000     
  0.13090186823609462       ,    0.0000000000000000       ,    0.0000000000000000     
  0.19635280235414193       ,    0.0000000000000000       ,    0.0000000000000000     
  0.26180373647218924       ,    0.0000000000000000       ,    0.0000000000000000     
  0.32725467059023655       ,    0.0000000000000000       ,    0.0000000000000000     
  0.39270560470828386       ,    0.0000000000000000       ,    0.0000000000000000     
  0.45815653882633117       ,    0.0000000000000000       ,    0.0000000000000000     
  0.52360747294437848       ,    0.0000000000000000       ,    0.0000000000000000     
  0.58905840706242585       ,    0.0000000000000000       ,    0.0000000000000000     
  0.65450934118047310       ,    0.0000000000000000       ,    0.0000000000000000     
  0.71996027529852036       ,    0.0000000000000000       ,    0.0000000000000000     
  0.78541120941656772       ,    0.0000000000000000       ,    0.0000000000000000     
  0.85086214353461509       ,    0.0000000000000000       ,    0.0000000000000000     
  0.91631307765266234       ,    0.0000000000000000       ,    0.0000000000000000     
  0.98176401177070960       ,    0.0000000000000000       ,    0.0000000000000000     
   1.0472149458887570       ,    0.0000000000000000       ,    0.0000000000000000     
   1.1126658800068043       ,    0.0000000000000000       ,    0.0000000000000000     
   1.1781168141248517       ,   -2.8955653086505894E-002  ,    0.0000000000000000     
   1.2435677482428988       ,    5.6844483024508168E-002  ,   0.13167602517899019     
   1.3090186823609462       ,   0.27128828968746044       ,   0.42386247629255391     
   1.3744696164789936       ,   0.64308820652979015       ,   0.82131347155589007     
   1.4399205505970407       ,    1.1624221955997149       ,    1.3101088086315140     
   1.5053714847150881       ,    1.7736557838249929       ,    1.8490447339205551     
   1.5708224188331354       ,    2.3834678015398580       ,    2.3716989650142000     
   1.6362733529511828       ,    2.8829328131046923       ,    2.7982536838707226     
   1.7017242870692302       ,    3.1764050579923846       ,    3.0546463321230686     
   1.7671752211872773       ,    3.2074947349646470       ,    3.0928779473400105     
   1.8326261553053247       ,    2.9739944000007976       ,    2.9050533958236566     
   1.8980770894233721       ,    2.5279719918879531       ,    2.5258398192845775     
   1.9635280235414192       ,    1.9619635308196006       ,    2.0226271751796037     
   2.0289789576594668       ,    1.3855691353938044       ,    1.4775399115847327     
   2.0944298917775139       ,   0.89864631817582930       ,   0.96823665855546903     
   2.1598808258955611       ,   0.56829144791079145       ,   0.55394793650655938     
   2.2253317600136087       ,   0.41671184951113693       ,   0.26998262513381827     
   2.2907826941316558       ,   0.42462550031290003       ,   0.12985703102449930     
   2.3562336282497034       ,   0.54916591576250096       ,   0.13135596354324930     
   2.4216845623677505       ,   0.74812754396172798       ,   0.26239243900670456     
   2.4871354964857977       ,   0.99809186767135938       ,   0.50423281308914858     
   2.5525864306038453       ,    1.2966078833825490       ,   0.83215579181354615     
   2.6180373647218924       ,    1.6480932621905178       ,    1.2153921088011082     
   2.6834882988399396       ,    2.0439222021672561       ,    1.6184071872454389     
   2.7489392329579871       ,    2.4515183767816460       ,    2.0044333994017980     
   2.8143901670760343       ,    2.8212145996996840       ,    2.3405595640753352     
   2.8798411011940814       ,    3.1068750829750389       ,    2.6026469702680530     
   2.9452920353121290       ,    3.2861196205972969       ,    2.7783616266436004     
   3.0107429694301762       ,    3.3663437593246113       ,    2.8675032504136446     
   3.0761939035482238       ,    3.3735293612125932       ,    2.8799455555353268     
   3.1416448376662709       ,    3.3336557710727130       ,    2.8322592213774396     
   3.2070957717843180       ,    3.2611562898398163       ,    2.7441969139417757     
   3.2725467059023656       ,    3.1617588869299218       ,    2.6358188562085267     
   3.3379976400204128       ,    3.0443785382923836       ,    2.5254918227806549     
   3.4034485741384604       ,    2.9292880096449423       ,    2.4286262733446584     
   3.4688995082565075       ,    2.8438148772466714       ,    2.3569375153548320     
   3.5343504423745546       ,    2.8085653926366247       ,    2.3181305682172599     
   3.5998013764926022       ,    2.8261839922086796       ,    2.3160324858322379     
   3.6652523106106494       ,    2.8828774849379117       ,    2.3511994327672019     
   3.7307032447286965       ,    2.9618933717628781       ,    2.4218968088282842     
   3.7961541788467441       ,    3.0576502879232654       ,    2.5251769516202645     
   3.8616051129647913       ,    3.1786525128382923       ,    2.6576796803336227     
   3.9270560470828384       ,    3.3372030735819811       ,    2.8158389681916995     
   3.9925069812008860       ,    3.5354023905046374       ,    2.9954021269749020     
   4.0579579153189336       ,    3.7597099857606979       ,    3.1904841721615775     
   4.1234088494369807       ,    3.9881069401285769       ,    3.3926613589691890     
   4.1888597835550279       ,    4.2023740710473740       ,    3.5907159811514093     
   4.2543107176730750       ,    4.3939245452929105       ,    3.7714916152919797     
   4.3197616517911221       ,    4.5587259926924304       ,    3.9219208919469515     
   4.3852125859091702       ,    4.6882350317043251       ,    4.0317843215463292     
   4.4506635200272173       ,    4.7677891994392638       ,    4.0963629943386977     
   4.5161144541452645       ,    4.7867257906943745       ,    4.1180547095069580     
   4.5815653882633116       ,    4.7520798094494561       ,    4.1063046984801881     
   4.6470163223813588       ,    4.6921333875895721       ,    4.0757597829829706     
   4.7124672564994068       ,    4.6436382334059259       ,    4.0431578575879339     
   4.7779181906174539       ,    4.6311692413941303       ,    4.0238619556522828     
   4.8433691247355011       ,    4.6553153222509032       ,    4.0289910766851005     
   4.9088200588535482       ,    4.6997676730827713       ,    4.0638071524767954     
   4.9742709929715954       ,    4.7508518433509455       ,    4.1275498708682825     
   5.0397219270896425       ,    4.8114908965245284       ,    4.2144769673774967     
   5.1051728612076905       ,    4.8962433143082498       ,    4.3156183023144647     
   5.1706237953257377       ,    5.0116502652059065       ,    4.4207244533793730     
   5.2360747294437848       ,    5.1408410947606162       ,    4.5200192649834978     
   5.3015256635618320       ,    5.2489085357069101       ,    4.6055433332772697     
   5.3669765976798791       ,    5.3069343719095325       ,    4.6720167989317201     
   5.4324275317979271       ,    5.3142224723303597       ,    4.7172256028305926     
