Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
164047.865      490699     8148757  0.203E-01  0.398E+00
164059.887      494448     8212000  0.191E-01  0.390E+00
164111.865      498218     8276528  0.203E-01  0.398E+00
164123.865      501991     8340513  0.203E-01  0.399E+00
164135.865      505740     8406142  0.201E-01  0.406E+00
164147.867      509459     8468492  0.202E-01  0.402E+00
164159.865      513605     8537833  0.205E-01  0.394E+00
164211.866      517971     8610462  0.203E-01  0.397E+00
164223.865      522027     8681612  0.206E-01  0.392E+00
164235.865      525315     8738259  0.202E-01  0.401E+00
164247.865      529286     8803926  0.204E-01  0.398E+00
164259.865      533371     8876994  0.202E-01  0.400E+00
164311.885      537199     8942000  0.168E-01  0.337E+00
164324.718      541551     9011980  0.209E-01  0.405E+00
164336.768      545568     9084000  0.205E-01  0.409E+00
164348.718      549093     9147968  0.201E-01  0.404E+00
164400.720      552188     9202979  0.203E-01  0.401E+00
164412.718      556003     9267797  0.203E-01  0.397E+00
164424.718      559747     9332519  0.204E-01  0.400E+00
164436.718      563785     9400341  0.206E-01  0.394E+00
164448.718      567552     9464787  0.205E-01  0.393E+00
164500.718      571410     9534750  0.204E-01  0.396E+00
164512.718      575383     9607236  0.204E-01  0.393E+00
164524.718      579411     9679316  0.204E-01  0.396E+00
164536.718      583556     9751730  0.203E-01  0.397E+00
164548.718      587646     9824341  0.202E-01  0.401E+00
164600.718      591950     9898662  0.202E-01  0.401E+00
164612.718      595810     9965023  0.202E-01  0.398E+00
164624.718      599194    10027029  0.203E-01  0.396E+00
