Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
154039.640      287950      341879
154051.640      558852      663006
154103.640      821367      973456
154115.640     1095826     1296284
154127.640     1367424     1616716
154139.640     1637588     1936951
154151.640     1909326     2259397
154203.640     2178393     2578543
154215.640     2440086     2887863
154227.641     2700672     3195294
154239.640     2974317     3518779
154251.640     3247915     3842766
154303.640     3523490     4168059
154315.640     3800140     4495499
154327.640     4075417     4820861
154339.640     4351080     5146077
154351.640     4627181     5472111
154403.640     4903194     5797783
154415.640     5177817     6123308
154427.640     5454498     6449263
154439.640     5729257     6774580
154451.640     6004350     7100804
154503.640     6278019     7425342
154515.640     6547608     7743322
154527.640     6823618     8068668
154539.640     7101922     8396684
154551.640     7382291     8727479
154603.640     7661615     9057236
154615.640     7938457     9384746
154627.640     8216369     9713231
154639.642     8495165    10041016
154651.640     8775364    10371306
154703.640     9048662    10694281
154715.640     9321695    11016870
154727.640     9596270    11340964
154739.640     9867231    11659585
154751.640    10141787    11982526
154803.640    10413304    12302203
154815.640    10671657    12606845
154827.640    10931089    12913366
154839.640    11223561    13260491
154851.640    11492208    13577807
154903.645    11686786    13807359
154915.641    11832477    13979428
154927.641    11931822    14097115
154939.641    12081064    14273937
154951.642    12243582    14465984
155003.644    12416316    14669131
155015.642    12579882    14861459
155027.642    12727646    15036778
155039.642    12884980    15222792
155051.647    13027491    15391084
155103.642    13151495    15537372
155115.642    13295055    15706149
155127.643    13443560    15881012
155139.642    13572446    16033400
155151.642    13723428    16211809
155203.642    13861214    16374852
155215.641    14003996    16543978
155227.642    14156325    16723984
155239.642    14277189    16866190
155251.642    14408668    17021954
155303.645    14558696    17200413
155315.644    14686088    17351202
155327.645    14841910    17534847
155339.643    14991533    17711167
155351.641    15139502    17884471
155403.642    15294397    18067793
155415.641    15440052    18238612
155427.642    15573098    18395298
155439.641    15710331    18557141
155451.641    15874754    18751912
155503.644    16057876    18969088
155515.642    16237727    19182134
155527.641    16380197    19350332
155539.643    16524009    19520047
155551.642    16693753    19719596
155603.643    16854037    19908484
155615.642    17015229    20098157
155627.645    17186631    20300600
155639.644    17328292    20468710
155651.642    17457355    20620801
155703.643    17571200    20754491
155715.641    17735646    20949213
155727.643    17873381    21111355
155739.641    18016340    21279231
155751.641    18175397    21466501
155803.641    18319316    21636370
155815.642    18453991    21794781
155827.643    18586246    21951100
155839.641    18705710    22092603
155851.641    18871625    22288484
155903.641    19018253    22460836
155915.642    19144081    22608845
155927.641    19263036    22749524
155939.641    19407397    22920153
155951.642    19563229    23104759
160003.641    19725117    23295013
160015.660    19901081    23502602
160027.644    20056198    23686400
160039.647    20170116    23821613
160051.641    20331483    24012796
160103.642    20490041    24201478
160115.644    20655986    24396970
160127.641    20817055    24586111
160139.641    21006813    24809095
160151.641    21187276    25021570
160203.641    21360914    25226316
160215.642    21533538    25429302
160227.642    21706866    25634201
160239.642    21849532    25801709
160251.641    22011841    25992968
160303.641    22175042    26185501
160315.642    22355616    26398732
160327.643    22506766    26576525
160339.641    22672575    26772639
160351.642    22823798    26950925
160403.642    23007088    27166701
160415.641    23172375    27361396
160427.643    23322131    27538386
160439.642    23497749    27746865
160451.641    23628908    27901468
160503.641    23759283    28055077
160515.643    23903811    28224906
160527.642    24035900    28380069
160539.644    24192850    28565056
160551.642    24374196    28777945
160603.642    24525729    28956501
160615.641    24675561    29133140
160627.642    24845323    29334073
160639.641    24984762    29499301
160651.642    25156649    29702325
160703.641    25309575    29883505
160715.641    25447775    30046826
160727.645    25605882    30234384
160739.641    25762782    30418992
160751.642    25930018    30615904
160803.650    26077417    30789406
160815.642    26243609    30986389
160827.643    26389304    31157858
160839.643    26551372    31349664
160851.641    26704859    31530580
160903.642    26857234    31710700
160915.642    26994242    31871735
160927.643    27142602    32047078
160939.642    27321574    32258038
160951.642    27478107    32442804
161003.642    27611127    32599133
161015.649    27783506    32802702
161027.646    27938754    32985594
