Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
123550.927     1284455     1492792
123602.927     2230091     2598920
123614.927     3182290     3713656
123626.927     4173461     4871627
123638.927     5232695     6106012
123650.927     6204126     7236456
123702.927     7231414     8431606
123714.927     8287420     9661935
123726.927     9351672    10899804
123738.927    10413365    12135387
123750.927    11457558    13349296
123802.927    12462523    14521651
123814.927    13521529    15756520
123826.927    14584073    16994779
123838.927    15632934    18219562
123850.927    16688551    19448457
123902.927    17689781    20618551
123914.927    18728971    21832944
123926.927    19790099    23073701
123938.927    20857758    24320456
123950.927    21894846    25529531
124002.927    22962690    26774851
124014.927    24025840    28016179
124026.927    25093867    29257813
124038.927    26156314    30497133
124050.927    27186025    31699307
124102.927    28170176    32850896
124114.927    29173214    34016306
124126.933    30236478    35254890
124138.927    31241685    36432957
124150.927    32221875    37580907
124202.927    33249499    38780585
124214.927    34227126    39920234
124226.927    35266116    41129471
124238.927    36309493    42343797
124250.927    37383606    43594655
124302.927    38441633    44828713
124314.927    39502781    46062502
124326.927    40578149    47315192
124338.927    41642993    48557477
124350.927    42705631    49796941
124402.927    43718180    50978462
124414.927    44752438    52186312
124426.927    45809024    53418600
124438.927    46851729    54638009
124450.927    47890886    55851330
124502.927    48910277    57042404
124514.927    49904269    58203099
124526.927    50916640    59382911
124538.927    51940548    60576686
