Time       moves_acc moves_gen     F(Q)_1     Bragg  Poly_cons   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+05  0.100E-05  0.100E+01  0.100E-01
101819.763         329         903  0.288E-01  0.261E-02  0.403E+05  0.733E-01
101831.771         592        1646  0.287E-01  0.245E-02  0.376E+05  0.656E-01
101843.765         938        2597  0.283E-01  0.229E-02  0.350E+05  0.583E-01
101855.772        1246        3532  0.279E-01  0.219E-02  0.329E+05  0.542E-01
101907.764        1567        4470  0.280E-01  0.211E-02  0.310E+05  0.509E-01
101919.768        1872        5402  0.282E-01  0.206E-02  0.289E+05  0.490E-01
101931.772        2165        6329  0.284E-01  0.202E-02  0.267E+05  0.460E-01
101943.761        2437        7236  0.285E-01  0.201E-02  0.253E+05  0.437E-01
101955.768        2714        8147  0.285E-01  0.202E-02  0.239E+05  0.422E-01
102007.768        2996        9060  0.283E-01  0.202E-02  0.228E+05  0.422E-01
102019.763        3214        9967  0.284E-01  0.206E-02  0.219E+05  0.426E-01
102031.768        3427       10758  0.283E-01  0.207E-02  0.213E+05  0.434E-01
102043.770        3610       11448  0.284E-01  0.212E-02  0.205E+05  0.437E-01
102055.777        3773       12128  0.286E-01  0.216E-02  0.198E+05  0.450E-01
102107.764        4003       13025  0.289E-01  0.220E-02  0.190E+05  0.465E-01
102119.765        4210       13936  0.290E-01  0.223E-02  0.185E+05  0.470E-01
102131.763        4427       14832  0.290E-01  0.228E-02  0.179E+05  0.475E-01
102143.760        4637       15725  0.290E-01  0.236E-02  0.173E+05  0.476E-01
102155.765        4843       16616  0.290E-01  0.238E-02  0.169E+05  0.482E-01
102207.769        5032       17504  0.290E-01  0.242E-02  0.165E+05  0.483E-01
102219.762        5199       18383  0.290E-01  0.242E-02  0.163E+05  0.487E-01
102231.773        5378       19268  0.291E-01  0.247E-02  0.160E+05  0.498E-01
102243.767        5570       20157  0.290E-01  0.249E-02  0.157E+05  0.499E-01
102255.770        5743       21039  0.288E-01  0.251E-02  0.156E+05  0.503E-01
102307.773        5905       21916  0.287E-01  0.250E-02  0.154E+05  0.504E-01
102319.768        6057       22788  0.288E-01  0.252E-02  0.152E+05  0.504E-01
102331.765        6225       23668  0.288E-01  0.252E-02  0.150E+05  0.504E-01
102343.760        6362       24535  0.287E-01  0.251E-02  0.149E+05  0.509E-01
102355.761        6504       25405  0.287E-01  0.252E-02  0.148E+05  0.515E-01
102407.771        6647       26275  0.286E-01  0.253E-02  0.147E+05  0.514E-01
102419.762        6797       27147  0.287E-01  0.255E-02  0.145E+05  0.518E-01
102431.768        6931       28014  0.287E-01  0.257E-02  0.144E+05  0.516E-01
102443.767        7062       28879  0.288E-01  0.260E-02  0.142E+05  0.518E-01
102455.773        7222       29756  0.287E-01  0.261E-02  0.142E+05  0.521E-01
102507.761        7362       30623  0.286E-01  0.262E-02  0.141E+05  0.521E-01
102519.761        7492       31488  0.284E-01  0.262E-02  0.141E+05  0.519E-01
102531.766        7614       32334  0.284E-01  0.262E-02  0.140E+05  0.524E-01
102543.771        7731       33193  0.283E-01  0.261E-02  0.140E+05  0.523E-01
102555.760        7862       34024  0.284E-01  0.261E-02  0.140E+05  0.520E-01
102607.769        7983       34857  0.282E-01  0.262E-02  0.139E+05  0.513E-01
102619.773        8117       35703  0.282E-01  0.261E-02  0.139E+05  0.510E-01
102631.771        8270       36545  0.281E-01  0.260E-02  0.138E+05  0.508E-01
102643.774        8384       37398  0.281E-01  0.260E-02  0.138E+05  0.506E-01
102655.772        8516       38258  0.282E-01  0.261E-02  0.137E+05  0.509E-01
102707.771        8627       39019  0.281E-01  0.261E-02  0.136E+05  0.508E-01
102719.768        8743       39726  0.280E-01  0.263E-02  0.136E+05  0.503E-01
102731.766        8876       40593  0.281E-01  0.263E-02  0.136E+05  0.504E-01
102743.769        9020       41468  0.282E-01  0.264E-02  0.135E+05  0.509E-01
102755.764        9159       42340  0.283E-01  0.264E-02  0.134E+05  0.510E-01
102807.763        9283       43207  0.284E-01  0.263E-02  0.132E+05  0.523E-01
