       Q,      F(Q)_RMC,  F(Q)_Expt
      0.7599998 ,      -1.6334637 ,      -0.8297427
      0.7799998 ,      -1.4449615 ,      -0.7588434
      0.7999998 ,      -1.2720970 ,      -0.7004110
      0.8199998 ,      -1.1189671 ,      -0.6571216
      0.8399998 ,      -0.9890146 ,      -0.6311711
      0.8599998 ,      -0.8849661 ,      -0.6242314
      0.8799998 ,      -0.8087874 ,      -0.6374172
      0.8999998 ,      -0.7616591 ,      -0.6712661
      0.9199998 ,      -0.7439700 ,      -0.7257307
      0.9399998 ,      -0.7553292 ,      -0.8001833
      0.9599998 ,      -0.7945943 ,      -0.8934333
      0.9799998 ,      -0.8599152 ,      -1.0037564
      0.9999998 ,      -0.9487915 ,      -1.1289350
      1.0199998 ,      -1.0581424 ,      -1.2663090
      1.0399998 ,      -1.1843865 ,      -1.4128359
      1.0599998 ,      -1.3235293 ,      -1.5651585
      1.0799998 ,      -1.4712577 ,      -1.7196794
      1.0999998 ,      -1.6230386 ,      -1.8726399
      1.1199998 ,      -1.7742195 ,      -2.0202027
      1.1399998 ,      -1.9201303 ,      -2.1585353
      1.1599998 ,      -2.0561835 ,      -2.2838936
      1.1799998 ,      -2.1779717 ,      -2.3927038
      1.1999998 ,      -2.2813605 ,      -2.4816395
      1.2199998 ,      -2.3625753 ,      -2.5476956
      1.2399998 ,      -2.4182808 ,      -2.5882531
      1.2599998 ,      -2.4456516 ,      -2.6011381
      1.2799998 ,      -2.4424322 ,      -2.5846706
      1.2999998 ,      -2.4069866 ,      -2.5377034
      1.3199998 ,      -2.3383351 ,      -2.4596507
      1.3399998 ,      -2.2361777 ,      -2.3505049
      1.3599998 ,      -2.1009054 ,      -2.2108424
      1.3799998 ,      -1.9335957 ,      -2.0418177
      1.3999998 ,      -1.7359954 ,      -1.8451458
      1.4199998 ,      -1.5104894 ,      -1.6230743
      1.4399998 ,      -1.2600558 ,      -1.3783443
      1.4599998 ,      -0.9882096 ,      -1.1141430
      1.4799998 ,      -0.6989338 ,      -0.8340465
      1.4999998 ,      -0.3966020 ,      -0.5419563
      1.5199998 ,      -0.0858921 ,      -0.2420290
      1.5399998 ,       0.2283063 ,       0.0613983
      1.5599998 ,       0.5409884 ,       0.3638857
      1.5799998 ,       0.8471333 ,       0.6609703
      1.5999998 ,       1.1418029 ,       0.9482456
      1.6199998 ,       1.4202383 ,       1.2214401
      1.6399998 ,       1.6779523 ,       1.4764927
      1.6599998 ,       1.9108155 ,       1.7096241
      1.6799998 ,       2.1151345 ,       1.9174022
      1.6999998 ,       2.2877199 ,       2.0968017
      1.7199998 ,       2.4259435 ,       2.2452548
      1.7399998 ,       2.5277843 ,       2.3606944
      1.7599998 ,       2.5918600 ,       2.4415870
      1.7799998 ,       2.6174469 ,       2.4869562
      1.7999998 ,       2.6044854 ,       2.4963966
      1.8199998 ,       2.5535724 ,       2.4700758
      1.8399998 ,       2.4659416 ,       2.4087281
      1.8599998 ,       2.3434309 ,       2.3136369
      1.8799998 ,       2.1884394 ,       2.1866076
      1.8999998 ,       2.0038738 ,       2.0299325
      1.9199998 ,       1.7930873 ,       1.8463465
      1.9399998 ,       1.5598102 ,       1.6389764
      1.9599998 ,       1.3080759 ,       1.4112828
      1.9799998 ,       1.0421429 ,       1.1669983
      1.9999998 ,       0.7664140 ,       0.9100606
      2.0199998 ,       0.4853558 ,       0.6445439
      2.0399998 ,       0.2034185 ,       0.3745880
      2.0599998 ,      -0.0750414 ,       0.1043277
      2.0799998 ,      -0.3458343 ,      -0.1621761
      2.0999998 ,      -0.6050065 ,      -0.4210038
      2.1199998 ,      -0.8489011 ,      -0.6684404
      2.1399998 ,      -1.0742136 ,      -0.9010344
      2.1599998 ,      -1.2780383 ,      -1.1156511
      2.1799998 ,      -1.4579064 ,      -1.3095190
      2.1999998 ,      -1.6118148 ,      -1.4802697
      2.2199998 ,      -1.7382466 ,      -1.6259699
      2.2399998 ,      -1.8361814 ,      -1.7451444
      2.2599998 ,      -1.9050969 ,      -1.8367922
      2.2799998 ,      -1.9449620 ,      -1.9003925
      2.2999998 ,      -1.9562212 ,      -1.9359028
      2.3199998 ,      -1.9397713 ,      -1.9437490
      2.3399998 ,      -1.8969317 ,      -1.9248071
      2.3599998 ,      -1.8294078 ,      -1.8803772
      2.3799998 ,      -1.7392495 ,      -1.8121511
      2.3999998 ,      -1.6288051 ,      -1.7221732
      2.4199998 ,      -1.5006720 ,      -1.6127966
      2.4399998 ,      -1.3576449 ,      -1.4866337
      2.4599998 ,      -1.2026624 ,      -1.3465048
      2.4799998 ,      -1.0387533 ,      -1.1953826
      2.4999998 ,      -0.8689833 ,      -1.0363360
      2.5199998 ,      -0.6964031 ,      -0.8724737
      2.5399998 ,      -0.5239980 ,      -0.7068877
      2.5599998 ,      -0.3546415 ,      -0.5425988
      2.5799998 ,      -0.1910512 ,      -0.3825045
      2.5999998 ,      -0.0357494 ,      -0.2293304
      2.6199998 ,       0.1089716 ,      -0.0855859
      2.6399998 ,       0.2410802 ,       0.0464757
      2.6599998 ,       0.3588295 ,       0.1648905
      2.6799998 ,       0.4607773 ,       0.2680123
      2.6999998 ,       0.5458000 ,       0.3545337
      2.7199998 ,       0.6131006 ,       0.4235007
      2.7399998 ,       0.6622116 ,       0.4743206
      2.7599998 ,       0.6929925 ,       0.5067626
      2.7799998 ,       0.7056223 ,       0.5209524
      2.7999998 ,       0.7005862 ,       0.5173591
      2.8199998 ,       0.6786592 ,       0.4967771
      2.8399998 ,       0.6408836 ,       0.4603018
      2.8599998 ,       0.5885446 ,       0.4092999
      2.8799998 ,       0.5231413 ,       0.3453758
      2.8999998 ,       0.4463549 ,       0.2703337
      2.9199998 ,       0.3600154 ,       0.1861369
      2.9399998 ,       0.2660657 ,       0.0948651
      2.9599998 ,       0.1665249 ,      -0.0013297
      2.9799998 ,       0.0634507 ,      -0.1002680
      2.9999998 ,      -0.0410979 ,      -0.1997867
      3.0199998 ,      -0.1450975 ,      -0.2977822
      3.0399998 ,      -0.2465964 ,      -0.3922513
      3.0599998 ,      -0.3437483 ,      -0.4813287
      3.0799998 ,      -0.4348447 ,      -0.5633218
