Time       moves_acc moves_gen     F(Q)_1     Bragg  Poly_cons   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+05  0.100E-05  0.100E+01  0.100E-01
105213.658         420         958  0.527E-01  0.175E-01  0.564E+05  0.205E+00
105225.659         800        1951  0.484E-01  0.161E-01  0.539E+05  0.187E+00
105237.661        1149        2908  0.448E-01  0.150E-01  0.520E+05  0.173E+00
105249.657        1476        3856  0.423E-01  0.138E-01  0.495E+05  0.165E+00
105301.663        1822        4837  0.400E-01  0.128E-01  0.475E+05  0.154E+00
105313.658        2088        5593  0.379E-01  0.120E-01  0.459E+05  0.146E+00
105325.654        2355        6322  0.361E-01  0.112E-01  0.444E+05  0.139E+00
105337.666        2592        7041  0.347E-01  0.105E-01  0.429E+05  0.134E+00
105349.658        2853        7768  0.330E-01  0.969E-02  0.415E+05  0.126E+00
105401.660        3066        8471  0.317E-01  0.906E-02  0.404E+05  0.119E+00
105413.663        3294        9186  0.306E-01  0.845E-02  0.392E+05  0.116E+00
105425.669        3525        9902  0.293E-01  0.776E-02  0.378E+05  0.110E+00
105437.658        3804       10821  0.281E-01  0.712E-02  0.363E+05  0.100E+00
105449.662        4097       11746  0.268E-01  0.658E-02  0.353E+05  0.925E-01
105501.657        4359       12659  0.260E-01  0.607E-02  0.338E+05  0.873E-01
105513.659        4600       13564  0.254E-01  0.569E-02  0.327E+05  0.825E-01
105525.665        4839       14468  0.246E-01  0.526E-02  0.318E+05  0.771E-01
105537.656        5085       15374  0.241E-01  0.497E-02  0.309E+05  0.721E-01
105549.655        5309       16271  0.235E-01  0.480E-02  0.303E+05  0.690E-01
105601.660        5531       17168  0.230E-01  0.455E-02  0.294E+05  0.659E-01
105613.667        5738       18060  0.228E-01  0.440E-02  0.287E+05  0.639E-01
105625.657        5948       18952  0.225E-01  0.425E-02  0.280E+05  0.630E-01
105637.667        6134       19835  0.222E-01  0.406E-02  0.276E+05  0.622E-01
105649.653        6339       20752  0.220E-01  0.391E-02  0.269E+05  0.620E-01
105701.655        6525       21663  0.218E-01  0.380E-02  0.264E+05  0.596E-01
105713.666        6737       22585  0.215E-01  0.375E-02  0.260E+05  0.563E-01
105725.660        6929       23511  0.211E-01  0.363E-02  0.255E+05  0.535E-01
105737.661        7089       24383  0.210E-01  0.356E-02  0.253E+05  0.522E-01
105749.665        7255       25257  0.208E-01  0.350E-02  0.249E+05  0.517E-01
105801.661        7412       26122  0.207E-01  0.345E-02  0.246E+05  0.501E-01
105813.655        7572       26976  0.206E-01  0.332E-02  0.241E+05  0.489E-01
105825.665        7702       27823  0.205E-01  0.331E-02  0.239E+05  0.481E-01
105837.654        7833       28674  0.203E-01  0.327E-02  0.237E+05  0.462E-01
105849.660        7961       29524  0.202E-01  0.325E-02  0.235E+05  0.458E-01
105901.667        8100       30379  0.202E-01  0.323E-02  0.233E+05  0.454E-01
105913.653        8220       31225  0.200E-01  0.319E-02  0.231E+05  0.440E-01
105925.667        8344       32074  0.199E-01  0.318E-02  0.230E+05  0.435E-01
105937.663        8504       32936  0.199E-01  0.316E-02  0.228E+05  0.438E-01
105949.657        8612       33778  0.198E-01  0.315E-02  0.226E+05  0.437E-01
110001.661        8732       34625  0.198E-01  0.314E-02  0.225E+05  0.433E-01
110013.660        8838       35466  0.197E-01  0.314E-02  0.223E+05  0.437E-01
110025.667        8950       36310  0.197E-01  0.313E-02  0.222E+05  0.440E-01
110037.665        9039       37144  0.197E-01  0.314E-02  0.221E+05  0.433E-01
110049.656        9157       37988  0.197E-01  0.310E-02  0.219E+05  0.425E-01
110101.658        9263       38828  0.197E-01  0.309E-02  0.218E+05  0.422E-01
110113.667        9359       39665  0.196E-01  0.308E-02  0.217E+05  0.415E-01
110125.659        9460       40502  0.196E-01  0.308E-02  0.216E+05  0.411E-01
110137.658        9558       41340  0.195E-01  0.305E-02  0.214E+05  0.411E-01
110149.656        9645       42173  0.195E-01  0.304E-02  0.214E+05  0.408E-01
110201.659        9745       43012  0.195E-01  0.304E-02  0.212E+05  0.406E-01
