Time       moves_acc moves_gen     F(Q)_1     Bragg  Poly_cons   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+05  0.100E-05  0.100E+01  0.100E-01
102947.290         435         981  0.762E+00  0.233E-02  0.166E+05  0.985E+00
102959.298         729        1819  0.737E+00  0.218E-02  0.190E+05  0.874E+00
103011.285         991        2534  0.717E+00  0.206E-02  0.208E+05  0.795E+00
103023.298        1318        3464  0.692E+00  0.199E-02  0.229E+05  0.720E+00
103035.288        1624        4356  0.669E+00  0.197E-02  0.248E+05  0.658E+00
103047.295        1959        5292  0.647E+00  0.199E-02  0.268E+05  0.604E+00
103059.286        2178        5987  0.633E+00  0.204E-02  0.281E+05  0.577E+00
103111.294        2426        6882  0.618E+00  0.212E-02  0.293E+05  0.548E+00
103123.293        2688        7758  0.605E+00  0.222E-02  0.299E+05  0.527E+00
103135.296        2927        8597  0.590E+00  0.240E-02  0.315E+05  0.499E+00
103147.295        3120        9279  0.579E+00  0.254E-02  0.323E+05  0.481E+00
103159.288        3304        9941  0.566E+00  0.277E-02  0.343E+05  0.462E+00
103211.303        3521       10646  0.555E+00  0.299E-02  0.356E+05  0.448E+00
103223.289        3715       11328  0.543E+00  0.324E-02  0.372E+05  0.436E+00
103235.286        3914       12011  0.535E+00  0.345E-02  0.377E+05  0.431E+00
103247.295        4103       12690  0.527E+00  0.365E-02  0.385E+05  0.425E+00
103259.290        4288       13382  0.519E+00  0.388E-02  0.395E+05  0.416E+00
103311.298        4449       14052  0.511E+00  0.415E-02  0.400E+05  0.408E+00
103323.285        4629       14726  0.501E+00  0.452E-02  0.408E+05  0.397E+00
103335.288        4858       15625  0.491E+00  0.487E-02  0.417E+05  0.386E+00
103347.297        5097       16525  0.482E+00  0.522E-02  0.422E+05  0.382E+00
103359.293        5272       17393  0.475E+00  0.559E-02  0.433E+05  0.373E+00
103411.296        5463       18239  0.467E+00  0.597E-02  0.439E+05  0.370E+00
103423.287        5637       19058  0.460E+00  0.635E-02  0.450E+05  0.363E+00
103435.292        5831       19897  0.453E+00  0.676E-02  0.459E+05  0.353E+00
103447.290        6015       20718  0.445E+00  0.719E-02  0.467E+05  0.350E+00
103459.291        6239       21587  0.437E+00  0.767E-02  0.470E+05  0.348E+00
103511.287        6436       22411  0.430E+00  0.809E-02  0.475E+05  0.341E+00
103523.294        6648       23273  0.424E+00  0.850E-02  0.481E+05  0.333E+00
103535.289        6843       24067  0.417E+00  0.894E-02  0.487E+05  0.326E+00
103547.301        6975       24743  0.411E+00  0.939E-02  0.497E+05  0.323E+00
103559.286        7117       25423  0.404E+00  0.989E-02  0.507E+05  0.313E+00
103611.290        7322       26320  0.395E+00  0.105E-01  0.520E+05  0.311E+00
103623.294        7525       27197  0.388E+00  0.110E-01  0.527E+05  0.305E+00
103635.292        7719       28075  0.381E+00  0.117E-01  0.536E+05  0.299E+00
103647.288        7915       28954  0.374E+00  0.123E-01  0.545E+05  0.294E+00
103659.291        8100       29850  0.370E+00  0.126E-01  0.542E+05  0.295E+00
103711.298        8264       30709  0.366E+00  0.131E-01  0.548E+05  0.291E+00
103723.289        8410       31573  0.363E+00  0.133E-01  0.547E+05  0.290E+00
103735.289        8586       32450  0.360E+00  0.138E-01  0.546E+05  0.289E+00
103747.287        8768       33329  0.355E+00  0.143E-01  0.553E+05  0.284E+00
103759.298        8950       34208  0.351E+00  0.146E-01  0.553E+05  0.282E+00
103811.292        9149       35104  0.344E+00  0.154E-01  0.565E+05  0.272E+00
103823.294        9341       35998  0.338E+00  0.161E-01  0.568E+05  0.267E+00
103835.285        9506       36881  0.333E+00  0.167E-01  0.576E+05  0.265E+00
103847.290        9688       37796  0.328E+00  0.172E-01  0.581E+05  0.265E+00
103859.292        9859       38682  0.324E+00  0.178E-01  0.585E+05  0.261E+00
103911.286       10023       39486  0.319E+00  0.183E-01  0.590E+05  0.256E+00
103923.285       10194       40343  0.316E+00  0.187E-01  0.590E+05  0.255E+00
103935.289       10355       41190  0.313E+00  0.192E-01  0.592E+05  0.252E+00
