       Q,      F(Q)_RMC,  F(Q)_Expt
      3.1599998 ,      -0.6633348 ,      -0.7942119
      3.1799998 ,      -0.7124561 ,      -0.8232806
      3.1999998 ,      -0.7498399 ,      -0.8400784
      3.2199998 ,      -0.7751978 ,      -0.8446805
      3.2399998 ,      -0.7884929 ,      -0.8374285
      3.2599998 ,      -0.7899378 ,      -0.8189166
      3.2799998 ,      -0.7799882 ,      -0.7899732
      3.2999998 ,      -0.7593312 ,      -0.7516380
      3.3199998 ,      -0.7288694 ,      -0.7051340
      3.3399998 ,      -0.6897004 ,      -0.6518370
      3.3599998 ,      -0.6430923 ,      -0.5932420
      3.3799998 ,      -0.5904551 ,      -0.5309268
      3.3999998 ,      -0.5333098 ,      -0.4665150
      3.4199998 ,      -0.4732539 ,      -0.4016385
      3.4399998 ,      -0.4119258 ,      -0.3378992
      3.4599998 ,      -0.3509677 ,      -0.2768330
      3.4799998 ,      -0.2919882 ,      -0.2198747
      3.4999998 ,      -0.2365250 ,      -0.1683260
      3.5199998 ,      -0.1860093 ,      -0.1233260
      3.5399998 ,      -0.1417319 ,      -0.0858264
      3.5599998 ,      -0.1048123 ,      -0.0565702
      3.5799998 ,      -0.0761715 ,      -0.0360757
      3.5999998 ,      -0.0565084 ,      -0.0246253
      3.6199998 ,      -0.0462818 ,      -0.0222599
      3.6399998 ,      -0.0456977 ,      -0.0287784
      3.6599998 ,      -0.0547015 ,      -0.0437429
      3.6799998 ,      -0.0729773 ,      -0.0664889
      3.6999998 ,      -0.0999526 ,      -0.0961412
      3.7199998 ,      -0.1348091 ,      -0.1316339
      3.7399998 ,      -0.1764998 ,      -0.1717350
      3.7599998 ,      -0.2237715 ,      -0.2150750
      3.7799998 ,      -0.2751921 ,      -0.2601778
      3.7999998 ,      -0.3291834 ,      -0.3054954
      3.8199998 ,      -0.3840570 ,      -0.3494432
      3.8399998 ,      -0.4380532 ,      -0.3904369
      3.8599998 ,      -0.4893831 ,      -0.4269291
      3.8799998 ,      -0.5362705 ,      -0.4574459
      3.8999998 ,      -0.5769954 ,      -0.4806213
      3.9199998 ,      -0.6099362 ,      -0.4952297
      3.9399998 ,      -0.6336095 ,      -0.5002160
      3.9599998 ,      -0.6467083 ,      -0.4947209
      3.9799998 ,      -0.6481359 ,      -0.4781035
      3.9999998 ,      -0.6370351 ,      -0.4499579
      4.0199998 ,      -0.6128127 ,      -0.4101254
      4.0399998 ,      -0.5751576 ,      -0.3587015
      4.0599998 ,      -0.5240529 ,      -0.2960368
      4.0799998 ,      -0.4597812 ,      -0.2227325
      4.0999998 ,      -0.3829227 ,      -0.1396311
      4.1199998 ,      -0.2943467 ,      -0.0478005
      4.1399998 ,      -0.1951965 ,       0.0514859
      4.1599998 ,      -0.0868674 ,       0.1567741
      4.1799998 ,       0.0290210 ,       0.2664582
      4.1999998 ,       0.1506579 ,       0.3788132
      4.2199998 ,       0.2760791 ,       0.4920298
      4.2399998 ,       0.4032087 ,       0.6042514
      4.2599998 ,       0.5299031 ,       0.7136128
      4.2799998 ,       0.6539973 ,       0.8182787
      4.2999998 ,       0.7733518 ,       0.9164820
      4.3199998 ,       0.8858991 ,       1.0065605
      4.3399998 ,       0.9896886 ,       1.0869922
      4.3599998 ,       1.0829295 ,       1.1564267
      4.3799998 ,       1.1640291 ,       1.2137137
      4.3999998 ,       1.2316285 ,       1.2579274
      4.4199998 ,       1.2846309 ,       1.2883853
      4.4399998 ,       1.3222261 ,       1.3046630
      4.4599998 ,       1.3439068 ,       1.3066022
      4.4799998 ,       1.3494795 ,       1.2943142
      4.4999998 ,       1.3390670 ,       1.2681765
      4.5199998 ,       1.3131052 ,       1.2288250
      4.5399998 ,       1.2723312 ,       1.1771391
      4.5599998 ,       1.2177664 ,       1.1142230
      4.5799998 ,       1.1506919 ,       1.0413811
      4.5999998 ,       1.0726186 ,       0.9600900
      4.6199998 ,       0.9852526 ,       0.8719662
      4.6399998 ,       0.8904561 ,       0.7787311
      4.6599998 ,       0.7902046 ,       0.6821743
      4.6799998 ,       0.6865427 ,       0.5841145
      4.6999998 ,       0.5815377 ,       0.4863610
      4.7199998 ,       0.4772338 ,       0.3906752
      4.7399998 ,       0.3756069 ,       0.2987330
      4.7599998 ,       0.2785209 ,       0.2120901
      4.7799998 ,       0.1876881 ,       0.1321491
      4.7999998 ,       0.1046320 ,       0.0601312
      4.8199998 ,       0.0306563 ,      -0.0029483
      4.8399998 ,      -0.0331823 ,      -0.0563002
      4.8599998 ,      -0.0860936 ,      -0.0993754
      4.8799998 ,      -0.1275686 ,      -0.1318744
      4.8999998 ,      -0.1573863 ,      -0.1537503
      4.9199998 ,      -0.1756143 ,      -0.1652068
      4.9399998 ,      -0.1826022 ,      -0.1666898
      4.9599998 ,      -0.1789694 ,      -0.1588741
      4.9799998 ,      -0.1655849 ,      -0.1426446
      4.9999998 ,      -0.1435434 ,      -0.1190730
      5.0199998 ,      -0.1141348 ,      -0.0893904
      5.0399998 ,      -0.0788100 ,      -0.0549561
      5.0599998 ,      -0.0391434 ,      -0.0172239
      5.0799998 ,       0.0032078 ,       0.0222932
      5.0999998 ,       0.0465456 ,       0.0620608
      5.1199998 ,       0.0891732 ,       0.1005591
      5.1399998 ,       0.1294377 ,       0.1363205
      5.1599998 ,       0.1657704 ,       0.1679642
      5.1799998 ,       0.1967252 ,       0.1942292
      5.1999998 ,       0.2210136 ,       0.2140042
      5.2199998 ,       0.2375356 ,       0.2263543
      5.2399998 ,       0.2454060 ,       0.2305421
      5.2599998 ,       0.2439745 ,       0.2260459
      5.2799998 ,       0.2328417 ,       0.2125710
      5.2999998 ,       0.2118666 ,       0.1900568
      5.3199998 ,       0.1811702 ,       0.1586776
      5.3399998 ,       0.1411308 ,       0.1188382
      5.3599998 ,       0.0923745 ,       0.0711641
      5.3799998 ,       0.0357588 ,       0.0164864
      5.3999998 ,      -0.0276483 ,      -0.0441782
      5.4199998 ,      -0.0965951 ,      -0.1096517
      5.4399998 ,      -0.1696766 ,      -0.1786222
      5.4599998 ,      -0.2453682 ,      -0.2496757
      5.4799998 ,      -0.3220632 ,      -0.3213289
      5.4999998 ,      -0.3981107 ,      -0.3920643
      5.5199998 ,      -0.4718549 ,      -0.4603657
      5.5399998 ,      -0.5416749 ,      -0.5247536
      5.5599998 ,      -0.6060222 ,      -0.5838198
      5.5799998 ,      -0.6634573 ,      -0.6362604
      5.5999998 ,      -0.7126830 ,      -0.6809052
      5.6199998 ,      -0.7525745 ,      -0.7167457
      5.6399998 ,      -0.7822048 ,      -0.7429574
      5.6599998 ,      -0.8008656 ,      -0.7589190
      5.6799998 ,      -0.8080832 ,      -0.7642261
      5.6999998 ,      -0.8036280 ,      -0.7587003
      5.7199998 ,      -0.7875188 ,      -0.7423927
      5.7399998 ,      -0.7600215 ,      -0.7155819
      5.7599998 ,      -0.7216415 ,      -0.6787672
      5.7799998 ,      -0.6731108 ,      -0.6326566
      5.7999998 ,      -0.6153699 ,      -0.5781497
      5.8199998 ,      -0.5495456 ,      -0.5163165
      5.8399998 ,      -0.4769235 ,      -0.4483724
      5.8599998 ,      -0.3989183 ,      -0.3756502
      5.8799998 ,      -0.3170404 ,      -0.2995690
      5.8999998 ,      -0.2328619 ,      -0.2216020
      5.9199998 ,      -0.1479800 ,      -0.1432426
      5.9399998 ,      -0.0639817 ,      -0.0659714
      5.9599998 ,       0.0175920 ,       0.0087776
      5.9799998 ,       0.0952793 ,       0.0796486
      5.9999998 ,       0.1677295 ,       0.1453933
      6.0199998 ,       0.2337314 ,       0.2048977
      6.0399998 ,       0.2922376 ,       0.2572061
      6.0599998 ,       0.3423859 ,       0.3015397
      6.0799998 ,       0.3835146 ,       0.3373123
      6.0999998 ,       0.4151738 ,       0.3641403
      6.1199998 ,       0.4371313 ,       0.3818486
      6.1399998 ,       0.4493734 ,       0.3904707
      6.1599998 ,       0.4521002 ,       0.3902443
      6.1799998 ,       0.4457163 ,       0.3816025
      6.1999998 ,       0.4308166 ,       0.3651592
      6.2199998 ,       0.4081680 ,       0.3416921
      6.2399998 ,       0.3786875 ,       0.3121204
      6.2599998 ,       0.3434163 ,       0.2774801
      6.2799998 ,       0.3034928 ,       0.2388974
      6.2999998 ,       0.2601221 ,       0.1975586
      6.3199998 ,       0.2145461 ,       0.1546807
      6.3399998 ,       0.1680121 ,       0.1114808
      6.3599998 ,       0.1217426 ,       0.0691454
      6.3799998 ,       0.0769057 ,       0.0288021
      6.3999998 ,       0.0345879 ,      -0.0085079
      6.4199998 ,      -0.0042307 ,      -0.0418548
      6.4399998 ,      -0.0386984 ,      -0.0704415
      6.4599998 ,      -0.0681097 ,      -0.0936218
      6.4799998 ,      -0.0919198 ,      -0.1109147
      6.4999998 ,      -0.1097546 ,      -0.1220143
      6.5199998 ,      -0.1214157 ,      -0.1267952
      6.5399998 ,      -0.1268819 ,      -0.1253134
      6.5599998 ,      -0.1263054 ,      -0.1178023
      6.5799998 ,      -0.1200041 ,      -0.1046653
      6.5999998 ,      -0.1084500 ,      -0.0864627
      6.6199998 ,      -0.0922533 ,      -0.0638960
      6.6399998 ,      -0.0721438 ,      -0.0377883
      6.6599998 ,      -0.0489498 ,      -0.0090617
      6.6799998 ,      -0.0235738 ,       0.0212873
      6.6999998 ,       0.0030319 ,       0.0522147
      6.7199998 ,       0.0298920 ,       0.0826561
      6.7399998 ,       0.0560336 ,       0.1115549
      6.7599998 ,       0.0805124 ,       0.1378895
      6.7799998 ,       0.1024376 ,       0.1607004
      6.7999998 ,       0.1209942 ,       0.1791145
      6.8199998 ,       0.1354644 ,       0.1923683
      6.8399998 ,       0.1452451 ,       0.1998269
      6.8599998 ,       0.1498632 ,       0.2010013
      6.8799998 ,       0.1489867 ,       0.1955610
      6.8999998 ,       0.1424322 ,       0.1833427
      6.9199998 ,       0.1301692 ,       0.1643554
      6.9399998 ,       0.1123196 ,       0.1387806
      6.9599998 ,       0.0891540 ,       0.1069691
      6.9799998 ,       0.0610840 ,       0.0694325
      6.9999998 ,       0.0286511 ,       0.0268323
      7.0199998 ,      -0.0074873 ,      -0.0200363
      7.0399998 ,      -0.0465752 ,      -0.0702619
      7.0599998 ,      -0.0877768 ,      -0.1228391
      7.0799998 ,      -0.1301976 ,      -0.1766911
      7.0999998 ,      -0.1729068 ,      -0.2306954
      7.1199998 ,      -0.2149599 ,      -0.2837094
      7.1399998 ,      -0.2554217 ,      -0.3345973
      7.1599998 ,      -0.2933888 ,      -0.3822558
      7.1799998 ,      -0.3280110 ,      -0.4256399
      7.1999998 ,      -0.3585111 ,      -0.4637867
      7.2199998 ,      -0.3842029 ,      -0.4958371
      7.2399998 ,      -0.4045064 ,      -0.5210550
      7.2599998 ,      -0.4189608 ,      -0.5388441
      7.2799998 ,      -0.4272338 ,      -0.5487607
      7.2999998 ,      -0.4291282 ,      -0.5505231
      7.3199998 ,      -0.4245851 ,      -0.5440174
      7.3399998 ,      -0.4136833 ,      -0.5292993
      7.3599998 ,      -0.3966362 ,      -0.5065917
      7.3799998 ,      -0.3737847 ,      -0.4762795
      7.3999998 ,      -0.3455880 ,      -0.4388993
      7.4199998 ,      -0.3126112 ,      -0.3951272
      7.4399998 ,      -0.2755107 ,      -0.3457626
      7.4599998 ,      -0.2350178 ,      -0.2917099
      7.4799998 ,      -0.1919210 ,      -0.2339579
      7.4999998 ,      -0.1470471 ,      -0.1735575
      7.5199998 ,      -0.1012418 ,      -0.1115987
      7.5399998 ,      -0.0553504 ,      -0.0491864
      7.5599998 ,      -0.0101986 ,       0.0125832
      7.5799998 ,       0.0334249 ,       0.0726458
      7.5999998 ,       0.0747860 ,       0.1299910
      7.6199998 ,       0.1132193 ,       0.1836831
      7.6399998 ,       0.1481417 ,       0.2328792
      7.6599998 ,       0.1790628 ,       0.2768455
      7.6799998 ,       0.2055933 ,       0.3149702
      7.6999998 ,       0.2274502 ,       0.3467740
      7.7199998 ,       0.2444600 ,       0.3719170
      7.7399998 ,       0.2565586 ,       0.3902022
      7.7599998 ,       0.2637889 ,       0.4015765
      7.7799998 ,       0.2662959 ,       0.4061271
      7.7999998 ,       0.2643191 ,       0.4040762
      7.8199998 ,       0.2581836 ,       0.3957715
      7.8399998 ,       0.2482884 ,       0.3816756
      7.8599998 ,       0.2350947 ,       0.3623515
      7.8799998 ,       0.2191115 ,       0.3384474
      7.8999998 ,       0.2008818 ,       0.3106792
      7.9199998 ,       0.1809679 ,       0.2798129
      7.9399998 ,       0.1599369 ,       0.2466454
      7.9599998 ,       0.1383467 ,       0.2119857
      7.9799998 ,       0.1167329 ,       0.1766368
      7.9999998 ,       0.0955963 ,       0.1413772
      8.0199998 ,       0.0753926 ,       0.1069451
      8.0399998 ,       0.0565231 ,       0.0740231
      8.0599998 ,       0.0393276 ,       0.0432248
      8.0799998 ,       0.0240786 ,       0.0150840
      8.0999998 ,       0.0109788 ,      -0.0099540
      8.1199998 ,       0.0001590 ,      -0.0315389
      8.1399998 ,      -0.0083208 ,      -0.0494188
      8.1599998 ,      -0.0144687 ,      -0.0634418
      8.1799998 ,      -0.0183566 ,      -0.0735545
      8.1999998 ,      -0.0201143 ,      -0.0797982
      8.2199998 ,      -0.0199224 ,      -0.0823035
      8.2399998 ,      -0.0180033 ,      -0.0812820
      8.2599998 ,      -0.0146125 ,      -0.0770172
      8.2799998 ,      -0.0100284 ,      -0.0698532
      8.2999998 ,      -0.0045428 ,      -0.0601833
      8.3199998 ,       0.0015498 ,      -0.0484366
      8.3399998 ,       0.0079609 ,      -0.0350658
      8.3599998 ,       0.0144178 ,      -0.0205333
      8.3799998 ,       0.0206711 ,      -0.0052992
      8.3999998 ,       0.0265022 ,       0.0101912
      8.4199998 ,       0.0317288 ,       0.0255182
      8.4399998 ,       0.0362093 ,       0.0402978
      8.4599998 ,       0.0398460 ,       0.0541898
      8.4799998 ,       0.0425863 ,       0.0669050
      8.4999998 ,       0.0444223 ,       0.0782100
      8.5199998 ,       0.0453898 ,       0.0879305
      8.5399998 ,       0.0455648 ,       0.0959530
      8.5599998 ,       0.0450592 ,       0.1022238
      8.5799998 ,       0.0440158 ,       0.1067476
      8.5999998 ,       0.0426016 ,       0.1095832
      8.6199998 ,       0.0410010 ,       0.1108387
      8.6399998 ,       0.0394081 ,       0.1106649
      8.6599998 ,       0.0380192 ,       0.1092479
      8.6799998 ,       0.0370251 ,       0.1068009
      8.6999998 ,       0.0366034 ,       0.1035556
      8.7199998 ,       0.0369118 ,       0.0997533
      8.7399998 ,       0.0380817 ,       0.0956357
      8.7599998 ,       0.0402127 ,       0.0914368
      8.7799998 ,       0.0433687 ,       0.0873745
