Q or theta , Calculated , Experiment
   2.0099999999999998       ,    915.78146479951124       ,    720.00000000000000     
   2.0299999999999998       ,    916.41837112235157       ,    732.00000000000000     
   2.0499999999999998       ,    912.97637186310033       ,    748.00000000000000     
   2.0699999999999998       ,    910.35476971151797       ,    765.00000000000000     
   2.0899999999999999       ,    908.78609844090829       ,    787.00000000000000     
   2.1099999999999999       ,    908.61098247251186       ,    817.00000000000000     
   2.1299999999999999       ,    910.32569542365491       ,    872.00000000000000     
   2.1499999999999999       ,    914.71475317130864       ,    965.00000000000000     
   2.1699999999999999       ,    923.04666897470133       ,    1090.0000000000000     
   2.1899999999999999       ,    937.74374988873319       ,    1160.0000000000000     
   2.2100000000000000       ,    966.24310899872694       ,    1150.0000000000000     
   2.2300000000000000       ,    1043.4929249402742       ,    1160.0000000000000     
   2.2500000000000000       ,    1311.0546437549019       ,    1390.0000000000000     
   2.2700000000000000       ,    2113.9937525431278       ,    2020.0000000000000     
   2.2900000000000000       ,    3765.0327722543957       ,    3690.0000000000000     
   2.3300000000000001       ,    6370.8459976754093       ,    6450.0000000000000     
   2.3500000000000001       ,    4898.2177953886612       ,    4880.0000000000000     
   2.3700000000000001       ,    2923.2531648140016       ,    2880.0000000000000     
   2.3900000000000001       ,    1683.0697108754889       ,    1720.0000000000000     
   2.4100000000000001       ,    1247.8028636813513       ,    1420.0000000000000     
   2.4300000000000002       ,    1333.8263053724966       ,    1480.0000000000000     
   2.4500000000000002       ,    1844.1176599392675       ,    2000.0000000000000     
   2.4700000000000002       ,    2622.0435073569975       ,    2970.0000000000000     
   2.5099999999999998       ,    2679.2291140225711       ,    2980.0000000000000     
   2.5299999999999998       ,    1868.0927899002299       ,    2030.0000000000000     
   2.5499999999999998       ,    1263.2583399458038       ,    1420.0000000000000     
   2.5699999999999998       ,    992.42190853279862       ,    1190.0000000000000     
   2.5899999999999999       ,    918.38154553304048       ,    1100.0000000000000     
   2.6099999999999999       ,    943.04709242266063       ,    1080.0000000000000     
   2.6299999999999999       ,    1072.0897071676566       ,    1150.0000000000000     
   2.6499999999999999       ,    1317.8941690844031       ,    1370.0000000000000     
   2.6899999999999999       ,    1571.2714317311784       ,    1610.0000000000000     
   2.7100000000000000       ,    1348.0319205225619       ,    1350.0000000000000     
   2.7300000000000000       ,    1127.7259746808481       ,    1120.0000000000000     
   2.7500000000000000       ,    1028.6140946203091       ,    1050.0000000000000     
   2.7700000000000000       ,    1032.4229488387921       ,    1080.0000000000000     
   2.7900000000000000       ,    1097.2335846955166       ,    1170.0000000000000     
   2.8100000000000001       ,    1221.1576728511009       ,    1340.0000000000000     
   2.8300000000000001       ,    1499.4788515591720       ,    1710.0000000000000     
   2.8500000000000001       ,    2388.4334527437477       ,    2730.0000000000000     
   2.8700000000000001       ,    5249.7984705860999       ,    5140.0000000000000     
   2.8900000000000001       ,    12024.213117846866       ,    11800.000000000000     
   2.9100000000000001       ,    22060.572920591658       ,    22700.000000000000     
   2.9500000000000002       ,    24419.495258404721       ,    25400.000000000000     
   2.9700000000000002       ,    14372.754640556934       ,    14200.000000000000     
   2.9900000000000002       ,    6501.1096662978571       ,    6010.0000000000000     
   3.0099999999999998       ,    2805.8364551122240       ,    3060.0000000000000     
   3.0299999999999998       ,    1583.8211715935897       ,    1780.0000000000000     
   3.0499999999999998       ,    1208.9272145405876       ,    1330.0000000000000     
   3.0699999999999998       ,    1048.5593941708605       ,    1150.0000000000000     
   3.0899999999999999       ,    950.48809057588699       ,    1060.0000000000000     
   3.1099999999999999       ,    881.74810579688437       ,    944.00000000000000     
   3.1299999999999999       ,    831.08490711029606       ,    829.00000000000000     
   3.1499999999999999       ,    792.48847109536473       ,    768.00000000000000     
   3.1699999999999999       ,    762.26874543679503       ,    767.00000000000000     
   3.1899999999999999       ,    738.04963492526281       ,    840.00000000000000     
   3.2100000000000000       ,    718.24545797175983       ,    952.00000000000000     
   3.2300000000000000       ,    701.76789738072807       ,    978.00000000000000     
   3.2500000000000000       ,    687.85793998262386       ,    869.00000000000000     
   3.2700000000000000       ,    675.96809218572014       ,    731.00000000000000     
   3.2900000000000000       ,    665.70799009926054       ,    651.00000000000000     
   3.3100000000000001       ,    656.79330082269075       ,    624.00000000000000     
   3.3300000000000001       ,    649.02275019289380       ,    622.00000000000000     
   3.3500000000000001       ,    642.26177762689781       ,    639.00000000000000     
   3.3700000000000001       ,    636.43819143256258       ,    667.00000000000000     
   3.3900000000000001       ,    631.55384731352865       ,    677.00000000000000     
   3.4100000000000001       ,    627.72535370046865       ,    662.00000000000000     
   3.4300000000000002       ,    625.46998203755743       ,    663.00000000000000     
   3.4500000000000002       ,    627.40383682895197       ,    703.00000000000000     
   3.4700000000000002       ,    644.59369766300279       ,    735.00000000000000     
   3.4900000000000002       ,    705.89471377578627       ,    748.00000000000000     
   3.5099999999999998       ,    842.74051980361639       ,    822.00000000000000     
   3.5499999999999998       ,    1102.2791859672661       ,    1050.0000000000000     
   3.5699999999999998       ,    986.09152495952276       ,    909.00000000000000     
   3.5899999999999999       ,    800.27943988428706       ,    702.00000000000000     
   3.6099999999999999       ,    670.97107995406668       ,    585.00000000000000     
   3.6299999999999999       ,    613.87983387423276       ,    535.00000000000000     
   3.6499999999999999       ,    594.47016367384731       ,    520.00000000000000     
   3.6699999999999999       ,    587.17881551263929       ,    520.00000000000000     
   3.6899999999999999       ,    583.14139721559093       ,    520.00000000000000     
   3.7100000000000000       ,    580.36109400971054       ,    517.00000000000000     
   3.7300000000000000       ,    578.41561622798622       ,    518.00000000000000     
   3.7500000000000000       ,    577.18714531952128       ,    539.00000000000000     
   3.7700000000000000       ,    576.66000322135403       ,    567.00000000000000     
   3.7900000000000000       ,    576.89392628380563       ,    577.00000000000000     
   3.8100000000000001       ,    578.01950437730147       ,    569.00000000000000     
   3.8300000000000001       ,    580.26876480746716       ,    559.00000000000000     
   3.8500000000000001       ,    584.01650530906500       ,    548.00000000000000     
   3.8700000000000001       ,    589.88171529339979       ,    535.00000000000000     
   3.8900000000000001       ,    599.01360203651302       ,    531.00000000000000     
   3.9100000000000001       ,    614.68242022887455       ,    543.00000000000000     
   3.9300000000000002       ,    651.51899136834402       ,    582.00000000000000     
   3.9500000000000002       ,    769.20538567112942       ,    688.00000000000000     
   3.9700000000000002       ,    1119.9610528086346       ,    987.00000000000000     
   3.9900000000000002       ,    1864.5778449769030       ,    1660.0000000000000     
   4.0300000000000002       ,    3260.7491485033015       ,    3200.0000000000000     
   4.0499999999999998       ,    2712.3364513549027       ,    2590.0000000000000     
   4.0700000000000003       ,    1906.4155082164577       ,    1740.0000000000000     
   4.0899999999999999       ,    1544.4456578894440       ,    1480.0000000000000     
   4.1299999999999999       ,    1659.9430027985568       ,    1690.0000000000000     
   4.1500000000000004       ,    1412.8034347896541       ,    1380.0000000000000     
   4.1699999999999999       ,    1134.8142922985962       ,    1050.0000000000000     
   4.1900000000000004       ,    1166.0090165172426       ,    1040.0000000000000     
   4.2100000000000000       ,    1810.9200483466946       ,    1540.0000000000000     
   4.2300000000000004       ,    3211.2309759894806       ,    2790.0000000000000     
   4.2699999999999996       ,    5127.7055194502964       ,    4890.0000000000000     
   4.2900000000000000       ,    3822.7021080665027       ,    3530.0000000000000     
   4.3099999999999996       ,    2255.7544819927784       ,    1940.0000000000000     
   4.3300000000000001       ,    1396.1784176535707       ,    1280.0000000000000     
   4.3499999999999996       ,    1375.6798778978459       ,    1290.0000000000000     
   4.3700000000000001       ,    2022.3741285319868       ,    1970.0000000000000     
   4.4100000000000001       ,    3255.3597080763325       ,    3270.0000000000000     
   4.4299999999999997       ,    2589.3304682828534       ,    2480.0000000000000     
   4.4500000000000002       ,    1636.7606674051212       ,    1470.0000000000000     
   4.4699999999999998       ,    1005.4678263132108       ,    886.00000000000000     
   4.4900000000000002       ,    742.42750628503813       ,    666.00000000000000     
   4.5099999999999998       ,    667.02033642732022       ,    586.00000000000000     
   4.5300000000000002       ,    657.73171292806478       ,    577.00000000000000     
   4.5499999999999998       ,    690.31923289369570       ,    624.00000000000000     
   4.5700000000000003       ,    832.92102824525296       ,    775.00000000000000     
   4.5899999999999999       ,    1300.0252436608894       ,    1170.0000000000000     
   4.6100000000000003       ,    2369.7001549559991       ,    2190.0000000000000     
   4.6299999999999999       ,    3887.7178780549107       ,    3790.0000000000000     
