 Q (1/Ang),S-S  ,S-F  ,F-F  
   0.71000 ,    -0.586490561606690E+01 ,     0.630405304388655E+00 ,    -0.968272301346819E+00 , 
   0.73000 ,    -0.633708991212789E+01 ,     0.297931735797510E+00 ,    -0.111062577483776E+01 , 
   0.75000 ,    -0.683741189676459E+01 ,    -0.394078525417182E-01 ,    -0.125196591864406E+01 , 
   0.77000 ,    -0.735520597065686E+01 ,    -0.373693370406755E+00 ,    -0.138894973571536E+01 , 
   0.79000 ,    -0.787908567756214E+01 ,    -0.697128540076807E+00 ,    -0.151840751609066E+01 , 
   0.81000 ,    -0.839711822437236E+01 ,    -0.100218216406334E+01 ,    -0.163740045635344E+01 , 
   0.83000 ,    -0.889700370204801E+01 ,    -0.128171581490506E+01 ,    -0.174326892647190E+01 , 
   0.85000 ,    -0.936626911128164E+01 ,    -0.152910474817484E+01 ,    -0.183367444242851E+01 , 
   0.87000 ,    -0.979248561770280E+01 ,    -0.173835538219023E+01 ,    -0.190663652983646E+01 , 
   0.89000 ,    -0.101634708693089E+02 ,    -0.190419925393301E+01 ,    -0.196055738908824E+01 , 
   0.91000 ,    -0.104675199721049E+02 ,    -0.202218661481769E+01 ,    -0.199424312552391E+01 , 
   0.93000 ,    -0.106936254121051E+02 ,    -0.208875909939946E+01 ,    -0.200691438031417E+01 , 
   0.95000 ,    -0.108316958476079E+02 ,    -0.210130809270181E+01 ,    -0.199820936452208E+01 , 
   0.97000 ,    -0.108727703329433E+02 ,    -0.205821632722348E+01 ,    -0.196817851480896E+01 , 
   0.99000 ,    -0.108092143616772E+02 ,    -0.195888174754788E+01 ,    -0.191727203816875E+01 , 
   1.01000 ,    -0.106349039929614E+02 ,    -0.180372179688901E+01 ,    -0.184631875357328E+01 , 
   1.03000 ,    -0.103454013329533E+02 ,    -0.159417201755378E+01 ,    -0.175650421545485E+01 , 
   1.05000 ,    -0.993807922020358E+01 ,    -0.133264305404130E+01 ,    -0.164933205463752E+01 , 
   1.07000 ,    -0.941224256497959E+01 ,    -0.102248301697109E+01 ,    -0.152659071562245E+01 , 
   1.09000 ,    -0.876920834389773E+01 ,    -0.667913139185924E+00 ,    -0.139031121280299E+01 , 
   1.11000 ,    -0.801235373557547E+01 ,    -0.273950130458489E+00 ,    -0.124272266339035E+01 , 
   1.13000 ,    -0.714712842695343E+01 ,     0.153685315862315E+00 ,    -0.108620566170775E+01 , 
   1.15000 ,    -0.618102951839683E+01 ,     0.608672254450151E+00 ,    -0.923244484110361E+00 , 
