Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
142231.969        7661       15817  0.177E+01  0.992E+02
142243.971       11750       26932  0.120E+01  0.653E+02
142255.990       16041       39874  0.809E+00  0.440E+02
142308.050       19479       51425  0.587E+00  0.317E+02
142319.970       22660       63633  0.437E+00  0.231E+02
142332.015       25217       75292  0.351E+00  0.177E+02
142343.970       28232       90899  0.273E+00  0.129E+02
142355.973       30562      104999  0.227E+00  0.101E+02
142407.970       32226      117250  0.198E+00  0.843E+01
142419.970       34522      135262  0.166E+00  0.660E+01
142431.972       36355      155263  0.148E+00  0.551E+01
142443.986       37984      173094  0.131E+00  0.478E+01
142455.970       39227      187313  0.121E+00  0.428E+01
142507.975       40449      203468  0.111E+00  0.386E+01
142519.970       41505      221242  0.104E+00  0.357E+01
142531.970       42403      237058  0.983E-01  0.338E+01
142543.974       43088      251382  0.948E-01  0.323E+01
142555.969       43832      266863  0.907E-01  0.305E+01
142607.970       44603      281807  0.870E-01  0.288E+01
142619.971       45392      297534  0.827E-01  0.274E+01
142632.049       46231      315970  0.790E-01  0.261E+01
142643.969       46979      333410  0.761E-01  0.247E+01
142655.969       47818      352974  0.733E-01  0.233E+01
142707.969       48562      371869  0.699E-01  0.225E+01
142719.970       49164      389958  0.690E-01  0.218E+01
142731.976       49747      408357  0.676E-01  0.211E+01
142743.969       50332      425077  0.655E-01  0.206E+01
142755.969       50904      443075  0.643E-01  0.200E+01
142807.970       51504      460548  0.635E-01  0.197E+01
142819.969       52093      479862  0.621E-01  0.192E+01
142831.975       52529      495506  0.615E-01  0.190E+01
142844.026       52911      508946  0.611E-01  0.188E+01
142855.977       53534      527321  0.618E-01  0.182E+01
142907.969       54159      547004  0.594E-01  0.182E+01
142919.983       54604      564346  0.585E-01  0.181E+01
142931.974       55113      583719  0.575E-01  0.179E+01
142943.973       55530      599306  0.572E-01  0.177E+01
142955.971       55896      613077  0.568E-01  0.176E+01
143007.970       56298      629158  0.561E-01  0.176E+01
143019.971       56616      641377  0.558E-01  0.174E+01
143031.970       57008      655721  0.553E-01  0.172E+01
143043.972       57329      669601  0.546E-01  0.171E+01
143056.045       57591      679562  0.543E-01  0.170E+01
143107.970       57920      692146  0.538E-01  0.169E+01
143119.970       58279      706055  0.535E-01  0.168E+01
143132.049       58721      722302  0.530E-01  0.166E+01
143143.973       59207      739541  0.520E-01  0.165E+01
143156.037       59624      754658  0.514E-01  0.163E+01
143207.969       60122      775291  0.509E-01  0.161E+01
143219.969       60472      788718  0.507E-01  0.160E+01
