Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
173057.011      598230      712500
173109.010     1114683     1326068
173121.010     1569637     1866883
173133.012     2040514     2424668
173145.011     2476286     2942528
173157.010     2947708     3500012
173209.010     3455958     4102290
173221.011     3879746     4603711
173233.011     4286356     5085241
173245.011     4747504     5632383
173257.011     5205037     6175705
173309.011     5667378     6721557
173321.011     6116428     7252207
173333.011     6578139     7797654
173345.011     7031668     8332689
173357.013     7486661     8873612
173409.010     7901210     9367486
173421.010     8418516     9980385
173433.010     8940698    10600211
173445.010     9472430    11232161
173457.011     9961082    11809879
173509.011    10434601    12370623
173521.011    10840594    12852977
173533.010    11269019    13359986
173545.010    11753343    13933694
173557.011    12198464    14460648
173609.011    12618117    14956321
173621.011    13040218    15456682
173633.011    13474846    15969015
173645.011    13881576    16448619
173657.011    14308166    16953214
173709.011    14727789    17450359
173721.011    15127421    17922674
173733.012    15530770    18398913
173745.011    15985298    18936878
173757.011    16443226    19479679
173809.011    16915654    20038752
173821.011    17389911    20600507
173833.011    17837629    21128207
173845.010    18265076    21633123
173857.011    18690152    22137160
173909.010    19081651    22601864
173921.010    19619365    23235866
173933.011    20095215    23797561
173945.011    20538501    24323175
173957.011    20984090    24849592
174009.010    21408848    25353545
174021.010    21932591    25976191
174033.010    22472423    26616000
174045.011    23004063    27246272
174057.010    23448200    27775158
174109.010    23919744    28335715
174121.010    24406061    28910788
174133.010    24906338    29504193
174145.010    25374358    30059893
174157.011    25838693    30608630
174209.010    26318417    31175009
174221.010    26838544    31790082
174233.010    27349002    32394288
174245.010    27861677    32998688
174257.010    28375350    33606912
174309.010    28882528    34208962
174321.010    29350447    34762858
174333.010    29845891    35348758
174345.010    30355687    35950759
174357.010    30870792    36560391
174409.010    31412324    37200153
174421.010    31951959    37836434
174433.011    32437880    38410795
174445.010    32912313    38972712
174457.010    33425500    39581494
174509.010    33949599    40199317
174521.010    34454299    40795281
174533.010    34990346    41428202
174545.010    35503298    42034792
174557.010    36040495    42672465
174609.010    36579429    43311297
174621.010    37115045    43946285
174633.011    37620260    44546144
174645.010    38148638    45171152
174657.010    38627672    45737674
174709.011    39045426    46233902
174721.011    39479507    46748946
174733.011    39933356    47285205
174745.011    40358584    47789780
174757.011    40812364    48326439
174809.010    41247475    48839641
174821.011    41716340    49393619
174833.011    42175867    49935352
174845.013    42668297    50518395
174857.011    43090553    51018828
174909.011    43528025    51536033
174921.011    43969225    52057215
174933.011    44438245    52612507
174945.011    44905177    53164716
174957.011    45372473    53717110
175009.011    45840526    54270885
175021.011    46300934    54814462
175033.011    46764181    55360695
175045.011    47178061    55851602
175057.011    47618151    56372698
175109.011    48093332    56932781
175121.011    48503337    57415802
175133.011    48907441    57893332
175145.011    49342261    58406220
175157.011    49772976    58915307
175209.011    50199384    59422284
175221.011    50668277    59976705
175233.011    51094085    60480523
175245.011    51548700    61018674
175257.011    52016256    61573402
175309.017    52496166    62140317
175321.011    52894867    62612135
175333.011    53306158    63100435
175345.011    53766615    63645146
175357.011    54229855    64193052
175409.011    54696158    64743993
175421.011    55162233    65293453
175433.011    55624299    65840296
175445.011    56084660    66381968
175457.011    56548906    66930256
175509.011    57004510    67469732
175521.011    57416171    67958578
175533.011    57828727    68445751
175545.011    58285322    68985777
175557.011    58756318    69540819
175609.011    59230922    70103151
175621.011    59710157    70669900
175633.011    60187420    71234278
175645.011    60669073    71803404
175657.011    61149877    72372096
175709.011    61627290    72939117
175721.011    62072783    73464020
175733.011    62539871    74013730
175745.011    63005828    74563968
175757.011    63464827    75105375
175809.011    63932197    75658007
175821.011    64396571    76209532
175833.011    64860381    76758126
175845.011    65324958    77307421
175857.011    65791846    77859544
175909.011    66257412    78412964
175921.011    66725942    78966571
175933.011    67192483    79518337
175945.011    67657889    80070753
175957.013    68125764    80623207
180009.011    68592997    81176614
180021.011    69057630    81725720
180033.011    69527218    82280011
180045.011    69993330    82833685
