 Q (1/Ang),Si-Si,Si-O ,O-O  
   0.20000 ,    -0.244784046528273E+01 ,     0.144208104419953E+01 ,     0.296544490098501E+01 , 
   0.40000 ,    -0.276967128958205E+01 ,     0.409949156240884E+00 ,     0.253777667221629E+01 , 
   0.60000 ,    -0.262262108608553E+01 ,    -0.371659386196738E-01 ,    -0.931687311533971E+00 , 
   0.80000 ,    -0.239753173568820E+01 ,     0.100089504753605E+00 ,    -0.942344285898351E+00 , 
   1.00000 ,    -0.213879802333762E+01 ,     0.290099874797276E+00 ,    -0.894882722640373E+00 , 
   1.20000 ,    -0.163481520560909E+01 ,     0.553963568194611E+00 ,    -0.616533823482847E+00 , 
   1.40000 ,    -0.101685145359329E+01 ,     0.925199443158564E+00 ,    -0.202540328052349E+00 , 
   1.60000 ,    -0.713286533833567E+00 ,     0.112223974289353E+01 ,    -0.163253964436226E+00 , 
   1.80000 ,    -0.678144496162170E+00 ,     0.703827652888891E+00 ,    -0.590538567328733E+00 , 
   2.00000 ,     0.446112717845516E+00 ,     0.192810303790809E+00 ,    -0.905070732743367E+00 , 
   2.20000 ,     0.845506050150353E+00 ,    -0.303004527071253E+00 ,    -0.802939292327104E+00 , 
   2.40000 ,     0.856182721032426E+00 ,    -0.705608113409171E+00 ,    -0.537925282715301E+00 , 
   2.60000 ,     0.764780226158274E+00 ,    -0.107450950644533E+01 ,     0.229810319899889E-01 , 
   2.80000 ,     0.675327270817650E+00 ,    -0.110124347655665E+01 ,     0.779346087405871E+00 , 
   3.00000 ,     0.117122969051193E+00 ,    -0.699689415233811E+00 ,     0.827425454860931E+00 , 
   3.20000 ,    -0.645671389061354E+00 ,    -0.369710037522327E+00 ,     0.422103518196619E+00 , 
   3.40000 ,    -0.956333660798086E+00 ,    -0.115562559417255E+00 ,     0.780806518828704E-01 , 
   3.60000 ,    -0.654808478450188E+00 ,    -0.267349749331525E+00 ,    -0.244146597465800E-02 , 
   3.80000 ,    -0.542522743818595E+00 ,    -0.986430912664132E-01 ,    -0.216788418677483E+00 , 
   4.00000 ,    -0.340203658579234E+00 ,     0.335925470609869E-01 ,    -0.346719822965413E+00 , 
   4.20000 ,     0.375244904631890E+00 ,     0.661467826516366E-01 ,    -0.440702872278356E+00 , 
   4.40000 ,     0.368967829823273E+00 ,     0.100496669011989E+00 ,    -0.371236756707588E+00 , 
   4.60000 ,     0.204139087813697E+00 ,     0.248251426910105E+00 ,    -0.309774082092207E+00 , 
   4.80000 ,    -0.240555049740212E-02 ,     0.430026606896962E+00 ,    -0.193508692940027E+00 , 
   5.00000 ,    -0.606324302041928E-01 ,     0.470666784624876E+00 ,     0.107868206950258E+00 , 
   5.20000 ,     0.272384502336476E-01 ,     0.589823626832422E+00 ,     0.478862460127733E+00 , 
   5.40000 ,    -0.117417136248303E+00 ,     0.647783892762450E+00 ,     0.686814031651153E+00 , 
   5.60000 ,    -0.197524025834303E+00 ,     0.340129064730397E+00 ,     0.478093396170374E+00 , 
   5.80000 ,    -0.162799471541740E+00 ,    -0.331331885793226E-02 ,     0.154689649327167E+00 , 
   6.00000 ,    -0.535417284569075E-01 ,    -0.189158947861934E+00 ,    -0.610542192082688E-01 , 
   6.20000 ,     0.425442533523201E-01 ,    -0.366027104628828E+00 ,    -0.132095700323920E+00 , 
   6.40000 ,     0.233369282370881E+00 ,    -0.397949754157098E+00 ,    -0.221330677000797E+00 , 
   6.60000 ,     0.267043092022757E+00 ,    -0.444800118929015E+00 ,    -0.222146351300486E+00 , 
   6.80000 ,     0.240280928316941E+00 ,    -0.437032121574785E+00 ,    -0.238593707555935E+00 , 
   7.00000 ,     0.375227187319985E-01 ,    -0.359739757626447E+00 ,    -0.242677570356008E+00 , 
   7.20000 ,    -0.123938311335865E+00 ,    -0.311435428196450E+00 ,    -0.152530911916302E+00 , 
   7.40000 ,    -0.174141776714136E+00 ,    -0.180233340738506E+00 ,    -0.614103527235348E-01 , 
   7.60000 ,    -0.143382045097627E+00 ,    -0.498693908904991E-01 ,     0.465863550186572E-01 , 
   7.80000 ,    -0.149284175149736E+00 ,     0.926308592685296E-01 ,     0.200867349640156E+00 , 
   8.00000 ,    -0.994218068801404E-01 ,     0.215643337891189E+00 ,     0.241522652291068E+00 , 
   8.20000 ,     0.444591370057194E-02 ,     0.252382901355634E+00 ,     0.177312313654201E+00 , 
   8.40000 ,     0.397569591594362E-01 ,     0.251528677915113E+00 ,     0.427383401426996E-01 , 
