sample v-GeO2 1325K x4                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2647.000       51.44901    
   1.000000       340.0000       18.43909    
   2.000000       431.0000       20.76054    
   3.000000       470.0000       21.67948    
   4.000000       709.0000       26.62705    
   5.000000       950.0000       30.82207    
   6.000000       1081.000       32.87856    
   7.000000       1293.000       35.95831    
   8.000000       1335.000       36.53765    
   9.000000       1376.000       37.09447    
   10.00000       1256.000       35.44009    
   11.00000       1267.000       35.59494    
   12.00000       1142.000       33.79349    
   13.00000       1011.000       31.79623    
   14.00000       959.0000       30.96773    
   15.00000       970.0000       31.14482    
   16.00000       981.0000       31.32092    
   17.00000       1083.000       32.90897    
   18.00000       1180.000       34.35113    
   19.00000       2736.000       52.30679    
   20.00000       1414.000       37.60319    
   21.00000       1566.000       39.57272    
   22.00000       1672.000       40.89009    
   23.00000       1944.000       44.09082    
   24.00000       6143.000       78.37729    
   25.00000       11103.00       105.3708    
   26.00000       12122.00       110.1000    
   27.00000       13031.00       114.1534    
   28.00000       13584.00       116.5504    
   29.00000       13585.00       116.5547    
   30.00000       11437.00       106.9439    
   31.00000       11752.00       108.4066    
   32.00000       12982.00       113.9386    
   33.00000       14016.00       118.3892    
   34.00000       13467.00       116.0474    
   35.00000       13489.00       116.1422    
   36.00000       14905.00       122.0860    
   37.00000       14539.00       120.5778    
   38.00000       13553.00       116.4174    
   39.00000       12734.00       112.8450    
   40.00000       14921.00       122.1515    
   41.00000       14748.00       121.4413    
   42.00000       14530.00       120.5405    
   43.00000       14987.00       122.4214    
   44.00000       15420.00       124.1773    
   45.00000       15571.00       124.7838    
   46.00000       15381.00       124.0202    
   47.00000       15278.00       123.6042    
   48.00000       15175.00       123.1869    
   49.00000       16106.00       126.9094    
   50.00000       14112.00       118.7939    
   51.00000       15176.00       123.1909    
   52.00000       16996.00       130.3687    
   53.00000       16539.00       128.6040    
   54.00000       16571.00       128.7284    
   55.00000       17182.00       131.0801    
   56.00000       16974.00       130.2843    
   57.00000       17117.00       130.8320    
   58.00000       16725.00       129.3252    
   59.00000       14418.00       120.0750    
   60.00000       18511.00       136.0551    
   61.00000       18953.00       137.6699    
   62.00000       20052.00       141.6051    
   63.00000       19883.00       141.0071    
   64.00000       19594.00       139.9786    
   65.00000       20341.00       142.6219    
   66.00000       19895.00       141.0496    
   67.00000       19588.00       139.9571    
   68.00000       19097.00       138.1919    
   69.00000       21264.00       145.8218    
   70.00000       18890.00       137.4409    
   71.00000       18874.00       137.3827    
   72.00000       19046.00       138.0072    
   73.00000       18921.00       137.5536    
   74.00000       19621.00       140.0750    
   75.00000       18509.00       136.0478    
   76.00000       18881.00       137.4082    
