Cd 11mm Room Temperature                                     29-11-07  2000.000K
                                                                                
  XO,DX,Lambda :    1.000000       1.000000       0.0
   1.000000       912.0000       30.19934    
   2.000000       469.0000       21.65641    
   3.000000       496.0000       22.27106    
   4.000000       570.0000       23.87467    
   5.000000       1017.000       31.89044    
   6.000000       1652.000       40.64480    
   7.000000       1736.000       41.66533    
   8.000000       1832.000       42.80187    
   9.000000       1560.000       39.49683    
   10.00000       1158.000       34.02940    
   11.00000       1128.000       33.58571    
   12.00000       1154.000       33.97058    
   13.00000       1137.000       33.71943    
   14.00000       1231.000       35.08561    
   15.00000       1207.000       34.74191    
   16.00000       1125.000       33.54102    
   17.00000       1268.000       35.60899    
   18.00000       1463.000       38.24918    
   19.00000       1881.000       43.37050    
   20.00000       2193.000       46.82948    
   21.00000       2155.000       46.42198    
   22.00000       2366.000       48.64154    
   23.00000       2284.000       47.79121    
   24.00000       2660.000       51.57519    
   25.00000       3689.000       60.73714    
   26.00000       3505.000       59.20304    
   27.00000       3235.000       56.87706    
   28.00000       3036.000       55.09991    
   29.00000       3061.000       55.32631    
   30.00000       2984.000       54.62600    
   31.00000       2813.000       53.03772    
   32.00000       2696.000       51.92302    
   33.00000       2617.000       51.15662    
   34.00000       2843.000       53.31979    
   35.00000       2636.000       51.34199    
   36.00000       2536.000       50.35872    
   37.00000       2791.000       52.82991    
   38.00000       2787.000       52.79205    
   39.00000       2496.000       49.95998    
   40.00000       2553.000       50.52722    
   41.00000       2814.000       53.04715    
   42.00000       2642.000       51.40039    
   43.00000       2588.000       50.87239    
   44.00000       2655.000       51.52669    
   45.00000       2780.000       52.72570    
   46.00000       2698.000       51.94228    
   47.00000       2619.000       51.17617    
   48.00000       2620.000       51.18594    
   49.00000       2519.000       50.18964    
   50.00000       2729.000       52.23983    
   51.00000       2402.000       49.01020    
   52.00000       2597.000       50.96077    
   53.00000       2928.000       54.11100    
   54.00000       2835.000       53.24472    
   55.00000       2896.000       53.81450    
   56.00000       3054.000       55.26301    
   57.00000       2970.000       54.49771    
   58.00000       3029.000       55.03635    
   59.00000       2903.000       53.87949    
   60.00000       2544.000       50.43808    
   61.00000       3106.000       55.73150    
   62.00000       3145.000       56.08030    
   63.00000       3380.000       58.13777    
   64.00000       3450.000       58.73670    
   65.00000       3419.000       58.47221    
   66.00000       3426.000       58.53204    
   67.00000       3431.000       58.57474    
   68.00000       3251.000       57.01754    
   69.00000       3249.000       57.00000    
   70.00000       3537.000       59.47268    
   71.00000       3337.000       57.76677    
   72.00000       3328.000       57.68882    
   73.00000       3413.000       58.42089    
   74.00000       3403.000       58.33524    
   75.00000       3490.000       59.07622    
   76.00000       3551.000       59.59027    
   77.00000       3487.000       59.05083    
   78.00000       3452.000       58.75372    
   79.00000       3290.000       57.35852    
   80.00000       2816.000       53.06600    
   81.00000       3534.000       59.44746    
   82.00000       3583.000       59.85817    
   83.00000       3706.000       60.87693    
   84.00000       3735.000       61.11465    
   85.00000       3860.000       62.12890    
   86.00000       3913.000       62.55398    
   87.00000       3670.000       60.58052    
   88.00000       3875.000       62.24950    
   89.00000       3831.000       61.89507    
   90.00000       4086.000       63.92183    
   91.00000       3632.000       60.26608    
   92.00000       3789.000       61.55486    
   93.00000       3827.000       61.86275    
   94.00000       3785.000       61.52235    
   95.00000       3920.000       62.60991    
   96.00000       3949.000       62.84107    
   97.00000       3821.000       61.81424    
   98.00000       3884.000       62.32175    
   99.00000       3862.000       62.14499    
   100.0000       3610.000       60.08327    
   101.0000       3561.000       59.67411    
   102.0000       3718.000       60.97541    
   103.0000       3822.000       61.82233    
   104.0000       3998.000       63.22974    
   105.0000       4026.000       63.45077    
   106.0000       4080.000       63.87488    
   107.0000       3969.000       63.00000    
   108.0000       3997.000       63.22183    
   109.0000       3971.000       63.01587    
   110.0000       4269.000       65.33759    
   111.0000       3922.000       62.62587    
   112.0000       4114.000       64.14047    
   113.0000       4208.000       64.86910    
   114.0000       4149.000       64.41273    
   115.0000       4207.000       64.86139    
   116.0000       4274.000       65.37584    
   117.0000       4264.000       65.29931    
   118.0000       4056.000       63.68673    
   119.0000       3812.000       61.74140    
   120.0000       3405.000       58.35238    
   121.0000       4430.000       66.55824    
   122.0000       4039.000       63.55313    
   123.0000       4366.000       66.07571    
   124.0000       4401.000       66.34003    
   125.0000       4304.000       65.60488    
   126.0000       4371.000       66.11354    
   127.0000       4353.000       65.97727    
   128.0000       4392.000       66.27216    
   129.0000       4276.000       65.39113    
   130.0000       4431.000       66.56576    
   131.0000       4095.000       63.99219    
   132.0000       4246.000       65.16134    
   133.0000       4506.000       67.12675    
   134.0000       4282.000       65.43699    
   135.0000       4323.000       65.74953    
   136.0000       4289.000       65.49046    
