Cd 11mm Room Temperature                                     29-11-07  2000.000K
                                                                                
  XO,DX,Lambda :    1.000000       1.000000       0.0
   1.000000       900.0000       30.00000    
   2.000000       445.0000       21.09502    
   3.000000       481.0000       21.93171    
   4.000000       577.0000       24.02082    
   5.000000       1103.000       33.21144    
   6.000000       1613.000       40.16217    
   7.000000       1813.000       42.57934    
   8.000000       1839.000       42.88356    
   9.000000       1561.000       39.50949    
   10.00000       1140.000       33.76389    
   11.00000       1076.000       32.80244    
   12.00000       1122.000       33.49627    
   13.00000       1124.000       33.52611    
   14.00000       1195.000       34.56877    
   15.00000       1207.000       34.74191    
   16.00000       1147.000       33.86739    
   17.00000       1425.000       37.74917    
   18.00000       1468.000       38.31449    
   19.00000       1850.000       43.01163    
   20.00000       2338.000       48.35287    
   21.00000       2182.000       46.71188    
   22.00000       2470.000       49.69909    
   23.00000       2309.000       48.05206    
   24.00000       2817.000       53.07542    
   25.00000       3848.000       62.03225    
   26.00000       3516.000       59.29587    
   27.00000       3444.000       58.68560    
   28.00000       3092.000       55.60575    
   29.00000       2940.000       54.22177    
   30.00000       3036.000       55.09991    
   31.00000       2842.000       53.31041    
   32.00000       2625.000       51.23475    
   33.00000       2515.000       50.14978    
   34.00000       2842.000       53.31041    
   35.00000       2565.000       50.64583    
   36.00000       2588.000       50.87239    
   37.00000       2857.000       53.45091    
   38.00000       2766.000       52.59277    
   39.00000       2676.000       51.73007    
   40.00000       2446.000       49.45705    
   41.00000       2817.000       53.07542    
   42.00000       2596.000       50.95096    
   43.00000       2548.000       50.47772    
   44.00000       2717.000       52.12485    
   45.00000       2691.000       51.87485    
   46.00000       2705.000       52.00961    
   47.00000       2551.000       50.50742    
   48.00000       2651.000       51.48786    
   49.00000       2516.000       50.15974    
   50.00000       2777.000       52.69725    
   51.00000       2500.000       50.00000    
   52.00000       2568.000       50.67544    
   53.00000       3039.000       55.12712    
   54.00000       2874.000       53.60970    
   55.00000       2949.000       54.30470    
   56.00000       3023.000       54.98182    
   57.00000       3111.000       55.77634    
   58.00000       3018.000       54.93633    
   59.00000       2917.000       54.00926    
   60.00000       2563.000       50.62608    
   61.00000       2906.000       53.90733    
   62.00000       3146.000       56.08921    
   63.00000       3348.000       57.86190    
   64.00000       3418.000       58.46367    
   65.00000       3350.000       57.87918    
   66.00000       3536.000       59.46428    
   67.00000       3414.000       58.42944    
   68.00000       3385.000       58.18075    
   69.00000       3390.000       58.22371    
   70.00000       3661.000       60.50620    
   71.00000       3353.000       57.90509    
   72.00000       3244.000       56.95612    
   73.00000       3420.000       58.48077    
   74.00000       3409.000       58.38664    
   75.00000       3479.000       58.98305    
   76.00000       3467.000       58.88124    
   77.00000       3615.000       60.12487    
   78.00000       3591.000       59.92495    
   79.00000       3298.000       57.42822    
   80.00000       2914.000       53.98148    
   81.00000       3526.000       59.38013    
   82.00000       3589.000       59.90826    
   83.00000       3690.000       60.74537    
   84.00000       3825.000       61.84658    
   85.00000       3768.000       61.38404    
   86.00000       3822.000       61.82233    
   87.00000       3787.000       61.53860    
   88.00000       3800.000       61.64414    
   89.00000       3873.000       62.23343    
   90.00000       3966.000       62.97618    
   91.00000       3769.000       61.39218    
   92.00000       3823.000       61.83041    
   93.00000       3793.000       61.58734    
   94.00000       3878.000       62.27359    
   95.00000       3949.000       62.84107    
   96.00000       3933.000       62.71363    
   97.00000       3933.000       62.71363    
   98.00000       3949.000       62.84107    
   99.00000       3882.000       62.30570    
   100.0000       3742.000       61.17189    
   101.0000       3745.000       61.19640    
   102.0000       3716.000       60.95900    
   103.0000       3824.000       61.83850    
   104.0000       4005.000       63.28507    
   105.0000       4096.000       64.00000    
   106.0000       4079.000       63.86705    
   107.0000       3963.000       62.95236    
   108.0000       4106.000       64.07808    
   109.0000       4026.000       63.45077    
   110.0000       4277.000       65.39877    
   111.0000       3831.000       61.89507    
   112.0000       4014.000       63.35614    
   113.0000       4380.000       66.18157    
   114.0000       4167.000       64.55231    
   115.0000       4209.000       64.87681    
   116.0000       4286.000       65.46755    
   117.0000       4300.000       65.57439    
   118.0000       4045.000       63.60032    
   119.0000       3881.000       62.29767    
   120.0000       3444.000       58.68560    
   121.0000       4508.000       67.14164    
   122.0000       4298.000       65.55914    
   123.0000       4380.000       66.18157    
   124.0000       4582.000       67.69048    
   125.0000       4245.000       65.15366    
   126.0000       4128.000       64.24951    
   127.0000       4429.000       66.55074    
   128.0000       4481.000       66.94027    
   129.0000       4113.000       64.13268    
   130.0000       4517.000       67.20863    
   131.0000       4192.000       64.74566    
   132.0000       4276.000       65.39113    
   133.0000       4582.000       67.69048    
   134.0000       4327.000       65.77994    
   135.0000       4433.000       66.58078    
   136.0000       4312.000       65.66582    
