sample v-GeO2 1325K x3                                       24-11-07  1000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   5134.000       71.65194    
   1.000000       726.0000       26.94439    
   2.000000       784.0000       28.00000    
   3.000000       971.0000       31.16087    
   4.000000       1346.000       36.68787    
   5.000000       1878.000       43.33590    
   6.000000       2228.000       47.20169    
   7.000000       2524.000       50.23943    
   8.000000       2676.000       51.73007    
   9.000000       2917.000       54.00926    
   10.00000       2607.000       51.05879    
   11.00000       2482.000       49.81968    
   12.00000       2315.000       48.11445    
   13.00000       2014.000       44.87761    
   14.00000       1901.000       43.60046    
   15.00000       1891.000       43.48563    
   16.00000       1976.000       44.45222    
   17.00000       2111.000       45.94562    
   18.00000       2319.000       48.15600    
   19.00000       5315.000       72.90405    
   20.00000       2906.000       53.90733    
   21.00000       3186.000       56.44466    
   22.00000       3335.000       57.74946    
   23.00000       3939.000       62.76145    
   24.00000       12336.00       111.0676    
   25.00000       21969.00       148.2194    
   26.00000       23987.00       154.8774    
   27.00000       26242.00       161.9938    
   28.00000       26558.00       162.9662    
   29.00000       26674.00       163.3218    
   30.00000       22541.00       150.1366    
   31.00000       23549.00       153.4568    
   32.00000       26084.00       161.5054    
   33.00000       27971.00       167.2453    
   34.00000       27088.00       164.5843    
   35.00000       26814.00       163.7498    
   36.00000       29410.00       171.4934    
   37.00000       29256.00       171.0439    
   38.00000       27390.00       165.4993    
   39.00000       25427.00       159.4585    
   40.00000       30418.00       174.4076    
   41.00000       29123.00       170.6546    
   42.00000       29363.00       171.3564    
   43.00000       30257.00       173.9454    
   44.00000       30985.00       176.0256    
   45.00000       31597.00       177.7554    
   46.00000       30276.00       174.0000    
   47.00000       30562.00       174.8199    
   48.00000       30193.00       173.7613    
   49.00000       31934.00       178.7009    
   50.00000       27953.00       167.1915    
   51.00000       30640.00       175.0428    
   52.00000       33417.00       182.8032    
   53.00000       32964.00       181.5599    
   54.00000       32843.00       181.2264    
   55.00000       33876.00       184.0543    
   56.00000       34284.00       185.1594    
   57.00000       34492.00       185.7202    
   58.00000       33277.00       182.4198    
   59.00000       28013.00       167.3708    
   60.00000       36398.00       190.7826    
   61.00000       37137.00       192.7096    
   62.00000       39076.00       197.6765    
   63.00000       39812.00       199.5294    
   64.00000       39850.00       199.6246    
   65.00000       40331.00       200.8258    
   66.00000       39650.00       199.1231    
   67.00000       39480.00       198.6957    
   68.00000       38577.00       196.4103    
   69.00000       42275.00       205.6089    
   70.00000       36917.00       192.1380    
   71.00000       37204.00       192.8834    
   72.00000       37719.00       194.2138    
   73.00000       37620.00       193.9588    
   74.00000       39158.00       197.8838    
   75.00000       37573.00       193.8376    
   76.00000       37495.00       193.6363    
