Vanadium rnace avelenght calibration                         26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   7919.000       88.98876    
   1.000000       1220.000       34.92850    
   2.000000       1403.000       37.45664    
   3.000000       1591.000       39.88734    
   4.000000       2320.000       48.16638    
   5.000000       3341.000       57.80138    
   6.000000       3728.000       61.05735    
   7.000000       4383.000       66.20423    
   8.000000       4453.000       66.73080    
   9.000000       4323.000       65.74953    
   10.00000       4163.000       64.52132    
   11.00000       4111.000       64.11708    
   12.00000       3902.000       62.46599    
   13.00000       3524.000       59.36329    
   14.00000       3266.000       57.14893    
   15.00000       3290.000       57.35852    
   16.00000       3507.000       59.21993    
   17.00000       3617.000       60.14150    
   18.00000       4133.000       64.28841    
   19.00000       8890.000       94.28680    
   20.00000       5034.000       70.95068    
   21.00000       5644.000       75.12656    
   22.00000       5795.000       76.12490    
   23.00000       6863.000       82.84322    
   24.00000       19277.00       138.8416    
   25.00000       48126.00       219.3764    
   26.00000       52636.00       229.4254    
   27.00000       53653.00       231.6312    
   28.00000       51865.00       227.7389    
   29.00000       50836.00       225.4684    
   30.00000       44036.00       209.8476    
   31.00000       44877.00       211.8419    
   32.00000       49670.00       222.8677    
   33.00000       53084.00       230.3997    
   34.00000       51082.00       226.0133    
   35.00000       50613.00       224.9733    
   36.00000       54923.00       234.3566    
   37.00000       54472.00       233.3924    
   38.00000       50355.00       224.3992    
   39.00000       48473.00       220.1658    
   40.00000       54458.00       233.3624    
   41.00000       52489.00       229.1048    
   42.00000       52640.00       229.4341    
   43.00000       54340.00       233.1094    
   44.00000       54383.00       233.2016    
   45.00000       55328.00       235.2190    
   46.00000       53336.00       230.9459    
   47.00000       53077.00       230.3845    
   48.00000       51023.00       225.8827    
   49.00000       54654.00       233.7820    
   50.00000       47921.00       218.9087    
   51.00000       50620.00       224.9889    
   52.00000       54864.00       234.2307    
   53.00000       52737.00       229.6454    
   54.00000       52585.00       229.3142    
   55.00000       52751.00       229.6759    
   56.00000       52412.00       228.9367    
   57.00000       52259.00       228.6023    
   58.00000       50283.00       224.2387    
   59.00000       44021.00       209.8118    
   60.00000       52664.00       229.4864    
   61.00000       52353.00       228.8078    
   62.00000       55250.00       235.0532    
   63.00000       55412.00       235.3975    
   64.00000       55287.00       235.1319    
   65.00000       56119.00       236.8945    
   66.00000       55486.00       235.5547    
   67.00000       54941.00       234.3950    
   68.00000       53569.00       231.4498    
   69.00000       59467.00       243.8586    
   70.00000       53547.00       231.4023    
   71.00000       53910.00       232.1853    
   72.00000       54599.00       233.6643    
   73.00000       54094.00       232.5812    
   74.00000       55625.00       235.8495    
   75.00000       54116.00       232.6285    
   76.00000       54981.00       234.4803    
