sample v-GeO2 1400K tst                                      23-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   11461.00       107.0561    
   1.000000       1439.000       37.93415    
   2.000000       1633.000       40.41040    
   3.000000       1952.000       44.18144    
   4.000000       2730.000       52.24940    
   5.000000       3854.000       62.08059    
   6.000000       4449.000       66.70082    
   7.000000       5250.000       72.45689    
   8.000000       5483.000       74.04728    
   9.000000       5847.000       76.46568    
   10.00000       5382.000       73.36211    
   11.00000       5145.000       71.72865    
   12.00000       4885.000       69.89278    
   13.00000       4207.000       64.86139    
   14.00000       3944.000       62.80127    
   15.00000       3963.000       62.95236    
   16.00000       4148.000       64.40497    
   17.00000       4328.000       65.78754    
   18.00000       4939.000       70.27802    
   19.00000       12062.00       109.8271    
   20.00000       5995.000       77.42738    
   21.00000       6688.000       81.78019    
   22.00000       6875.000       82.91562    
   23.00000       8135.000       90.19424    
   24.00000       25727.00       160.3964    
   25.00000       45028.00       212.1980    
   26.00000       49919.00       223.4256    
   27.00000       53990.00       232.3575    
   28.00000       54842.00       234.1837    
   29.00000       54320.00       233.0665    
   30.00000       46713.00       216.1319    
   31.00000       48316.00       219.8090    
   32.00000       53677.00       231.6830    
   33.00000       57749.00       240.3102    
   34.00000       55911.00       236.4551    
   35.00000       55380.00       235.3296    
   36.00000       60848.00       246.6739    
   37.00000       60308.00       245.5769    
   38.00000       56786.00       238.2981    
   39.00000       54082.00       232.5554    
   40.00000       63006.00       251.0100    
   41.00000       60835.00       246.6475    
   42.00000       60650.00       246.2722    
   43.00000       63949.00       252.8814    
   44.00000       64659.00       254.2813    
   45.00000       65929.00       256.7664    
   46.00000       64029.00       253.0395    
   47.00000       65118.00       255.1823    
   48.00000       63663.00       252.3153    
   49.00000       67838.00       260.4573    
   50.00000       60073.00       245.0979    
   51.00000       65437.00       255.8066    
   52.00000       72505.00       269.2675    
   53.00000       70681.00       265.8590    
   54.00000       71385.00       267.1797    
   55.00000       73728.00       271.5290    
   56.00000       73938.00       271.9154    
   57.00000       74483.00       272.9157    
   58.00000       73259.00       270.6640    
   59.00000       64971.00       254.8941    
   60.00000       79065.00       281.1850    
   61.00000       80245.00       283.2755    
   62.00000       85973.00       293.2115    
   63.00000       86658.00       294.3773    
   64.00000       86272.00       293.7209    
   65.00000       87478.00       295.7668    
   66.00000       85644.00       292.6500    
   67.00000       85085.00       291.6933    
   68.00000       83295.00       288.6087    
   69.00000       90935.00       301.5543    
   70.00000       81268.00       285.0754    
   71.00000       80503.00       283.7305    
   72.00000       80724.00       284.1197    
   73.00000       79375.00       281.7357    
   74.00000       82096.00       286.5240    
   75.00000       78177.00       279.6015    
   76.00000       78410.00       280.0179    
