Vanadium rnace avelenght calibration                         26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       57755.00       240.3227    
   185.0000       58266.00       241.3835    
   186.0000       57114.00       238.9854    
   187.0000       57694.00       240.1958    
   188.0000       56040.00       236.7277    
   189.0000       59131.00       243.1687    
   190.0000       54961.00       234.4376    
   191.0000       55447.00       235.4719    
   192.0000       56343.00       237.3668    
   193.0000       55198.00       234.9426    
   194.0000       55409.00       235.3912    
   195.0000       55613.00       235.8241    
   196.0000       55409.00       235.3912    
   197.0000       55343.00       235.2509    
   198.0000       55463.00       235.5058    
   199.0000       57422.00       239.6289    
   200.0000       52650.00       229.4559    
   201.0000       53097.00       230.4279    
   202.0000       55168.00       234.8787    
   203.0000       56899.00       238.5351    
   204.0000       55276.00       235.1085    
   205.0000       55163.00       234.8680    
   206.0000       54763.00       234.0150    
   207.0000       57210.00       239.1861    
   208.0000       54740.00       233.9658    
   209.0000       57929.00       240.6844    
   210.0000       51810.00       227.6181    
   211.0000       54206.00       232.8218    
   212.0000       57520.00       239.8333    
   213.0000       55636.00       235.8728    
   214.0000       54599.00       233.6643    
   215.0000       53874.00       232.1077    
   216.0000       55506.00       235.5971    
   217.0000       55612.00       235.8220    
   218.0000       52090.00       228.2323    
   219.0000       50783.00       225.3508    
   220.0000       57521.00       239.8354    
   221.0000       54192.00       232.7917    
   222.0000       54055.00       232.4973    
   223.0000       54843.00       234.1858    
   224.0000       54784.00       234.0598    
   225.0000       54465.00       233.3774    
   226.0000       54148.00       232.6972    
   227.0000       55890.00       236.4107    
   228.0000       54100.00       232.5941    
   229.0000       57711.00       240.2311    
   230.0000       51988.00       228.0088    
   231.0000       53764.00       231.8707    
   232.0000       55580.00       235.7541    
   233.0000       54566.00       233.5937    
   234.0000       54181.00       232.7681    
   235.0000       54711.00       233.9038    
   236.0000       55704.00       236.0170    
   237.0000       54495.00       233.4416    
   238.0000       54121.00       232.6392    
   239.0000       49563.00       222.6275    
   240.0000       56831.00       238.3925    
   241.0000       54416.00       233.2724    
   242.0000       57137.00       239.0335    
   243.0000       55014.00       234.5506    
   244.0000       54357.00       233.1459    
   245.0000       56553.00       237.8087    
   246.0000       54544.00       233.5466    
   247.0000       56089.00       236.8312    
   248.0000       53670.00       231.6679    
   249.0000       57381.00       239.5433    
   250.0000       52733.00       229.6367    
   251.0000       54134.00       232.6671    
   252.0000       55718.00       236.0466    
   253.0000       53834.00       232.0215    
   254.0000       54046.00       232.4780    
   255.0000       53072.00       230.3736    
   256.0000       54627.00       233.7242    
   257.0000       53348.00       230.9719    
   258.0000       50998.00       225.8274    
   259.0000       46573.00       215.8078    
   260.0000       54964.00       234.4440    
   261.0000       54684.00       233.8461    
   262.0000       53145.00       230.5320    
   263.0000       53563.00       231.4368    
   264.0000       54008.00       232.3962    
   265.0000       53604.00       231.5254    
   266.0000       54331.00       233.0901    
   267.0000       56320.00       237.3183    
   268.0000       54048.00       232.4823    
   269.0000       57762.00       240.3373    
   270.0000       52494.00       229.1157    
   271.0000       52044.00       228.1315    
   272.0000       55222.00       234.9936    
   273.0000       54028.00       232.4392    
   274.0000       53270.00       230.8029    
   275.0000       52818.00       229.8217    
   276.0000       55014.00       234.5506    
   277.0000       53316.00       230.9026    
   278.0000       51300.00       226.4950    
   279.0000       45976.00       214.4202    
   280.0000       54791.00       234.0748    
   281.0000       53582.00       231.4779    
   282.0000       54040.00       232.4651    
   283.0000       54413.00       233.2659    
   284.0000       54042.00       232.4694    
   285.0000       54478.00       233.4052    
   286.0000       54255.00       232.9270    
   287.0000       55450.00       235.4782    
   288.0000       53114.00       230.4648    
   289.0000       56178.00       237.0190    
   290.0000       52096.00       228.2455    
   291.0000       52476.00       229.0764    
   292.0000       54201.00       232.8111    
   293.0000       52406.00       228.9236    
   294.0000       52198.00       228.4688    
   295.0000       53114.00       230.4648    
   296.0000       53988.00       232.3532    
   297.0000       52188.00       228.4469    
   298.0000       50642.00       225.0378    
   299.0000       50469.00       224.6531    
   300.0000       55227.00       235.0043    
   301.0000       52288.00       228.6657    
   302.0000       53011.00       230.2412    
   303.0000       53367.00       231.0130    
   304.0000       52683.00       229.5278    
   305.0000       53215.00       230.6838    
   306.0000       53242.00       230.7423    
   307.0000       52469.00       229.0611    
   308.0000       51634.00       227.2312    
   309.0000       55408.00       235.3890    
   310.0000       51336.00       226.5745    
   311.0000       52892.00       229.9826    
   312.0000       53839.00       232.0323    
   313.0000       52091.00       228.2345    
   314.0000       51917.00       227.8530    
   315.0000       51111.00       226.0774    
   316.0000       52278.00       228.6438    
   317.0000       53550.00       231.4087    
   318.0000       51452.00       226.8303    
   319.0000       48298.00       219.7681    
   320.0000       49055.00       221.4836    
   321.0000       51388.00       226.6892    
   322.0000       52778.00       229.7346    
   323.0000       52873.00       229.9413    
   324.0000       52878.00       229.9522    
   325.0000       52798.00       229.7782    
   326.0000       51986.00       228.0044    
   327.0000       52352.00       228.8056    
   328.0000       50889.00       225.5859    
   329.0000       54434.00       233.3110    
   330.0000       50579.00       224.8978    
   331.0000       51195.00       226.2631    
   332.0000       52839.00       229.8674    
   333.0000       50623.00       224.9956    
   334.0000       51277.00       226.4443    
   335.0000       51970.00       227.9693    
   336.0000       51298.00       226.4906    
   337.0000       51739.00       227.4621    
   338.0000       51105.00       226.0641    
   339.0000       49855.00       223.2823    
   340.0000       54743.00       233.9722    
   341.0000       51963.00       227.9539    
   342.0000       53351.00       230.9783    
   343.0000       53709.00       231.7520    
   344.0000       55390.00       235.3508    
   345.0000       56273.00       237.2193    
   346.0000       53982.00       232.3403    
   347.0000       53968.00       232.3101    
   348.0000       54039.00       232.4629    
   349.0000       57204.00       239.1736    
   350.0000       52066.00       228.1797    
   351.0000       53495.00       231.2899    
   352.0000       55376.00       235.3211    
   353.0000       53146.00       230.5342    
   354.0000       53490.00       231.2791    
   355.0000       54005.00       232.3898    
   356.0000       56185.00       237.0338    
   357.0000       55143.00       234.8255    
   358.0000       54190.00       232.7875    
   359.0000       57419.00       239.6226    
   360.0000       56166.00       236.9937    
   361.0000       53605.00       231.5275    
   362.0000       54229.00       232.8712    
   363.0000       55120.00       234.7765    
   364.0000       55291.00       235.1404    
   365.0000       54708.00       233.8974    
   366.0000       54570.00       233.6022    
   367.0000       55825.00       236.2731    
   368.0000       54124.00       232.6457    
   369.0000       57123.00       239.0042    
   370.0000       51410.00       226.7377    
   371.0000       52321.00       228.7378    
   372.0000       55714.00       236.0381    
   373.0000       53027.00       230.2759    
   374.0000       53488.00       231.2747    
   375.0000       53763.00       231.8685    
   376.0000       54422.00       233.2852    
   377.0000       54838.00       234.1752    
   378.0000       52948.00       230.1043    
   379.0000       50831.00       225.4573    
   380.0000       54876.00       234.2563    
   381.0000       50127.00       223.8906    
   382.0000       52538.00       229.2117    
   383.0000       54426.00       233.2938    
   384.0000       53697.00       231.7261    
   385.0000       54404.00       233.2466    
   386.0000       54424.00       233.2895    
   387.0000       55706.00       236.0212    
   388.0000       53192.00       230.6339    
   389.0000       56368.00       237.4195    
   390.0000       51825.00       227.6510    
   391.0000       53715.00       231.7650    
   392.0000       53572.00       231.4563    
   393.0000       51689.00       227.3521    
   394.0000       53824.00       232.0000    
   395.0000       54326.00       233.0794    
   396.0000       54816.00       234.1282    
   397.0000       54402.00       233.2424    
   398.0000       53200.00       230.6512    
   399.0000       55221.00       234.9915    
   400.0000       53900.00       232.1637    
   401.0000       53224.00       230.7033    
   402.0000       53332.00       230.9372    
   403.0000       53685.00       231.7002    
   404.0000       54094.00       232.5812    
   405.0000       55624.00       235.8474    
   406.0000       54166.00       232.7359    
   407.0000       53551.00       231.4109    
   408.0000       52317.00       228.7291    
   409.0000       54774.00       234.0385    
   410.0000       49001.00       221.3617    
   411.0000       52486.00       229.0982    
   412.0000       53789.00       231.9246    
   413.0000       52462.00       229.0459    
