empty can 300K                                               17-11-07   660.672K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       16633.00       128.9690    
   185.0000       16780.00       129.5376    
   186.0000       16482.00       128.3822    
   187.0000       16602.00       128.8488    
   188.0000       15796.00       125.6821    
   189.0000       16498.00       128.4445    
   190.0000       15655.00       125.1199    
   191.0000       15687.00       125.2478    
   192.0000       15945.00       126.2735    
   193.0000       15559.00       124.7357    
   194.0000       15474.00       124.3945    
   195.0000       15529.00       124.6154    
   196.0000       15502.00       124.5070    
   197.0000       15440.00       124.2578    
   198.0000       15603.00       124.9120    
   199.0000       15867.00       125.9643    
   200.0000       14986.00       122.4173    
   201.0000       14810.00       121.6963    
   202.0000       15465.00       124.3584    
   203.0000       15942.00       126.2616    
   204.0000       15445.00       124.2779    
   205.0000       15509.00       124.5351    
   206.0000       15366.00       123.9597    
   207.0000       16060.00       126.7281    
   208.0000       15114.00       122.9390    
   209.0000       16226.00       127.3813    
   210.0000       14572.00       120.7145    
   211.0000       15154.00       123.1016    
   212.0000       16157.00       127.1102    
   213.0000       15499.00       124.4950    
   214.0000       15252.00       123.4990    
   215.0000       14957.00       122.2988    
   216.0000       15647.00       125.0880    
   217.0000       15465.00       124.3584    
   218.0000       14702.00       121.2518    
   219.0000       14517.00       120.4865    
   220.0000       16179.00       127.1967    
   221.0000       15089.00       122.8373    
   222.0000       14824.00       121.7539    
   223.0000       15438.00       124.2497    
   224.0000       15383.00       124.0282    
   225.0000       14998.00       122.4663    
   226.0000       15565.00       124.7598    
   227.0000       15722.00       125.3874    
   228.0000       15517.00       124.5673    
   229.0000       15957.00       126.3210    
   230.0000       14634.00       120.9711    
   231.0000       15001.00       122.4786    
   232.0000       15344.00       123.8709    
   233.0000       15198.00       123.2802    
   234.0000       15069.00       122.7559    
   235.0000       15186.00       123.2315    
   236.0000       15521.00       124.5833    
   237.0000       15135.00       123.0244    
   238.0000       14798.00       121.6470    
   239.0000       13993.00       118.2920    
   240.0000       15881.00       126.0198    
   241.0000       14939.00       122.2252    
   242.0000       15780.00       125.6185    
   243.0000       15235.00       123.4301    
   244.0000       15237.00       123.4382    
   245.0000       15903.00       126.1071    
   246.0000       15465.00       124.3584    
   247.0000       15528.00       124.6114    
   248.0000       15016.00       122.5398    
   249.0000       15837.00       125.8451    
   250.0000       14881.00       121.9877    
   251.0000       15061.00       122.7233    
   252.0000       15548.00       124.6916    
   253.0000       14987.00       122.4214    
   254.0000       15299.00       123.6891    
   255.0000       14765.00       121.5113    
   256.0000       15480.00       124.4186    
   257.0000       15192.00       123.2558    
   258.0000       14449.00       120.2040    
   259.0000       13746.00       117.2433    
   260.0000       15497.00       124.4869    
   261.0000       15383.00       124.0282    
   262.0000       15093.00       122.8536    
   263.0000       14893.00       122.0369    
   264.0000       15025.00       122.5765    
   265.0000       15282.00       123.6204    
   266.0000       15296.00       123.6770    
   267.0000       15815.00       125.7577    
   268.0000       15079.00       122.7966    
   269.0000       15946.00       126.2775    
   270.0000       14861.00       121.9057    
   271.0000       14354.00       119.8082    
   272.0000       15520.00       124.5793    
   273.0000       15107.00       122.9105    
   274.0000       14879.00       121.9795    
   275.0000       14840.00       121.8195    
   276.0000       15085.00       122.8210    
   277.0000       14929.00       122.1843    
   278.0000       14409.00       120.0375    
   279.0000       12963.00       113.8552    
   280.0000       15442.00       124.2658    
   281.0000       15007.00       122.5031    
   282.0000       15356.00       123.9193    
   283.0000       15217.00       123.3572    
   284.0000       15131.00       123.0081    
   285.0000       14985.00       122.4132    
   286.0000       15220.00       123.3694    
   287.0000       15518.00       124.5713    
   288.0000       14922.00       122.1556    
   289.0000       15475.00       124.3986    
   290.0000       14497.00       120.4035    
   291.0000       14641.00       121.0000    
   292.0000       15041.00       122.6418    
   293.0000       14381.00       119.9208    
   294.0000       14585.00       120.7684    
   295.0000       14893.00       122.0369    
   296.0000       15117.00       122.9512    
   297.0000       14598.00       120.8222    
   298.0000       14351.00       119.7957    
   299.0000       14195.00       119.1428    
   300.0000       15491.00       124.4628    
   301.0000       14613.00       120.8842    
   302.0000       14822.00       121.7456    
   303.0000       15070.00       122.7599    
   304.0000       14626.00       120.9380    
   305.0000       15074.00       122.7762    
   306.0000       14795.00       121.6347    
   307.0000       14771.00       121.5360    
   308.0000       14579.00       120.7435    
   309.0000       15355.00       123.9153    
   310.0000       14506.00       120.4409    
   311.0000       14897.00       122.0533    
   312.0000       15060.00       122.7192    
   313.0000       14312.00       119.6328    
   314.0000       14531.00       120.5446    
   315.0000       14294.00       119.5575    
   316.0000       14827.00       121.7662    
   317.0000       14890.00       122.0246    
   318.0000       14369.00       119.8708    
   319.0000       14033.00       118.4610    
   320.0000       13440.00       115.9310    
   321.0000       14581.00       120.7518    
   322.0000       14998.00       122.4663    
   323.0000       14883.00       121.9959    
   324.0000       14601.00       120.8346    
   325.0000       14767.00       121.5195    
   326.0000       14789.00       121.6100    
   327.0000       14741.00       121.4125    
   328.0000       13968.00       118.1863    
   329.0000       15167.00       123.1544    
   330.0000       14250.00       119.3734    
   331.0000       14233.00       119.3021    
   332.0000       14650.00       121.0372    
   333.0000       14040.00       118.4905    
   334.0000       14427.00       120.1124    
   335.0000       14237.00       119.3189    
   336.0000       14366.00       119.8582    
   337.0000       14485.00       120.3536    
   338.0000       14577.00       120.7352    
   339.0000       14230.00       119.2896    
   340.0000       15081.00       122.8047    
   341.0000       14568.00       120.6980    
   342.0000       14929.00       122.1843    
   343.0000       15041.00       122.6418    
   344.0000       15118.00       122.9553    
   345.0000       15775.00       125.5986    
   346.0000       15142.00       123.0528    
   347.0000       15337.00       123.8426    
   348.0000       15272.00       123.5799    
   349.0000       15760.00       125.5388    
   350.0000       14743.00       121.4208    
   351.0000       15086.00       122.8251    
   352.0000       15394.00       124.0726    
   353.0000       14774.00       121.5483    
   354.0000       15086.00       122.8251    
   355.0000       15131.00       123.0081    
   356.0000       15512.00       124.5472    
   357.0000       15161.00       123.1300    
   358.0000       14976.00       122.3765    
   359.0000       15773.00       125.5906    
   360.0000       15548.00       124.6916    
   361.0000       15031.00       122.6010    
   362.0000       15223.00       123.3815    
   363.0000       15332.00       123.8225    
   364.0000       15396.00       124.0806    
   365.0000       15352.00       123.9032    
   366.0000       15232.00       123.4180    
   367.0000       15698.00       125.2917    
   368.0000       15232.00       123.4180    
   369.0000       16020.00       126.5701    
   370.0000       14398.00       119.9917    
   371.0000       14610.00       120.8718    
