Empty fournace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1268.000       35.60899    
   1.000000       466.0000       21.58703    
   2.000000       529.0000       23.00000    
   3.000000       639.0000       25.27845    
   4.000000       1196.000       34.58323    
   5.000000       2050.000       45.27692    
   6.000000       2033.000       45.08880    
   7.000000       2032.000       45.07771    
   8.000000       1714.000       41.40048    
   9.000000       1374.000       37.06750    
   10.00000       1199.000       34.62658    
   11.00000       1237.000       35.17101    
   12.00000       1324.000       36.38681    
   13.00000       1310.000       36.19392    
   14.00000       1319.000       36.31804    
   15.00000       1352.000       36.76955    
   16.00000       1434.000       37.86819    
   17.00000       1536.000       39.19184    
   18.00000       1977.000       44.46347    
   19.00000       2464.000       49.63869    
   20.00000       2382.000       48.80574    
   21.00000       2721.000       52.16320    
   22.00000       2535.000       50.34879    
   23.00000       3085.000       55.54278    
   24.00000       5144.000       71.72169    
   25.00000       6990.000       83.60622    
   26.00000       7063.000       84.04166    
   27.00000       7088.000       84.19026    
   28.00000       6978.000       83.53442    
   29.00000       6933.000       83.26464    
   30.00000       6198.000       78.72738    
   31.00000       6271.000       79.18964    
   32.00000       6566.000       81.03086    
   33.00000       7032.000       83.85702    
   34.00000       6529.000       80.80223    
   35.00000       6681.000       81.73738    
   36.00000       7115.000       84.35046    
   37.00000       7095.000       84.23182    
   38.00000       6474.000       80.46117    
   39.00000       5992.000       77.40801    
   40.00000       6906.000       83.10235    
   41.00000       6803.000       82.48030    
   42.00000       6824.000       82.60751    
   43.00000       6821.000       82.58935    
   44.00000       6894.000       83.03011    
   45.00000       6994.000       83.63013    
   46.00000       6662.000       81.62108    
   47.00000       6597.000       81.22192    
   48.00000       6400.000       80.00000    
   49.00000       6772.000       82.29216    
   50.00000       5995.000       77.42738    
   51.00000       6321.000       79.50471    
   52.00000       6950.000       83.36666    
   53.00000       6695.000       81.82298    
   54.00000       6771.000       82.28609    
   55.00000       6751.000       82.16447    
   56.00000       6771.000       82.28609    
   57.00000       6771.000       82.28609    
   58.00000       6575.000       81.08637    
   59.00000       5420.000       73.62065    
   60.00000       6709.000       81.90849    
   61.00000       6772.000       82.29216    
   62.00000       7249.000       85.14106    
   63.00000       7175.000       84.70537    
   64.00000       7326.000       85.59206    
   65.00000       7229.000       85.02353    
   66.00000       7095.000       84.23182    
   67.00000       7052.000       83.97619    
   68.00000       6974.000       83.51048    
   69.00000       7710.000       87.80660    
   70.00000       6811.000       82.52879    
   71.00000       7040.000       83.90471    
   72.00000       6952.000       83.37865    
   73.00000       6737.000       82.07923    
   74.00000       7200.000       84.85281    
   75.00000       7058.000       84.01190    
   76.00000       7164.000       84.64042    
