Ni powder for wavelenght calibration                         25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   458.0000       21.40093    
   1.000000       77.00000       8.774964    
   2.000000       105.0000       10.24695    
   3.000000       97.00000       9.848858    
   4.000000       171.0000       13.07670    
   5.000000       264.0000       16.24808    
   6.000000       287.0000       16.94107    
   7.000000       369.0000       19.20937    
   8.000000       313.0000       17.69181    
   9.000000       287.0000       16.94107    
   10.00000       288.0000       16.97056    
   11.00000       275.0000       16.58312    
   12.00000       268.0000       16.37070    
   13.00000       226.0000       15.03330    
   14.00000       244.0000       15.62050    
   15.00000       207.0000       14.38750    
   16.00000       231.0000       15.19868    
   17.00000       255.0000       15.96872    
   18.00000       308.0000       17.54993    
   19.00000       466.0000       21.58703    
   20.00000       335.0000       18.30301    
   21.00000       383.0000       19.57038    
   22.00000       433.0000       20.80865    
   23.00000       492.0000       22.18107    
   24.00000       887.0000       29.78255    
   25.00000       1637.000       40.45986    
   26.00000       1884.000       43.40507    
   27.00000       1952.000       44.18144    
   28.00000       1917.000       43.78356    
   29.00000       1961.000       44.28318    
   30.00000       1675.000       40.92677    
   31.00000       1632.000       40.39802    
   32.00000       1839.000       42.88356    
   33.00000       1973.000       44.41846    
   34.00000       1966.000       44.33960    
   35.00000       1843.000       42.93018    
   36.00000       2111.000       45.94562    
   37.00000       1998.000       44.69899    
   38.00000       1806.000       42.49706    
   39.00000       1731.000       41.60529    
   40.00000       1928.000       43.90900    
   41.00000       1902.000       43.61192    
   42.00000       1976.000       44.45222    
   43.00000       2014.000       44.87761    
   44.00000       2061.000       45.39824    
   45.00000       1987.000       44.57578    
   46.00000       1944.000       44.09082    
   47.00000       1943.000       44.07948    
   48.00000       1892.000       43.49713    
   49.00000       2027.000       45.02222    
   50.00000       1681.000       41.00000    
   51.00000       1804.000       42.47352    
   52.00000       2015.000       44.88875    
   53.00000       1992.000       44.63183    
   54.00000       1973.000       44.41846    
   55.00000       2018.000       44.92215    
   56.00000       1897.000       43.55456    
   57.00000       1941.000       44.05678    
   58.00000       1925.000       43.87482    
   59.00000       1582.000       39.77436    
   60.00000       1876.000       43.31282    
   61.00000       1892.000       43.49713    
   62.00000       2097.000       45.79301    
   63.00000       2176.000       46.64761    
   64.00000       2066.000       45.45327    
   65.00000       2103.000       45.85848    
   66.00000       2088.000       45.69464    
   67.00000       2049.000       45.26588    
   68.00000       2061.000       45.39824    
   69.00000       2194.000       46.84015    
   70.00000       1921.000       43.82921    
   71.00000       1961.000       44.28318    
   72.00000       2073.000       45.53021    
   73.00000       2045.000       45.22168    
   74.00000       2136.000       46.21688    
   75.00000       2100.000       45.82576    
   76.00000       2066.000       45.45327    
