sample v-GeO2 1325K x3                                       24-11-07  1000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   5318.000       72.92462    
   1.000000       658.0000       25.65151    
   2.000000       760.0000       27.56810    
   3.000000       939.0000       30.64311    
   4.000000       1379.000       37.13489    
   5.000000       1894.000       43.52011    
   6.000000       2171.000       46.59399    
   7.000000       2487.000       49.86983    
   8.000000       2658.000       51.55579    
   9.000000       2778.000       52.70674    
   10.00000       2549.000       50.48762    
   11.00000       2489.000       49.88988    
   12.00000       2355.000       48.52834    
   13.00000       2103.000       45.85848    
   14.00000       1961.000       44.28318    
   15.00000       1918.000       43.79498    
   16.00000       1981.000       44.50843    
   17.00000       2138.000       46.23851    
   18.00000       2372.000       48.70318    
   19.00000       5506.000       74.20242    
   20.00000       2960.000       54.40588    
   21.00000       3237.000       56.89464    
   22.00000       3263.000       57.12268    
   23.00000       3939.000       62.76145    
   24.00000       12457.00       111.6109    
   25.00000       21917.00       148.0439    
   26.00000       24262.00       155.7626    
   27.00000       26275.00       162.0957    
   28.00000       26860.00       163.8902    
   29.00000       26588.00       163.0583    
   30.00000       23010.00       151.6905    
   31.00000       23504.00       153.3102    
   32.00000       25959.00       161.1180    
   33.00000       27675.00       166.3580    
   34.00000       27012.00       164.3533    
   35.00000       26701.00       163.4044    
   36.00000       29399.00       171.4614    
   37.00000       29020.00       170.3526    
   38.00000       27191.00       164.8969    
   39.00000       25677.00       160.2404    
   40.00000       29766.00       172.5283    
   41.00000       28705.00       169.4255    
   42.00000       29213.00       170.9181    
   43.00000       30532.00       174.7341    
   44.00000       30737.00       175.3197    
   45.00000       31226.00       176.7088    
   46.00000       29955.00       173.0751    
   47.00000       30518.00       174.6940    
   48.00000       30093.00       173.4733    
   49.00000       31845.00       178.4517    
   50.00000       27768.00       166.6373    
   51.00000       30555.00       174.7999    
   52.00000       33197.00       182.2004    
   53.00000       32619.00       180.6073    
   54.00000       33226.00       182.2800    
   55.00000       33592.00       183.2812    
   56.00000       33956.00       184.2715    
   57.00000       33923.00       184.1820    
   58.00000       32857.00       181.2650    
   59.00000       28677.00       169.3428    
   60.00000       36228.00       190.3365    
   61.00000       38194.00       195.4328    
   62.00000       39271.00       198.1691    
   63.00000       39377.00       198.4364    
   64.00000       39401.00       198.4969    
   65.00000       39734.00       199.3339    
   66.00000       39671.00       199.1758    
   67.00000       38838.00       197.0736    
   68.00000       38036.00       195.0282    
   69.00000       41629.00       204.0319    
   70.00000       37393.00       193.3727    
   71.00000       37299.00       193.1295    
   72.00000       37926.00       194.7460    
   73.00000       38074.00       195.1256    
   74.00000       40457.00       201.1393    
   75.00000       37508.00       193.6698    
   76.00000       36980.00       192.3018    
