Empty fournace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1284.000       35.83295    
   1.000000       482.0000       21.95450    
   2.000000       525.0000       22.91288    
   3.000000       673.0000       25.94224    
   4.000000       1214.000       34.84250    
   5.000000       2065.000       45.44227    
   6.000000       2022.000       44.96666    
   7.000000       2115.000       45.98913    
   8.000000       1712.000       41.37632    
   9.000000       1342.000       36.63332    
   10.00000       1255.000       35.42598    
   11.00000       1324.000       36.38681    
   12.00000       1273.000       35.67913    
   13.00000       1296.000       36.00000    
   14.00000       1314.000       36.24914    
   15.00000       1376.000       37.09447    
   16.00000       1502.000       38.75565    
   17.00000       1589.000       39.86226    
   18.00000       2026.000       45.01111    
   19.00000       2590.000       50.89204    
   20.00000       2305.000       48.01041    
   21.00000       2607.000       51.05879    
   22.00000       2564.000       50.63596    
   23.00000       2975.000       54.54356    
   24.00000       5263.000       72.54654    
   25.00000       7096.000       84.23776    
   26.00000       6901.000       83.07226    
   27.00000       7080.000       84.14274    
   28.00000       6988.000       83.59426    
   29.00000       6987.000       83.58828    
   30.00000       6204.000       78.76547    
   31.00000       6256.000       79.09488    
   32.00000       6510.000       80.68457    
   33.00000       6884.000       82.96987    
   34.00000       6543.000       80.88881    
   35.00000       6729.000       82.03048    
   36.00000       6980.000       83.54639    
   37.00000       7006.000       83.70185    
   38.00000       6473.000       80.45496    
   39.00000       6051.000       77.78818    
   40.00000       7025.000       83.81527    
   41.00000       6622.000       81.37567    
   42.00000       6696.000       81.82909    
   43.00000       7075.000       84.11302    
   44.00000       6870.000       82.88546    
   45.00000       6879.000       82.93974    
   46.00000       6721.000       81.98170    
   47.00000       6748.000       82.14621    
   48.00000       6471.000       80.44253    
   49.00000       6707.000       81.89628    
   50.00000       5925.000       76.97402    
   51.00000       6363.000       79.76842    
   52.00000       7019.000       83.77947    
   53.00000       6572.000       81.06787    
   54.00000       6798.000       82.44998    
   55.00000       6827.000       82.62566    
   56.00000       6703.000       81.87185    
   57.00000       6706.000       81.89017    
   58.00000       6413.000       80.08121    
   59.00000       5381.000       73.35530    
   60.00000       6706.000       81.89017    
   61.00000       6687.000       81.77408    
   62.00000       7097.000       84.24369    
   63.00000       7206.000       84.88816    
   64.00000       7208.000       84.89994    
   65.00000       7298.000       85.42833    
   66.00000       7170.000       84.67585    
   67.00000       7037.000       83.88683    
   68.00000       6948.000       83.35467    
   69.00000       7763.000       88.10789    
   70.00000       7016.000       83.76157    
   71.00000       6988.000       83.59426    
   72.00000       7094.000       84.22588    
   73.00000       6974.000       83.51048    
   74.00000       7228.000       85.01765    
   75.00000       6980.000       83.54639    
   76.00000       7087.000       84.18432    
