sample v-GeO2 900K 			22-11-07   864.878K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       42137.00       205.2730    
   185.0000       42173.00       205.3607    
   186.0000       40477.00       201.1890    
   187.0000       40302.00       200.7536    
   188.0000       38341.00       195.8086    
   189.0000       40616.00       201.5341    
   190.0000       37342.00       193.2408    
   191.0000       37120.00       192.6655    
   192.0000       37495.00       193.6363    
   193.0000       35855.00       189.3542    
   194.0000       35489.00       188.3852    
   195.0000       36090.00       189.9737    
   196.0000       35119.00       187.4006    
   197.0000       34961.00       186.9786    
   198.0000       34458.00       185.6287    
   199.0000       35310.00       187.9095    
   200.0000       32533.00       180.3691    
   201.0000       32696.00       180.8204    
   202.0000       33793.00       183.8287    
   203.0000       34226.00       185.0027    
   204.0000       33354.00       182.6308    
   205.0000       33527.00       183.1038    
   206.0000       32971.00       181.5792    
   207.0000       34405.00       185.4859    
   208.0000       32696.00       180.8204    
   209.0000       34629.00       186.0887    
   210.0000       31008.00       176.0909    
   211.0000       32458.00       180.1610    
   212.0000       34505.00       185.7552    
   213.0000       32980.00       181.6040    
   214.0000       32956.00       181.5379    
   215.0000       32278.00       179.6608    
   216.0000       33157.00       182.0906    
   217.0000       33839.00       183.9538    
   218.0000       31773.00       178.2498    
   219.0000       31018.00       176.1193    
   220.0000       35293.00       187.8643    
   221.0000       32485.00       180.2360    
   222.0000       33377.00       182.6937    
   223.0000       33645.00       183.4257    
   224.0000       33348.00       182.6143    
   225.0000       33020.00       181.7141    
   226.0000       33217.00       182.2553    
   227.0000       34353.00       185.3456    
   228.0000       33088.00       181.9011    
   229.0000       34912.00       186.8475    
   230.0000       31559.00       177.6485    
   231.0000       32475.00       180.2082    
   232.0000       33609.00       183.3276    
   233.0000       33327.00       182.5568    
   234.0000       33188.00       182.1757    
   235.0000       33409.00       182.7813    
   236.0000       33874.00       184.0489    
   237.0000       33293.00       182.4637    
   238.0000       32969.00       181.5737    
   239.0000       30433.00       174.4506    
   240.0000       34990.00       187.0561    
   241.0000       33462.00       182.9262    
   242.0000       35053.00       187.2245    
   243.0000       34545.00       185.8629    
   244.0000       34478.00       185.6825    
   245.0000       35560.00       188.5736    
   246.0000       34766.00       186.4564    
   247.0000       35584.00       188.6372    
   248.0000       34540.00       185.8494    
   249.0000       36981.00       192.3044    
   250.0000       33917.00       184.1657    
   251.0000       34845.00       186.6682    
   252.0000       35931.00       189.5547    
