Empty fournace avelenght calibration                         25-11-07   773.458K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       3008.000       54.84524    
   185.0000       3097.000       55.65070    
   186.0000       3042.000       55.15433    
   187.0000       2954.000       54.35071    
   188.0000       2987.000       54.65345    
   189.0000       3089.000       55.57877    
   190.0000       2967.000       54.47018    
   191.0000       2920.000       54.03703    
   192.0000       2853.000       53.41348    
   193.0000       2848.000       53.36666    
   194.0000       2814.000       53.04715    
   195.0000       3013.000       54.89080    
   196.0000       2904.000       53.88877    
   197.0000       2924.000       54.07402    
   198.0000       2949.000       54.30470    
   199.0000       2967.000       54.47018    
   200.0000       2838.000       53.27288    
   201.0000       2700.000       51.96152    
   202.0000       2901.000       53.86093    
   203.0000       2956.000       54.36911    
   204.0000       2843.000       53.31979    
   205.0000       2916.000       54.00000    
   206.0000       2913.000       53.97221    
   207.0000       2962.000       54.42426    
   208.0000       2947.000       54.28628    
   209.0000       3055.000       55.27205    
   210.0000       2642.000       51.40039    
   211.0000       2753.000       52.46904    
   212.0000       2966.000       54.46099    
   213.0000       3001.000       54.78138    
   214.0000       2892.000       53.77732    
   215.0000       2854.000       53.42284    
   216.0000       2898.000       53.83308    
   217.0000       2850.000       53.38539    
   218.0000       2767.000       52.60228    
   219.0000       2618.000       51.16640    
   220.0000       2997.000       54.74486    
   221.0000       2808.000       52.99057    
   222.0000       2867.000       53.54437    
   223.0000       2840.000       53.29165    
   224.0000       2948.000       54.29549    
   225.0000       2807.000       52.98113    
   226.0000       2813.000       53.03772    
   227.0000       2936.000       54.18487    
   228.0000       2913.000       53.97221    
   229.0000       3096.000       55.64171    
   230.0000       2719.000       52.14403    
   231.0000       2845.000       53.33854    
   232.0000       2862.000       53.49767    
   233.0000       2852.000       53.40412    
   234.0000       2800.000       52.91503    
   235.0000       2789.000       52.81099    
   236.0000       3053.000       55.25396    
   237.0000       2845.000       53.33854    
   238.0000       2749.000       52.43091    
   239.0000       2522.000       50.21952    
   240.0000       2933.000       54.15718    
   241.0000       2768.000       52.61179    
   242.0000       2929.000       54.12024    
   243.0000       2891.000       53.76802    
   244.0000       2885.000       53.71220    
   245.0000       2980.000       54.58937    
   246.0000       2778.000       52.70674    
   247.0000       2800.000       52.91503    
   248.0000       2790.000       52.82045    
   249.0000       2913.000       53.97221    
   250.0000       2632.000       51.30302    
   251.0000       2737.000       52.31635    
   252.0000       2843.000       53.31979    
   253.0000       2783.000       52.75415    
   254.0000       2738.000       52.32590    
   255.0000       2789.000       52.81099    
   256.0000       2751.000       52.44998    
   257.0000       2782.000       52.74467    
   258.0000       2497.000       49.96999    
   259.0000       2275.000       47.69696    
   260.0000       2832.000       53.21654    
   261.0000       2775.000       52.67827    
   262.0000       2726.000       52.21111    
   263.0000       2752.000       52.45951    
   264.0000       2798.000       52.89613    
   265.0000       2699.000       51.95190    
   266.0000       2848.000       53.36666    
   267.0000       3038.000       55.11805    
   268.0000       2727.000       52.22068    
   269.0000       3022.000       54.97272    
   270.0000       2736.000       52.30679    
   271.0000       2596.000       50.95096    
   272.0000       2743.000       52.37366    
   273.0000       2799.000       52.90557    
   274.0000       2721.000       52.16320    
   275.0000       2764.000       52.57376    
   276.0000       2776.000       52.68776    
   277.0000       2652.000       51.49757    
   278.0000       2754.000       52.47857    
   279.0000       2298.000       47.93746    
   280.0000       2916.000       54.00000    
   281.0000       2791.000       52.82991    
   282.0000       2743.000       52.37366    
   283.0000       2812.000       53.02829    
   284.0000       2900.000       53.85165    
   285.0000       2803.000       52.94337    
   286.0000       2710.000       52.05766    
   287.0000       2931.000       54.13871    
   288.0000       2719.000       52.14403    
   289.0000       2919.000       54.02777    
   290.0000       2737.000       52.31635    
   291.0000       2701.000       51.97115    
   292.0000       2859.000       53.46962    
   293.0000       2635.000       51.33225    
   294.0000       2664.000       51.61395    
   295.0000       2696.000       51.92302    
   296.0000       2793.000       52.84884    
   297.0000       2623.000       51.21523    
   298.0000       2611.000       51.09795    
   299.0000       2473.000       49.72927    
   300.0000       2784.000       52.76362    
   301.0000       2700.000       51.96152    
   302.0000       2638.000       51.36147    
   303.0000       2705.000       52.00961    
   304.0000       2594.000       50.93133    
   305.0000       2741.000       52.35456    
   306.0000       2666.000       51.63332    
   307.0000       2689.000       51.85557    
   308.0000       2581.000       50.80354    
   309.0000       2780.000       52.72570    
   310.0000       2534.000       50.33885    
   311.0000       2765.000       52.58327    
   312.0000       2757.000       52.50714    
   313.0000       2536.000       50.35872    
   314.0000       2629.000       51.27377    
   315.0000       2628.000       51.26402    
   316.0000       2567.000       50.66557    
   317.0000       2620.000       51.18594    
   318.0000       2567.000       50.66557    
   319.0000       2388.000       48.86717    
   320.0000       2473.000       49.72927    
   321.0000       2679.000       51.75906    
   322.0000       2666.000       51.63332    
   323.0000       2592.000       50.91169    
   324.0000       2688.000       51.84592    
   325.0000       2696.000       51.92302    
   326.0000       2610.000       51.08816    
   327.0000       2644.000       51.41984    
   328.0000       2579.000       50.78386    
   329.0000       2782.000       52.74467    
   330.0000       2443.000       49.42671    
   331.0000       2474.000       49.73932    
   332.0000       2555.000       50.54701    
   333.0000       2503.000       50.02999    
   334.0000       2577.000       50.76416    
   335.0000       2675.000       51.72040    
   336.0000       2590.000       50.89204    
   337.0000       2615.000       51.13707    
   338.0000       2458.000       49.57822    
   339.0000       2480.000       49.79960    
   340.0000       2678.000       51.74940    
   341.0000       2524.000       50.23943    
   342.0000       2689.000       51.85557    
   343.0000       2728.000       52.23026    
