   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    0    0   4.320601   -10.654043     0.000000       10.654    9.69080   21.32300    6
   0    1    1   3.432704    -6.602683    11.436182      13.2054   12.20594   20.72136    6
   1    0    1   3.432704   -14.504784   -25.123022      29.0096   12.20594  100.00000    6
   1    1    0   2.494500   -20.266722   -12.454766      23.7878   16.82535   17.84521    3
  -1   -1    0   2.494500   -20.266722    12.454766      23.7878   16.82535   17.84521    3
   0    1    2   2.365233    -9.163519   -15.871680       18.327   17.75214   19.06957    6
   1    0    2   2.365233     9.434948   -16.341809      18.8699   17.75214   20.21601    6
   1    1    1   2.282164     1.804907    10.962916      11.1105   18.40381    6.53074    6
  -1   -1    1   2.282164     1.804907   -10.962916      11.1105   18.40381    6.53074    6
   2    0    0   2.160300    19.274398     0.000000      19.2744   19.45179   17.63817    6
   2    0    1   2.017955     3.466296     6.003800      6.93259   20.83872    1.99531    6
   0    2    1   2.017955     4.713440    -8.163918      9.42688   20.83872    3.68940    6
   0    0    3   1.884233    19.324423    -0.000000      19.3244   22.33597    4.51690    2
   1    1    2   1.870253    14.520658     6.139368      15.7652   22.50510    8.88803    6
  -1   -1    2   1.870253    14.520658    -6.139368      15.7652   22.50510    8.88803    6
   0    1    3   1.727138     2.720420    -0.000000      2.72042   24.39748    0.22648    6
   1    0    3   1.727138   -16.827778     0.000000      16.8278   24.39748    8.66568    6
   0    2    2   1.716352    13.622050    23.594082      27.2441   24.55318   22.43781    6
   2    0    2   1.716352    -9.149688    15.847725      18.2994   24.55318   10.12298    6
   2    1    0   1.633034     1.845339    -2.391352      3.02057   25.82700    0.25030    6
  -2   -1    0   1.633034     1.845339     2.391352      3.02057   25.82700    0.25030    6
   2    1    1   1.568876     1.587075    22.604029      22.6597   26.90259   13.02990    6
   1    2    1   1.568876    -7.542044   -16.960295      18.5616   26.90259    8.74311    6
  -1   -2    1   1.568876     1.587075   -22.604029      22.6597   26.90259   13.02990    6
  -2   -1    1   1.568876    -7.542044    16.960295      18.5616   26.90259    8.74311    6
   1    1    3   1.503513    -6.808982    11.886483      13.6986   28.09562    4.38457    6
  -1   -1    3   1.503513    -6.808982   -11.886483      13.6986   28.09562    4.38457    6
   3    0    0   1.440200     8.220056     0.000000      8.22006   29.35787    1.45272    6
   0    2    3   1.419992    34.220944     0.000000      34.2209   29.78525   24.50029    6
   2    0    3   1.419992     8.124125    -0.000000      8.12413   29.78525    1.38083    6
   2    1    2   1.413980   -23.739144   -19.179076      30.5186   29.91486   19.32687    6
   1    2    2   1.413980    -4.110032     4.430901      6.04361   29.91486    0.75792    6
  -1   -2    2   1.413980   -23.739144    19.179076      30.5186   29.91486   19.32687    6
  -2   -1    2   1.413980    -4.110032    -4.430901      6.04361   29.91486    0.75792    6
   0    3    1   1.395615     6.008548   -10.407110      12.0171   30.31788    2.92205    6
   3    0    1   1.395615   -22.254364   -38.545690      44.5087   30.31788   40.08474    6
   0    1    4   1.343155   -19.285394    33.403283      38.5708   31.53222   27.96400    6
   1    0    4   1.343155    -8.944062   -15.491570      17.8881   31.53222    6.01467    6
   0    3    2   1.283209   -16.043458   -27.788084      32.0869   33.04648   17.73137    6
   3    0    2   1.283209    -4.442954     7.695422      8.88591   33.04648    1.35985    6
   2    2    0   1.247250     7.981180    -0.566179      8.00124   34.02780    0.52216    3
  -2   -2    0   1.247250     7.981180     0.566179      8.00124   34.02780    0.52216    3
   2    1    3   1.234055    -0.794456     9.863114      9.89506   34.40290    1.56515    6
   1    2    3   1.234055   -12.410396   -25.994027      28.8046   34.40290   13.26307    6
  -2   -1    3   1.234055   -12.410396    25.994027      28.8046   34.40290   13.26307    6
  -1   -2    3   1.234055    -0.794456    -9.863114      9.89506   34.40290    1.56515    6
   1    1    4   1.229573    16.247348    -3.332630      16.5856   34.53226    4.36691    6
  -1   -1    4   1.229573    16.247348     3.332630      16.5856   34.53226    4.36691    6
   2    2    1   1.217954    12.198596    17.164747      21.0579   34.87218    6.91346    6
  -2   -2    1   1.217954    12.198596   -17.164747      21.0579   34.87218    6.91346    6
   3    1    0   1.198319   -11.350456    23.870368      26.4316   35.46238   10.56097    6
  -3   -1    0   1.198319   -11.350456   -23.870368      26.4316   35.46238   10.56097    6
   0    2    4   1.182616    -2.128532     3.686726      4.25706   35.94921    0.26719    6
   2    0    4   1.182616    -6.873701   -11.905599      13.7474   35.94921    2.78636    6
   1    3    1   1.172268    -9.136885    -1.766438      9.30607   36.27756    1.25574    6
   3    1    1   1.172268     7.747149     0.907739      7.80015   36.27756    0.88221    6
  -3   -1    1   1.172268    -9.136885     1.766438      9.30607   36.27756    1.25574    6
  -1   -3    1   1.172268     7.747149    -0.907739      7.80015   36.27756    0.88221    6
   3    0    3   1.144235     1.424449     0.000000      1.42445   37.19849    0.02811    6
