sample v-GeO2 900K 			21-11-07  2000.000K
   184.0000       97345.00       312.0016    
   185.0000       97898.00       312.8866    
   186.0000       93770.00       306.2189    
   187.0000       93050.00       305.0410    
   188.0000       88817.00       298.0218    
   189.0000       93793.00       306.2564    
   190.0000       86337.00       293.8316    
   191.0000       85758.00       292.8447    
   192.0000       86521.00       294.1445    
   193.0000       82753.00       287.6682    
   194.0000       82408.00       287.0679    
   195.0000       82656.00       287.4996    
   196.0000       81275.00       285.0877    
   197.0000       80043.00       282.9187    
   198.0000       79562.00       282.0674    
   199.0000       81745.00       285.9108    
   200.0000       75063.00       273.9763    
   201.0000       74964.00       273.7955    
   202.0000       77839.00       278.9964    
   203.0000       79076.00       281.2046    
   204.0000       77275.00       277.9838    
   205.0000       76720.00       276.9838    
   206.0000       75960.00       275.6084    
   207.0000       79296.00       281.5955    
   208.0000       75909.00       275.5159    
   209.0000       80333.00       283.4308    
   210.0000       71983.00       268.2965    
   211.0000       74833.00       273.5562    
   212.0000       80074.00       282.9735    
   213.0000       75968.00       275.6229    
   214.0000       75608.00       274.9691    
   215.0000       74208.00       272.4115    
   216.0000       77153.00       277.7643    
   217.0000       77771.00       278.8745    
   218.0000       72945.00       270.0833    
   219.0000       71490.00       267.3761    
   220.0000       80926.00       284.4749    
   221.0000       75190.00       274.2079    
   222.0000       75558.00       274.8781    
   223.0000       77663.00       278.6808    
   224.0000       76663.00       276.8808    
   225.0000       75962.00       275.6121    
   226.0000       76656.00       276.8682    
   227.0000       79134.00       281.3076    
   228.0000       76174.00       275.9964    
   229.0000       80893.00       284.4170    
   230.0000       73228.00       270.6067    
   231.0000       74644.00       273.2105    
   232.0000       78406.00       280.0107    
   233.0000       76656.00       276.8682    
   234.0000       76274.00       276.1775    
   235.0000       76646.00       276.8501    
   236.0000       78562.00       280.2891    
   237.0000       77511.00       278.4080    
   238.0000       75715.00       275.1636    
   239.0000       70795.00       266.0733    
   240.0000       81059.00       284.7086    
   241.0000       78104.00       279.4709    
   242.0000       81641.00       285.7289    
   243.0000       78584.00       280.3284    
   244.0000       79407.00       281.7925    
   245.0000       82089.00       286.5118    
   246.0000       80236.00       283.2596    
   247.0000       82259.00       286.8083    
   248.0000       78711.00       280.5548    
   249.0000       84986.00       291.5236    
   250.0000       77828.00       278.9767    
   251.0000       80442.00       283.6230    
   252.0000       82855.00       287.8455    
   253.0000       80763.00       284.1883    
   254.0000       81994.00       286.3459    
   255.0000       81125.00       284.8245    
   256.0000       82688.00       287.5552    
   257.0000       82365.00       286.9930    
   258.0000       77750.00       278.8369    
   259.0000       73061.00       270.2980    
   260.0000       86146.00       293.5064    
   261.0000       86125.00       293.4706    
   262.0000       83350.00       288.7040    
   263.0000       83990.00       289.8103    
   264.0000       85286.00       292.0377    
   265.0000       84634.00       290.9192    
   266.0000       86667.00       294.3926    
   267.0000       89883.00       299.8049    
   268.0000       86014.00       293.2814    
