Ni powder for wavelenght calibration                         25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   434.0000       20.83267    
   1.000000       66.00000       8.124039    
   2.000000       89.00000       9.433981    
   3.000000       115.0000       10.72381    
   4.000000       179.0000       13.37909    
   5.000000       260.0000       16.12452    
   6.000000       317.0000       17.80449    
   7.000000       307.0000       17.52142    
   8.000000       291.0000       17.05872    
   9.000000       292.0000       17.08801    
   10.00000       273.0000       16.52271    
   11.00000       264.0000       16.24808    
   12.00000       238.0000       15.42725    
   13.00000       257.0000       16.03122    
   14.00000       247.0000       15.71623    
   15.00000       225.0000       15.00000    
   16.00000       213.0000       14.59452    
   17.00000       280.0000       16.73320    
   18.00000       276.0000       16.61325    
   19.00000       504.0000       22.44994    
   20.00000       369.0000       19.20937    
   21.00000       408.0000       20.19901    
   22.00000       380.0000       19.49359    
   23.00000       554.0000       23.53720    
   24.00000       1178.000       34.32201    
   25.00000       1768.000       42.04759    
   26.00000       2014.000       44.87761    
   27.00000       2005.000       44.77723    
   28.00000       1888.000       43.45112    
   29.00000       1980.000       44.49719    
   30.00000       1696.000       41.18252    
   31.00000       1694.000       41.15823    
   32.00000       1864.000       43.17406    
   33.00000       1966.000       44.33960    
   34.00000       1848.000       42.98837    
   35.00000       1929.000       43.92038    
   36.00000       2026.000       45.01111    
   37.00000       2072.000       45.51923    
   38.00000       1777.000       42.15448    
   39.00000       1692.000       41.13393    
   40.00000       1988.000       44.58699    
   41.00000       1931.000       43.94315    
   42.00000       2006.000       44.78839    
   43.00000       2003.000       44.75489    
   44.00000       1929.000       43.92038    
   45.00000       2033.000       45.08880    
   46.00000       1970.000       44.38468    
   47.00000       1956.000       44.22669    
   48.00000       1866.000       43.19722    
   49.00000       2004.000       44.76606    
   50.00000       1726.000       41.54515    
   51.00000       1861.000       43.13931    
   52.00000       2048.000       45.25483    
   53.00000       1892.000       43.49713    
   54.00000       1914.000       43.74929    
   55.00000       2011.000       44.84417    
   56.00000       1961.000       44.28318    
   57.00000       1906.000       43.65776    
   58.00000       1843.000       42.93018    
   59.00000       1612.000       40.14972    
   60.00000       1857.000       43.09292    
   61.00000       1963.000       44.30576    
   62.00000       2007.000       44.79955    
   63.00000       2068.000       45.47527    
   64.00000       2081.000       45.61798    
   65.00000       2277.000       47.71792    
   66.00000       2050.000       45.27692    
   67.00000       2040.000       45.16636    
   68.00000       2069.000       45.48626    
   69.00000       2255.000       47.48684    
   70.00000       2065.000       45.44227    
   71.00000       2013.000       44.86647    
   72.00000       2179.000       46.67976    
   73.00000       2100.000       45.82576    
   74.00000       2212.000       47.03190    
   75.00000       2027.000       45.02222    
   76.00000       1987.000       44.57578    
