sample v-GeO2 1400K tst                                      23-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       8838.000       94.01064    
   185.0000       8732.000       93.44517    
   186.0000       8609.000       92.78470    
   187.0000       8354.000       91.40022    
   188.0000       8202.000       90.56490    
   189.0000       8613.000       92.80625    
   190.0000       7800.000       88.31761    
   191.0000       7839.000       88.53812    
   192.0000       8105.000       90.02777    
   193.0000       7668.000       87.56712    
   194.0000       7665.000       87.54999    
   195.0000       7667.000       87.56141    
   196.0000       7661.000       87.52714    
   197.0000       7645.000       87.43569    
   198.0000       7510.000       86.66026    
   199.0000       7660.000       87.52142    
   200.0000       7072.000       84.09518    
   201.0000       7007.000       83.70782    
   202.0000       7390.000       85.96511    
   203.0000       7443.000       86.27282    
   204.0000       7405.000       86.05231    
   205.0000       7414.000       86.10459    
   206.0000       7352.000       85.74380    
   207.0000       7563.000       86.96551    
   208.0000       7270.000       85.26430    
   209.0000       7575.000       87.03448    
   210.0000       6831.000       82.64986    
   211.0000       6978.000       83.53442    
   212.0000       7529.000       86.76981    
   213.0000       7237.000       85.07056    
   214.0000       7007.000       83.70782    
   215.0000       6950.000       83.36666    
   216.0000       7246.000       85.12344    
   217.0000       7460.000       86.37129    
   218.0000       6865.000       82.85529    
   219.0000       6765.000       82.24962    
   220.0000       7654.000       87.48714    
   221.0000       7174.000       84.69947    
   222.0000       7309.000       85.49269    
   223.0000       7270.000       85.26430    
   224.0000       7175.000       84.70537    
   225.0000       7012.000       83.73769    
   226.0000       7167.000       84.65813    
   227.0000       7396.000       86.00000    
   228.0000       7191.000       84.79977    
   229.0000       7617.000       87.27543    
   230.0000       6973.000       83.50449    
   231.0000       6885.000       82.97590    
   232.0000       7196.000       84.82924    
   233.0000       7247.000       85.12931    
   234.0000       7162.000       84.62860    
   235.0000       7269.000       85.25843    
   236.0000       7361.000       85.79627    
   237.0000       7215.000       84.94115    
   238.0000       7315.000       85.52777    
   239.0000       6645.000       81.51687    
   240.0000       7637.000       87.38993    
   241.0000       7338.000       85.66212    
   242.0000       7642.000       87.41853    
   243.0000       7466.000       86.40602    
   244.0000       7429.000       86.19165    
   245.0000       7753.000       88.05112    
   246.0000       7377.000       85.88947    
   247.0000       7678.000       87.62420    
   248.0000       7507.000       86.64294    
   249.0000       8043.000       89.68278    
   250.0000       7367.000       85.83123    
   251.0000       7696.000       87.72685    
   252.0000       7858.000       88.64536    
   253.0000       7527.000       86.75829    
   254.0000       7639.000       87.40137    
   255.0000       7503.000       86.61986    
   256.0000       7836.000       88.52119    
   257.0000       7517.000       86.70064    
   258.0000       7263.000       85.22324    
   259.0000       6697.000       81.83520    
   260.0000       8034.000       89.63258    
   261.0000       7998.000       89.43154    
   262.0000       7679.000       87.62991    
   263.0000       7817.000       88.41380    
   264.0000       7673.000       87.59566    
   265.0000       7793.000       88.27797    
   266.0000       7993.000       89.40358    
   267.0000       8276.000       90.97253    
   268.0000       7940.000       89.10667    
   269.0000       8465.000       92.00543    
   270.0000       7775.000       88.17596    
   271.0000       7769.000       88.14193    
   272.0000       8201.000       90.55937    
   273.0000       7866.000       88.69048    
   274.0000       7990.000       89.38680    
   275.0000       7808.000       88.36288    
   276.0000       8074.000       89.85544    
   277.0000       7775.000       88.17596    
   278.0000       7633.000       87.36704    
   279.0000       6948.000       83.35467    
   280.0000       8200.000       90.55385    
   281.0000       7979.000       89.32525    
   282.0000       7949.000       89.15717    
   283.0000       7891.000       88.83130    
   284.0000       7984.000       89.35323    
   285.0000       7913.000       88.95505    
   286.0000       7934.000       89.07301    
   287.0000       8292.000       91.06042    
   288.0000       7903.000       88.89882    
   289.0000       8307.000       91.14275    
   290.0000       7760.000       88.09086    
   291.0000       7656.000       87.49857    
   292.0000       7920.000       88.99438    
   293.0000       7876.000       88.74683    
   294.0000       7778.000       88.19297    
   295.0000       7899.000       88.87632    
   296.0000       8031.000       89.61584    
   297.0000       7743.000       87.99432    
   298.0000       7547.000       86.87347    
   299.0000       7539.000       86.82742    
   300.0000       8120.000       90.11105    
   301.0000       7707.000       87.78952    
   302.0000       7782.000       88.21564    
   303.0000       7922.000       89.00562    
   304.0000       7681.000       87.64131    
   305.0000       7746.000       88.01136    
   306.0000       7790.000       88.26098    
   307.0000       7692.000       87.70405    
   308.0000       7458.000       86.35971    
   309.0000       8222.000       90.67525    
   310.0000       7552.000       86.90224    
   311.0000       7796.000       88.29496    
   312.0000       7852.000       88.61151    
   313.0000       7554.000       86.91375    
   314.0000       7451.000       86.31918    
   315.0000       7432.000       86.20905    
   316.0000       7465.000       86.40023    
   317.0000       7625.000       87.32124    
   318.0000       7456.000       86.34813    
   319.0000       6924.000       83.21058    
   320.0000       7055.000       83.99405    
   321.0000       7364.000       85.81375    
   322.0000       7419.000       86.13361    
   323.0000       7596.000       87.15504    
   324.0000       7439.000       86.24964    
   325.0000       7438.000       86.24384    
   326.0000       7265.000       85.23497    
   327.0000       7385.000       85.93602    
   328.0000       6997.000       83.64807    
   329.0000       7807.000       88.35723    
   330.0000       7024.000       83.80931    
   331.0000       7240.000       85.08819    
   332.0000       7360.000       85.79044    
   333.0000       7168.000       84.66404    
   334.0000       7236.000       85.06468    
