sample v-GeO2 1450K tst                                      23-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1188.000       34.46738    
   1.000000       136.0000       11.66190    
   2.000000       164.0000       12.80625    
   3.000000       172.0000       13.11488    
   4.000000       298.0000       17.26268    
   5.000000       377.0000       19.41649    
   6.000000       473.0000       21.74856    
   7.000000       534.0000       23.10844    
   8.000000       558.0000       23.62202    
   9.000000       508.0000       22.53885    
   10.00000       533.0000       23.08679    
   11.00000       540.0000       23.23790    
   12.00000       489.0000       22.11334    
   13.00000       407.0000       20.17424    
   14.00000       422.0000       20.54264    
   15.00000       384.0000       19.59592    
   16.00000       385.0000       19.62142    
   17.00000       449.0000       21.18962    
   18.00000       564.0000       23.74868    
   19.00000       1152.000       33.94112    
   20.00000       601.0000       24.51530    
   21.00000       676.0000       26.00000    
   22.00000       665.0000       25.78759    
   23.00000       832.0000       28.84441    
   24.00000       2549.000       50.48762    
   25.00000       4519.000       67.22351    
   26.00000       4880.000       69.85699    
   27.00000       5364.000       73.23933    
   28.00000       5469.000       73.95269    
   29.00000       5264.000       72.55343    
   30.00000       4605.000       67.86015    
   31.00000       4785.000       69.17369    
   32.00000       5271.000       72.60165    
   33.00000       5750.000       75.82876    
   34.00000       5549.000       74.49161    
   35.00000       5442.000       73.76991    
   36.00000       6039.000       77.71101    
   37.00000       5870.000       76.61593    
   38.00000       5750.000       75.82876    
   39.00000       5390.000       73.41662    
   40.00000       6092.000       78.05126    
   41.00000       6113.000       78.18568    
   42.00000       6075.000       77.94228    
   43.00000       6261.000       79.12648    
   44.00000       6359.000       79.74334    
   45.00000       6571.000       81.06171    
   46.00000       6197.000       78.72102    
   47.00000       6182.000       78.62569    
   48.00000       6181.000       78.61934    
   49.00000       6675.000       81.70068    
   50.00000       5912.000       76.88953    
   51.00000       6352.000       79.69943    
   52.00000       7137.000       84.48077    
   53.00000       7119.000       84.37417    
   54.00000       7056.000       84.00000    
   55.00000       7156.000       84.59315    
   56.00000       7143.000       84.51627    
   57.00000       7351.000       85.73798    
   58.00000       7111.000       84.32674    
   59.00000       6434.000       80.21222    
   60.00000       7656.000       87.49857    
   61.00000       7938.000       89.09545    
   62.00000       8212.000       90.62009    
   63.00000       8474.000       92.05433    
   64.00000       8329.000       91.26335    
   65.00000       8593.000       92.69843    
   66.00000       8523.000       92.32010    
   67.00000       8367.000       91.47131    
   68.00000       8248.000       90.81850    
   69.00000       8799.000       93.80299    
   70.00000       7932.000       89.06178    
   71.00000       7982.000       89.34204    
   72.00000       7864.000       88.67920    
   73.00000       7695.000       87.72115    
   74.00000       7951.000       89.16838    
   75.00000       7523.000       86.73523    
   76.00000       7708.000       87.79522    
