sample v-GeO2 1400K tst                                      23-11-07    50.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   277.0000       16.64332    
   1.000000       23.00000       4.795832    
   2.000000       33.00000       5.744563    
   3.000000       42.00000       6.480741    
   4.000000       73.00000       8.544003    
   5.000000       82.00000       9.055386    
   6.000000       108.0000       10.39230    
   7.000000       135.0000       11.61895    
   8.000000       123.0000       11.09054    
   9.000000       140.0000       11.83216    
   10.00000       128.0000       11.31371    
   11.00000       123.0000       11.09054    
   12.00000       94.00000       9.695360    
   13.00000       94.00000       9.695360    
   14.00000       96.00000       9.797959    
   15.00000       95.00000       9.746795    
   16.00000       100.0000       10.00000    
   17.00000       104.0000       10.19804    
   18.00000       126.0000       11.22497    
   19.00000       298.0000       17.26268    
   20.00000       128.0000       11.31371    
   21.00000       145.0000       12.04159    
   22.00000       169.0000       13.00000    
   23.00000       210.0000       14.49138    
   24.00000       572.0000       23.91652    
   25.00000       1095.000       33.09079    
   26.00000       1231.000       35.08561    
   27.00000       1297.000       36.01389    
   28.00000       1344.000       36.66061    
   29.00000       1350.000       36.74235    
   30.00000       1049.000       32.38827    
   31.00000       1188.000       34.46738    
   32.00000       1339.000       36.59235    
   33.00000       1402.000       37.44329    
   34.00000       1378.000       37.12142    
   35.00000       1313.000       36.23534    
   36.00000       1512.000       38.88445    
   37.00000       1432.000       37.84177    
   38.00000       1324.000       36.38681    
   39.00000       1284.000       35.83295    
   40.00000       1492.000       38.62642    
   41.00000       1482.000       38.49675    
   42.00000       1479.000       38.45777    
   43.00000       1520.000       38.98718    
   44.00000       1564.000       39.54744    
   45.00000       1518.000       38.96152    
   46.00000       1476.000       38.41875    
   47.00000       1540.000       39.24283    
   48.00000       1512.000       38.88445    
   49.00000       1605.000       40.06245    
   50.00000       1402.000       37.44329    
   51.00000       1628.000       40.34848    
   52.00000       1694.000       41.15823    
   53.00000       1710.000       41.35215    
   54.00000       1769.000       42.05948    
   55.00000       1801.000       42.43819    
   56.00000       1695.000       41.17038    
   57.00000       1734.000       41.64133    
   58.00000       1744.000       41.76123    
   59.00000       1512.000       38.88445    
   60.00000       1826.000       42.73172    
   61.00000       1967.000       44.35087    
   62.00000       1973.000       44.41846    
   63.00000       2043.000       45.19956    
   64.00000       2130.000       46.15192    
   65.00000       2122.000       46.06517    
   66.00000       2081.000       45.61798    
   67.00000       2028.000       45.03332    
   68.00000       1993.000       44.64303    
   69.00000       2184.000       46.73328    
   70.00000       1887.000       43.43961    
   71.00000       1888.000       43.45112    
   72.00000       1955.000       44.21538    
   73.00000       1916.000       43.77214    
   74.00000       1955.000       44.21538    
   75.00000       1924.000       43.86343    
   76.00000       1919.000       43.80639    
