sample v-GeO2 1400K tst                                      23-11-07   383.548K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2322.000       48.18713    
   1.000000       270.0000       16.43168    
   2.000000       309.0000       17.57840    
   3.000000       427.0000       20.66398    
   4.000000       583.0000       24.14539    
   5.000000       742.0000       27.23968    
   6.000000       842.0000       29.01724    
   7.000000       1038.000       32.21801    
   8.000000       1122.000       33.49627    
   9.000000       1186.000       34.43835    
   10.00000       1092.000       33.04542    
   11.00000       1031.000       32.10919    
   12.00000       971.0000       31.16087    
   13.00000       852.0000       29.18904    
   14.00000       763.0000       27.62245    
   15.00000       774.0000       27.82086    
   16.00000       774.0000       27.82086    
   17.00000       852.0000       29.18904    
   18.00000       923.0000       30.38091    
   19.00000       2284.000       47.79121    
   20.00000       1158.000       34.02940    
   21.00000       1312.000       36.22154    
   22.00000       1399.000       37.40321    
   23.00000       1631.000       40.38564    
   24.00000       4910.000       70.07140    
   25.00000       8738.000       93.47727    
   26.00000       9631.000       98.13766    
   27.00000       10178.00       100.8861    
   28.00000       10618.00       103.0437    
   29.00000       10481.00       102.3768    
   30.00000       8833.000       93.98404    
   31.00000       9240.000       96.12492    
   32.00000       10277.00       101.3755    
   33.00000       11006.00       104.9095    
   34.00000       10725.00       103.5616    
   35.00000       10750.00       103.6822    
   36.00000       11649.00       107.9305    
   37.00000       11580.00       107.6104    
   38.00000       11127.00       105.4846    
   39.00000       10375.00       101.8577    
   40.00000       12070.00       109.8635    
   41.00000       11628.00       107.8332    
   42.00000       11800.00       108.6278    
   43.00000       12093.00       109.9682    
   44.00000       12453.00       111.5930    
   45.00000       12726.00       112.8096    
   46.00000       12149.00       110.2225    
   47.00000       12393.00       111.3239    
   48.00000       12171.00       110.3223    
   49.00000       13082.00       114.3766    
   50.00000       11747.00       108.3836    
   51.00000       12551.00       112.0312    
   52.00000       13770.00       117.3456    
   53.00000       13677.00       116.9487    
   54.00000       13808.00       117.5074    
   55.00000       14291.00       119.5450    
   56.00000       14351.00       119.7957    
   57.00000       14305.00       119.6035    
   58.00000       14075.00       118.6381    
   59.00000       12356.00       111.1575    
   60.00000       15520.00       124.5793    
   61.00000       15913.00       126.1467    
   62.00000       16999.00       130.3802    
   63.00000       16596.00       128.8255    
   64.00000       16496.00       128.4368    
   65.00000       16917.00       130.0654    
   66.00000       16742.00       129.3909    
   67.00000       16262.00       127.5225    
   68.00000       16060.00       126.7281    
   69.00000       17451.00       132.1022    
   70.00000       15531.00       124.6234    
   71.00000       15469.00       124.3744    
   72.00000       16321.00       127.7537    
   73.00000       17336.00       131.6662    
   74.00000       18289.00       135.2368    
   75.00000       16343.00       127.8397    
   76.00000       15145.00       123.0650    
