sample v-GeO2 1200K x3                                       25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       167076.0       408.7493    
   185.0000       127525.0       357.1064    
   186.0000       92544.00       304.2104    
   187.0000       85882.00       293.0563    
   188.0000       81030.00       284.6577    
   189.0000       84981.00       291.5150    
   190.0000       76071.00       275.8097    
   191.0000       76608.00       276.7815    
   192.0000       75826.00       275.3652    
   193.0000       71144.00       266.7283    
   194.0000       71907.00       268.1548    
   195.0000       71703.00       267.7742    
   196.0000       70618.00       265.7405    
   197.0000       70030.00       264.6318    
   198.0000       70153.00       264.8641    
   199.0000       72171.00       268.6466    
   200.0000       67033.00       258.9073    
   201.0000       68336.00       261.4116    
   202.0000       71845.00       268.0392    
   203.0000       73532.00       271.1678    
   204.0000       71972.00       268.2760    
   205.0000       71672.00       267.7163    
   206.0000       70694.00       265.8834    
   207.0000       73850.00       271.7536    
   208.0000       70482.00       265.4845    
   209.0000       73137.00       270.4385    
   210.0000       64618.00       254.2007    
   211.0000       67624.00       260.0461    
   212.0000       72094.00       268.5033    
   213.0000       69316.00       263.2793    
   214.0000       69558.00       263.7385    
   215.0000       67632.00       260.0615    
   216.0000       70808.00       266.0977    
   217.0000       71090.00       266.6271    
   218.0000       66849.00       258.5517    
   219.0000       64443.00       253.8563    
   220.0000       75030.00       273.9160    
   221.0000       69581.00       263.7821    
   222.0000       70137.00       264.8339    
   223.0000       71704.00       267.7760    
   224.0000       70508.00       265.5334    
   225.0000       69793.00       264.1837    
   226.0000       70748.00       265.9850    
   227.0000       72212.00       268.7229    
   228.0000       69660.00       263.9318    
   229.0000       73529.00       271.1623    
   230.0000       65538.00       256.0039    
   231.0000       67642.00       260.0807    
   232.0000       70060.00       264.6885    
   233.0000       70165.00       264.8868    
   234.0000       69589.00       263.7973    
   235.0000       70364.00       265.2621    
   236.0000       74514.00       272.9725    
   237.0000       74245.00       272.4794    
   238.0000       71505.00       267.4042    
   239.0000       65248.00       255.4369    
   240.0000       78575.00       280.3123    
   241.0000       78540.00       280.2499    
   242.0000       87602.00       295.9763    
   243.0000       86385.00       293.9132    
   244.0000       75477.00       274.7308    
   245.0000       76280.00       276.1884    
   246.0000       73283.00       270.7083    
   247.0000       74402.00       272.7673    
   248.0000       71580.00       267.5444    
   249.0000       75705.00       275.1454    
   250.0000       69072.00       262.8155    
   251.0000       71190.00       266.8145    
   252.0000       73638.00       271.3632    
   253.0000       72762.00       269.7443    
   254.0000       72575.00       269.3975    
   255.0000       71267.00       266.9588    
   256.0000       73532.00       271.1678    
   257.0000       72332.00       268.9461    
   258.0000       67936.00       260.6454    
   259.0000       62879.00       250.7569    
   260.0000       79207.00       281.4374    
   261.0000       77065.00       277.6058    
   262.0000       74940.00       273.7517    
   263.0000       76328.00       276.2752    
   264.0000       77356.00       278.1295    
   265.0000       77776.00       278.8835    
   266.0000       78103.00       279.4691    
   267.0000       80494.00       283.7146    
   268.0000       76418.00       276.4380    
   269.0000       81656.00       285.7551    
   270.0000       74042.00       272.1066    
   271.0000       74272.00       272.5289    
   272.0000       78775.00       280.6689    
   273.0000       77860.00       279.0341    
   274.0000       77445.00       278.2894    
   275.0000       76489.00       276.5664    
   276.0000       81245.00       285.0351    
   277.0000       79488.00       281.9362    
   278.0000       77539.00       278.4583    
   279.0000       66291.00       257.4704    
   280.0000       80949.00       284.5154    
   281.0000       78339.00       279.8911    
   282.0000       78552.00       280.2713    
   283.0000       79184.00       281.3965    
   284.0000       76756.00       277.0487    
   285.0000       76650.00       276.8574    
   286.0000       76819.00       277.1624    
   287.0000       78961.00       281.0000    
   288.0000       76336.00       276.2897    
   289.0000       80871.00       284.3783    
   290.0000       74336.00       272.6463    
   291.0000       75139.00       274.1149    
   292.0000       77567.00       278.5085    
   293.0000       74947.00       273.7645    
