sample v-GeO2 1100K tst                                      23-11-07    50.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       2586.000       50.85273    
   185.0000       2652.000       51.49757    
   186.0000       2625.000       51.23475    
   187.0000       2540.000       50.39841    
   188.0000       2348.000       48.45617    
   189.0000       2385.000       48.83646    
   190.0000       2133.000       46.18441    
   191.0000       2078.000       45.58509    
   192.0000       2157.000       46.44352    
   193.0000       1979.000       44.48595    
   194.0000       1835.000       42.83690    
   195.0000       2018.000       44.92215    
   196.0000       1853.000       43.04649    
   197.0000       1825.000       42.72002    
   198.0000       1830.000       42.77850    
   199.0000       1930.000       43.93177    
   200.0000       1767.000       42.03570    
   201.0000       1834.000       42.82523    
   202.0000       1837.000       42.86024    
   203.0000       1934.000       43.97727    
   204.0000       1926.000       43.88622    
   205.0000       1964.000       44.31704    
   206.0000       2010.000       44.83302    
   207.0000       2074.000       45.54119    
   208.0000       1980.000       44.49719    
   209.0000       2013.000       44.86647    
   210.0000       1789.000       42.29657    
   211.0000       1918.000       43.79498    
   212.0000       2062.000       45.40925    
   213.0000       1904.000       43.63485    
   214.0000       1876.000       43.31282    
   215.0000       1837.000       42.86024    
   216.0000       1978.000       44.47471    
   217.0000       1889.000       43.46263    
   218.0000       1837.000       42.86024    
   219.0000       1795.000       42.36744    
   220.0000       2082.000       45.62894    
   221.0000       1908.000       43.68066    
   222.0000       1974.000       44.42972    
   223.0000       2003.000       44.75489    
   224.0000       2002.000       44.74371    
   225.0000       1966.000       44.33960    
   226.0000       1935.000       43.98864    
   227.0000       1975.000       44.44097    
   228.0000       1908.000       43.68066    
   229.0000       2068.000       45.47527    
   230.0000       1824.000       42.70831    
   231.0000       1830.000       42.77850    
   232.0000       1932.000       43.95452    
   233.0000       1959.000       44.26059    
   234.0000       1935.000       43.98864    
   235.0000       1881.000       43.37050    
   236.0000       1873.000       43.27817    
   237.0000       1920.000       43.81781    
   238.0000       1838.000       42.87190    
   239.0000       1774.000       42.11888    
   240.0000       1977.000       44.46347    
   241.0000       2034.000       45.09989    
   242.0000       2098.000       45.80393    
   243.0000       1985.000       44.55334    
   244.0000       1973.000       44.41846    
   245.0000       2023.000       44.97777    
   246.0000       2016.000       44.89989    
   247.0000       1925.000       43.87482    
   248.0000       1910.000       43.70355    
   249.0000       2102.000       45.84757    
   250.0000       1846.000       42.96510    
   251.0000       1919.000       43.80639    
   252.0000       1967.000       44.35087    
   253.0000       2025.000       45.00000    
   254.0000       2089.000       45.70558    
   255.0000       1877.000       43.32436    
   256.0000       1969.000       44.37342    
   257.0000       1998.000       44.69899    
   258.0000       1826.000       42.73172    
   259.0000       1742.000       41.73727    
   260.0000       2091.000       45.72746    
   261.0000       2029.000       45.04442    
   262.0000       2039.000       45.15529    
   263.0000       2054.000       45.32108    
   264.0000       2131.000       46.16275    
   265.0000       2100.000       45.82576    
   266.0000       2152.000       46.38965    
   267.0000       2163.000       46.50806    
   268.0000       2228.000       47.20169    
   269.0000       2312.000       48.08326    
   270.0000       2069.000       45.48626    
   271.0000       2109.000       45.92385    
   272.0000       2249.000       47.42362    
   273.0000       2180.000       46.69047    
   274.0000       2227.000       47.19110    
   275.0000       2136.000       46.21688    
   276.0000       2251.000       47.44471    
   277.0000       2189.000       46.78675    
   278.0000       2095.000       45.77117    
   279.0000       1872.000       43.26662    
   280.0000       2119.000       46.03260    
   281.0000       2076.000       45.56314    
   282.0000       2199.000       46.89350    
   283.0000       2200.000       46.90416    
   284.0000       2091.000       45.72746    
   285.0000       2113.000       45.96738    
   286.0000       2072.000       45.51923    
   287.0000       2190.000       46.79744    
   288.0000       2155.000       46.42198    
   289.0000       2177.000       46.65833    
   290.0000       2025.000       45.00000    
   291.0000       2098.000       45.80393    
   292.0000       2075.000       45.55217    
   293.0000       2086.000       45.67275    
   294.0000       2181.000       46.70118    
   295.0000       2093.000       45.74932    
   296.0000       2067.000       45.46427    
   297.0000       1990.000       44.60942    
   298.0000       2002.000       44.74371    
   299.0000       2008.000       44.81071    
   300.0000       2145.000       46.31414    
   301.0000       2024.000       44.98889    
   302.0000       1973.000       44.41846    
   303.0000       2049.000       45.26588    
   304.0000       2038.000       45.14421    
   305.0000       2079.000       45.59605    
   306.0000       2093.000       45.74932    
   307.0000       2035.000       45.11097    
   308.0000       2037.000       45.13314    
   309.0000       2188.000       46.77606    
   310.0000       1932.000       43.95452    
   311.0000       2076.000       45.56314    
   312.0000       2125.000       46.09772    
   313.0000       2057.000       45.35416    
   314.0000       2083.000       45.63990    
   315.0000       1968.000       44.36214    
   316.0000       1999.000       44.71018    
   317.0000       2022.000       44.96666    
