sample v-GeO2 1300K x3                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2629.000       51.27377    
   1.000000       350.0000       18.70829    
   2.000000       380.0000       19.49359    
   3.000000       434.0000       20.83267    
   4.000000       727.0000       26.96294    
   5.000000       937.0000       30.61046    
   6.000000       1084.000       32.92416    
   7.000000       1319.000       36.31804    
   8.000000       1336.000       36.55133    
   9.000000       1394.000       37.33631    
   10.00000       1288.000       35.88872    
   11.00000       1244.000       35.27039    
   12.00000       1194.000       34.55431    
   13.00000       1037.000       32.20248    
   14.00000       940.0000       30.65942    
   15.00000       992.0000       31.49603    
   16.00000       1006.000       31.71750    
   17.00000       1036.000       32.18695    
   18.00000       1166.000       34.14674    
   19.00000       2769.000       52.62129    
   20.00000       1464.000       38.26225    
   21.00000       1540.000       39.24283    
   22.00000       1591.000       39.88734    
   23.00000       1937.000       44.01136    
   24.00000       6177.000       78.59389    
   25.00000       11061.00       105.1713    
   26.00000       11964.00       109.3801    
   27.00000       13226.00       115.0043    
   28.00000       13127.00       114.5731    
   29.00000       13540.00       116.3615    
   30.00000       11228.00       105.9623    
   31.00000       11672.00       108.0370    
   32.00000       12788.00       113.0840    
   33.00000       13876.00       117.7964    
   34.00000       13510.00       116.2325    
   35.00000       13371.00       115.6330    
   36.00000       14641.00       121.0000    
   37.00000       14351.00       119.7957    
   38.00000       13456.00       116.0000    
   39.00000       12632.00       112.3922    
   40.00000       14736.00       121.3919    
   41.00000       14396.00       119.9833    
   42.00000       14381.00       119.9208    
   43.00000       15057.00       122.7070    
   44.00000       15236.00       123.4342    
   45.00000       15672.00       125.1879    
   46.00000       14763.00       121.5031    
   47.00000       14927.00       122.1761    
   48.00000       14745.00       121.4290    
   49.00000       15722.00       125.3874    
   50.00000       13664.00       116.8931    
   51.00000       15054.00       122.6947    
   52.00000       16731.00       129.3484    
   53.00000       15994.00       126.4674    
   54.00000       16227.00       127.3852    
   55.00000       16631.00       128.9612    
   56.00000       16638.00       128.9884    
   57.00000       16737.00       129.3716    
   58.00000       16207.00       127.3067    
   59.00000       13847.00       117.6733    
   60.00000       17834.00       133.5440    
   61.00000       19516.00       139.6997    
   62.00000       20364.00       142.7025    
   63.00000       19379.00       139.2085    
   64.00000       18965.00       137.7135    
   65.00000       19460.00       139.4991    
   66.00000       19562.00       139.8642    
   67.00000       18943.00       137.6336    
   68.00000       18737.00       136.8832    
   69.00000       20652.00       143.7080    
   70.00000       18515.00       136.0698    
   71.00000       18608.00       136.4111    
   72.00000       19828.00       140.8119    
   73.00000       20766.00       144.1041    
   74.00000       21439.00       146.4206    
   75.00000       18773.00       137.0146    
   76.00000       18128.00       134.6403    
