sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10302.00       101.4988    
   1.000000       1341.000       36.61967    
   2.000000       1505.000       38.79433    
   3.000000       1835.000       42.83690    
   4.000000       2777.000       52.69725    
   5.000000       3752.000       61.25357    
   6.000000       4274.000       65.37584    
   7.000000       5125.000       71.58910    
   8.000000       5311.000       72.87661    
   9.000000       5628.000       75.02000    
   10.00000       5049.000       71.05631    
   11.00000       5004.000       70.73896    
   12.00000       4545.000       67.41662    
   13.00000       4174.000       64.60650    
   14.00000       3877.000       62.26556    
   15.00000       3740.000       61.15554    
   16.00000       3983.000       63.11101    
   17.00000       4143.000       64.36614    
   18.00000       4752.000       68.93475    
   19.00000       11008.00       104.9190    
   20.00000       5742.000       75.77599    
   21.00000       6462.000       80.38657    
   22.00000       6636.000       81.46165    
   23.00000       7837.000       88.52683    
   24.00000       24459.00       156.3937    
   25.00000       43538.00       208.6576    
   26.00000       47885.00       218.8264    
   27.00000       52443.00       229.0044    
   28.00000       53627.00       231.5750    
   29.00000       52726.00       229.6214    
   30.00000       44967.00       212.0542    
   31.00000       47117.00       217.0645    
   32.00000       51501.00       226.9383    
   33.00000       55722.00       236.0551    
   34.00000       53666.00       231.6592    
   35.00000       53193.00       230.6361    
   36.00000       58404.00       241.6692    
   37.00000       58310.00       241.4746    
   38.00000       53979.00       232.3338    
   39.00000       50362.00       224.4148    
   40.00000       59894.00       244.7325    
   41.00000       57844.00       240.5078    
   42.00000       57955.00       240.7384    
   43.00000       60557.00       246.0833    
   44.00000       61244.00       247.4753    
   45.00000       62640.00       250.2798    
   46.00000       59876.00       244.6957    
   47.00000       60539.00       246.0467    
   48.00000       59872.00       244.6876    
   49.00000       64036.00       253.0534    
   50.00000       55469.00       235.5186    
   51.00000       60541.00       246.0508    
   52.00000       66790.00       258.4376    
   53.00000       64833.00       254.6232    
   54.00000       65579.00       256.0840    
   55.00000       67470.00       259.7499    
   56.00000       67022.00       258.8861    
   57.00000       66837.00       258.5285    
   58.00000       65076.00       255.1000    
   59.00000       56044.00       236.7361    
   60.00000       71220.00       266.8708    
   61.00000       71839.00       268.0280    
   62.00000       77115.00       277.6959    
   63.00000       77547.00       278.4726    
   64.00000       77613.00       278.5911    
   65.00000       78668.00       280.4781    
   66.00000       77892.00       279.0914    
   67.00000       77060.00       277.5968    
   68.00000       75478.00       274.7326    
   69.00000       83175.00       288.4008    
   70.00000       73526.00       271.1568    
   71.00000       73881.00       271.8106    
   72.00000       76566.00       276.7056    
   73.00000       86021.00       293.2934    
   74.00000       99104.00       314.8079    
   75.00000       82012.00       286.3774    
   76.00000       74504.00       272.9542    
