sample v-GeO2 1400K tst                                      24-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1110.000       33.31666    
   1.000000       125.0000       11.18034    
   2.000000       198.0000       14.07125    
   3.000000       191.0000       13.82028    
   4.000000       268.0000       16.37070    
   5.000000       389.0000       19.72308    
   6.000000       432.0000       20.78461    
   7.000000       536.0000       23.15167    
   8.000000       521.0000       22.82542    
   9.000000       480.0000       21.90890    
   10.00000       495.0000       22.24860    
   11.00000       522.0000       22.84732    
   12.00000       458.0000       21.40093    
   13.00000       406.0000       20.14944    
   14.00000       417.0000       20.42058    
   15.00000       361.0000       19.00000    
   16.00000       387.0000       19.67232    
   17.00000       405.0000       20.12461    
   18.00000       510.0000       22.58318    
   19.00000       1061.000       32.57299    
   20.00000       610.0000       24.69818    
   21.00000       667.0000       25.82634    
   22.00000       620.0000       24.89980    
   23.00000       774.0000       27.82086    
   24.00000       2452.000       49.51767    
   25.00000       4418.000       66.46804    
   26.00000       4919.000       70.13558    
   27.00000       5320.000       72.93833    
   28.00000       5376.000       73.32121    
   29.00000       5363.000       73.23251    
   30.00000       4487.000       66.98507    
   31.00000       4598.000       67.80856    
   32.00000       5098.000       71.40028    
   33.00000       5646.000       75.13987    
   34.00000       5489.000       74.08778    
   35.00000       5286.000       72.70488    
   36.00000       5921.000       76.94804    
   37.00000       5878.000       76.66811    
   38.00000       5373.000       73.30075    
   39.00000       4959.000       70.42017    
   40.00000       5963.000       77.22047    
   41.00000       5787.000       76.07233    
   42.00000       5947.000       77.11679    
   43.00000       6052.000       77.79460    
   44.00000       6224.000       78.89233    
   45.00000       6239.000       78.98734    
   46.00000       6098.000       78.08969    
   47.00000       6172.000       78.56208    
   48.00000       5980.000       77.33046    
   49.00000       6553.000       80.95060    
   50.00000       5682.000       75.37904    
   51.00000       6134.000       78.31985    
   52.00000       6631.000       81.43095    
   53.00000       6528.000       80.79604    
   54.00000       6699.000       81.84742    
   55.00000       6879.000       82.93974    
   56.00000       6726.000       82.01219    
   57.00000       6709.000       81.90849    
   58.00000       6555.000       80.96295    
   59.00000       5585.000       74.73286    
   60.00000       7300.000       85.44004    
   61.00000       7400.000       86.02325    
   62.00000       7758.000       88.07951    
   63.00000       7862.000       88.66792    
   64.00000       7731.000       87.92610    
   65.00000       8067.000       89.81648    
   66.00000       7941.000       89.11229    
   67.00000       7771.000       88.15327    
   68.00000       7514.000       86.68333    
   69.00000       8435.000       91.84225    
   70.00000       7450.000       86.31339    
   71.00000       7388.000       85.95348    
   72.00000       7590.000       87.12061    
   73.00000       7359.000       85.78461    
   74.00000       7677.000       87.61849    
   75.00000       7480.000       86.48699    
   76.00000       7424.000       86.16264    
