sample v-GeO2 750K                                           20-11-07   537.058K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   3285.000       57.31492    
   1.000000       368.0000       19.18333    
   2.000000       427.0000       20.66398    
   3.000000       546.0000       23.36664    
   4.000000       778.0000       27.89265    
   5.000000       1115.000       33.39162    
   6.000000       1197.000       34.59769    
   7.000000       1441.000       37.96051    
   8.000000       1562.000       39.52214    
   9.000000       1569.000       39.61060    
   10.00000       1562.000       39.52214    
   11.00000       1500.000       38.72983    
   12.00000       1357.000       36.83748    
   13.00000       1148.000       33.88215    
   14.00000       1104.000       33.22649    
   15.00000       1043.000       32.29551    
   16.00000       1125.000       33.54102    
   17.00000       1203.000       34.68429    
   18.00000       1384.000       37.20215    
   19.00000       3420.000       58.48077    
   20.00000       1664.000       40.79216    
   21.00000       1770.000       42.07137    
   22.00000       1870.000       43.24350    
   23.00000       2223.000       47.14870    
   24.00000       6766.000       82.25570    
   25.00000       12144.00       110.1998    
   26.00000       13302.00       115.3343    
   27.00000       14430.00       120.1249    
   28.00000       14649.00       121.0331    
   29.00000       14454.00       120.2248    
   30.00000       12844.00       113.3314    
   31.00000       12680.00       112.6055    
   32.00000       14278.00       119.4906    
   33.00000       15356.00       123.9193    
   34.00000       15021.00       122.5602    
   35.00000       14842.00       121.8277    
   36.00000       15922.00       126.1824    
   37.00000       15972.00       126.3804    
   38.00000       15420.00       124.1773    
   39.00000       14226.00       119.2728    
   40.00000       16440.00       128.2186    
   41.00000       15907.00       126.1230    
   42.00000       16317.00       127.7380    
   43.00000       16385.00       128.0039    
   44.00000       16740.00       129.3831    
   45.00000       17437.00       132.0492    
   46.00000       16626.00       128.9418    
   47.00000       16560.00       128.6857    
   48.00000       16515.00       128.5107    
   49.00000       17834.00       133.5440    
   50.00000       16191.00       127.2439    
   51.00000       17256.00       131.3621    
   52.00000       19421.00       139.3593    
   53.00000       18563.00       136.2461    
   54.00000       19415.00       139.3377    
   55.00000       19703.00       140.3674    
   56.00000       20179.00       142.0528    
   57.00000       20494.00       143.1573    
   58.00000       20746.00       144.0347    
   59.00000       18859.00       137.3281    
   60.00000       22672.00       150.5722    
   61.00000       23231.00       152.4172    
   62.00000       25378.00       159.3047    
   63.00000       25085.00       158.3824    
   64.00000       25477.00       159.6152    
   65.00000       25906.00       160.9534    
   66.00000       25725.00       160.3902    
   67.00000       24933.00       157.9019    
   68.00000       24211.00       155.5988    
   69.00000       26681.00       163.3432    
   70.00000       23634.00       153.7335    
   71.00000       23280.00       152.5779    
   72.00000       23545.00       153.4438    
   73.00000       22505.00       150.0167    
   74.00000       23267.00       152.5352    
   75.00000       21833.00       147.7599    
   76.00000       22181.00       148.9329    
