sample v-GeO2 1100K                                          23-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   11640.00       107.8888    
   1.000000       1406.000       37.49667    
   2.000000       1540.000       39.24283    
   3.000000       1998.000       44.69899    
   4.000000       2798.000       52.89613    
   5.000000       3967.000       62.98412    
   6.000000       4601.000       67.83067    
   7.000000       5493.000       74.11478    
   8.000000       5711.000       75.57116    
   9.000000       6008.000       77.51129    
   10.00000       5429.000       73.68175    
   11.00000       5363.000       73.23251    
   12.00000       4975.000       70.53368    
   13.00000       4296.000       65.54388    
   14.00000       4022.000       63.41924    
   15.00000       3865.000       62.16912    
   16.00000       4269.000       65.33759    
   17.00000       4456.000       66.75328    
   18.00000       5007.000       70.76015    
   19.00000       12741.00       112.8760    
   20.00000       5952.000       77.14921    
   21.00000       6575.000       81.08637    
   22.00000       6893.000       83.02409    
   23.00000       8169.000       90.38252    
   24.00000       24807.00       157.5024    
   25.00000       44134.00       210.0809    
   26.00000       48306.00       219.7863    
   27.00000       52109.00       228.2740    
   28.00000       52876.00       229.9478    
   29.00000       52473.00       229.0699    
   30.00000       44883.00       211.8561    
   31.00000       45703.00       213.7826    
   32.00000       51066.00       225.9779    
   33.00000       54371.00       233.1759    
   34.00000       52702.00       229.5692    
   35.00000       52440.00       228.9978    
   36.00000       57118.00       238.9937    
   37.00000       56649.00       238.0105    
   38.00000       53074.00       230.3779    
   39.00000       50243.00       224.1495    
   40.00000       57865.00       240.5515    
   41.00000       55955.00       236.5481    
   42.00000       56231.00       237.1308    
   43.00000       57892.00       240.6076    
   44.00000       58296.00       241.4456    
   45.00000       59322.00       243.5611    
   46.00000       57572.00       239.9417    
   47.00000       57393.00       239.5684    
   48.00000       56525.00       237.7499    
   49.00000       60411.00       245.7865    
   50.00000       53080.00       230.3910    
   51.00000       57273.00       239.3178    
   52.00000       62860.00       250.7190    
   53.00000       61703.00       248.4009    
   54.00000       61461.00       247.9133    
   55.00000       63450.00       251.8928    
   56.00000       63504.00       252.0000    
   57.00000       63693.00       252.3747    
   58.00000       61801.00       248.5981    
   59.00000       55765.00       236.1461    
   60.00000       75995.00       275.6719    
   61.00000       94304.00       307.0896    
   62.00000       93288.00       305.4308    
   63.00000       77754.00       278.8441    
   64.00000       73668.00       271.4185    
   65.00000       73906.00       271.8566    
   66.00000       72867.00       269.9389    
   67.00000       72270.00       268.8308    
   68.00000       70393.00       265.3168    
   69.00000       77312.00       278.0504    
   70.00000       70269.00       265.0830    
   71.00000       73629.00       271.3466    
   72.00000       92600.00       304.3025    
   73.00000       145724.0       381.7381    
   74.00000       197730.0       444.6684    
   75.00000       140362.0       374.6492    
   76.00000       87182.00       295.2660    
