sample v-GeO2 1300K x3                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       22196.00       148.9832    
   185.0000       22295.00       149.3151    
   186.0000       21127.00       145.3513    
   187.0000       20830.00       144.3260    
   188.0000       19755.00       140.5525    
   189.0000       21194.00       145.5816    
   190.0000       19025.00       137.9311    
   191.0000       19356.00       139.1258    
   192.0000       19426.00       139.3772    
   193.0000       18323.00       135.3625    
   194.0000       18539.00       136.1580    
   195.0000       18789.00       137.0730    
   196.0000       18342.00       135.4326    
   197.0000       18468.00       135.8970    
   198.0000       18271.00       135.1703    
   199.0000       18502.00       136.0221    
   200.0000       17277.00       131.4420    
   201.0000       17146.00       130.9427    
   202.0000       18216.00       134.9667    
   203.0000       18501.00       136.0184    
   204.0000       17916.00       133.8507    
   205.0000       18179.00       134.8295    
   206.0000       17689.00       133.0000    
   207.0000       18241.00       135.0592    
   208.0000       17324.00       131.6207    
   209.0000       18483.00       135.9522    
   210.0000       16518.00       128.5224    
   211.0000       17054.00       130.5910    
   212.0000       18130.00       134.6477    
   213.0000       17413.00       131.9583    
   214.0000       17412.00       131.9545    
   215.0000       17113.00       130.8167    
   216.0000       17429.00       132.0189    
   217.0000       17664.00       132.9060    
   218.0000       16412.00       128.1093    
   219.0000       15998.00       126.4832    
   220.0000       18562.00       136.2424    
   221.0000       17071.00       130.6560    
   222.0000       17408.00       131.9394    
   223.0000       17742.00       133.1991    
   224.0000       17307.00       131.5561    
   225.0000       17552.00       132.4840    
   226.0000       17744.00       133.2066    
   227.0000       18117.00       134.5994    
   228.0000       17521.00       132.3669    
   229.0000       18935.00       137.6045    
   230.0000       16657.00       129.0620    
   231.0000       17244.00       131.3164    
   232.0000       17798.00       133.4091    
   233.0000       17707.00       133.0677    
   234.0000       17605.00       132.6838    
   235.0000       17989.00       134.1231    
   236.0000       18274.00       135.1814    
   237.0000       17589.00       132.6235    
   238.0000       17429.00       132.0189    
   239.0000       15745.00       125.4791    
   240.0000       18693.00       136.7224    
   241.0000       17992.00       134.1343    
   242.0000       18863.00       137.3426    
   243.0000       18201.00       134.9111    
   244.0000       18170.00       134.7961    
   245.0000       19187.00       138.5172    
   246.0000       18671.00       136.6419    
   247.0000       18544.00       136.1764    
   248.0000       18138.00       134.6774    
   249.0000       19364.00       139.1546    
   250.0000       17886.00       133.7386    
   251.0000       18079.00       134.4582    
   252.0000       18884.00       137.4191    
   253.0000       18381.00       135.5766    
   254.0000       18630.00       136.4918    
   255.0000       18184.00       134.8481    
   256.0000       18816.00       137.1714    
   257.0000       18325.00       135.3699    
   258.0000       17478.00       132.2044    
   259.0000       15512.00       124.5472    
   260.0000       19416.00       139.3413    
   261.0000       18929.00       137.5827    
   262.0000       18792.00       137.0839    
   263.0000       18675.00       136.6565    
   264.0000       18960.00       137.6953    
   265.0000       18877.00       137.3936    
   266.0000       19346.00       139.0899    
   267.0000       20216.00       142.1830    
   268.0000       19387.00       139.2372    
   269.0000       20671.00       143.7741    
   270.0000       18555.00       136.2167    
   271.0000       18796.00       137.0985    
   272.0000       19735.00       140.4813    
   273.0000       19383.00       139.2228    
   274.0000       19432.00       139.3987    
   275.0000       19000.00       137.8405    
   276.0000       19559.00       139.8535    
   277.0000       18985.00       137.7861    
   278.0000       18537.00       136.1507    
   279.0000       15888.00       126.0476    
   280.0000       19776.00       140.6272    
   281.0000       19124.00       138.2896    
   282.0000       19583.00       139.9393    
   283.0000       19552.00       139.8285    
   284.0000       19337.00       139.0575    
   285.0000       19205.00       138.5821    
   286.0000       19227.00       138.6615    
   287.0000       19540.00       139.7856    
   288.0000       18848.00       137.2880    
   289.0000       20154.00       141.9648    
   290.0000       18507.00       136.0404    
   291.0000       18875.00       137.3863    
   292.0000       19590.00       139.9643    
   293.0000       18728.00       136.8503    
   294.0000       18781.00       137.0438    
   295.0000       19147.00       138.3727    
   296.0000       19250.00       138.7444    
   297.0000       18590.00       136.3452    
   298.0000       18060.00       134.3875    
   299.0000       17934.00       133.9179    
   300.0000       19660.00       140.2141    
   301.0000       18720.00       136.8210    
   302.0000       18967.00       137.7207    
   303.0000       18955.00       137.6772    
   304.0000       18802.00       137.1204    
   305.0000       18938.00       137.6154    
   306.0000       18772.00       137.0110    
   307.0000       18239.00       135.0518    
   308.0000       18476.00       135.9265    
   309.0000       19729.00       140.4600    
   310.0000       17987.00       134.1156    
   311.0000       18472.00       135.9117    
   312.0000       18861.00       137.3354    
   313.0000       18283.00       135.2146    
   314.0000       18401.00       135.6503    
   315.0000       17988.00       134.1194    
   316.0000       18413.00       135.6945    
   317.0000       18993.00       137.8151    
   318.0000       17654.00       132.8684    
   319.0000       16348.00       127.8593    
   320.0000       17253.00       131.3507    
   321.0000       17761.00       133.2704    
