sample v-GeO2 850K	                 21-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12086.00       109.9363    
   1.000000       1350.000       36.74235    
   2.000000       1606.000       40.07493    
   3.000000       2114.000       45.97826    
   4.000000       2766.000       52.59277    
   5.000000       3961.000       62.93648    
   6.000000       4492.000       67.02238    
   7.000000       5461.000       73.89858    
   8.000000       5759.000       75.88808    
   9.000000       5934.000       77.03246    
   10.00000       5588.000       74.75293    
   11.00000       5414.000       73.57989    
   12.00000       5136.000       71.66589    
   13.00000       4469.000       66.85058    
   14.00000       4067.000       63.77304    
   15.00000       3889.000       62.36185    
   16.00000       4255.000       65.23036    
   17.00000       4394.000       66.28725    
   18.00000       4982.000       70.58328    
   19.00000       11704.00       108.1850    
   20.00000       6212.000       78.81624    
   21.00000       6634.000       81.44937    
   22.00000       6876.000       82.92165    
   23.00000       8359.000       91.42757    
   24.00000       24707.00       157.1846    
   25.00000       45169.00       212.5300    
   26.00000       49499.00       222.4837    
   27.00000       53512.00       231.3266    
   28.00000       54263.00       232.9442    
   29.00000       53369.00       231.0173    
   30.00000       45872.00       214.1775    
   31.00000       47964.00       219.0069    
   32.00000       52587.00       229.3186    
   33.00000       56896.00       238.5288    
   34.00000       54749.00       233.9850    
   35.00000       54905.00       234.3182    
   36.00000       59456.00       243.8360    
   37.00000       59340.00       243.5980    
   38.00000       55545.00       235.6799    
   39.00000       52743.00       229.6584    
   40.00000       61054.00       247.0911    
   41.00000       58777.00       242.4397    
   42.00000       59100.00       243.1049    
   43.00000       61669.00       248.3324    
   44.00000       62223.00       249.4454    
   45.00000       64131.00       253.2410    
   46.00000       61995.00       248.9879    
   47.00000       62885.00       250.7688    
   48.00000       62246.00       249.4915    
   49.00000       66757.00       258.3737    
   50.00000       58561.00       241.9938    
   51.00000       63716.00       252.4203    
   52.00000       71086.00       266.6196    
   53.00000       69240.00       263.1349    
   54.00000       71399.00       267.2059    
   55.00000       74225.00       272.4427    
   56.00000       74154.00       272.3123    
   57.00000       77053.00       277.5842    
   58.00000       76217.00       276.0743    
   59.00000       68636.00       261.9847    
   60.00000       84909.00       291.3915    
   61.00000       87094.00       295.1169    
   62.00000       93637.00       306.0016    
   63.00000       94856.00       307.9870    
   64.00000       95110.00       308.3991    
   65.00000       97226.00       311.8109    
   66.00000       94589.00       307.5533    
   67.00000       93791.00       306.2532    
   68.00000       90983.00       301.6339    
   69.00000       99106.00       314.8111    
   70.00000       87212.00       295.3168    
   71.00000       86223.00       293.6375    
   72.00000       86123.00       293.4672    
   73.00000       83726.00       289.3545    
   74.00000       85837.00       292.9795    
   75.00000       82008.00       286.3704    
   76.00000       81180.00       284.9211    
