Vanadium rnace avelenght calibration                         26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   7872.000       88.72429    
   1.000000       1163.000       34.10279    
   2.000000       1322.000       36.35932    
   3.000000       1583.000       39.78693    
   4.000000       2400.000       48.98980    
   5.000000       3273.000       57.21014    
   6.000000       3637.000       60.30754    
   7.000000       4392.000       66.27216    
   8.000000       4411.000       66.41536    
   9.000000       4351.000       65.96211    
   10.00000       4075.000       63.83573    
   11.00000       4023.000       63.42712    
   12.00000       3834.000       61.91930    
   13.00000       3412.000       58.41233    
   14.00000       3337.000       57.76677    
   15.00000       3086.000       55.55178    
   16.00000       3503.000       59.18615    
   17.00000       3636.000       60.29926    
   18.00000       4311.000       65.65820    
   19.00000       8841.000       94.02659    
   20.00000       5204.000       72.13876    
   21.00000       5551.000       74.50504    
   22.00000       5688.000       75.41883    
   23.00000       6854.000       82.78889    
   24.00000       19331.00       139.0360    
   25.00000       47863.00       218.7761    
   26.00000       53147.00       230.5363    
   27.00000       54153.00       232.7080    
   28.00000       52061.00       228.1688    
   29.00000       50737.00       225.2487    
   30.00000       43943.00       209.6259    
   31.00000       45226.00       212.6640    
   32.00000       49277.00       221.9842    
   33.00000       52901.00       230.0022    
   34.00000       51341.00       226.5855    
   35.00000       50735.00       225.2443    
   36.00000       55373.00       235.3147    
   37.00000       54399.00       233.2359    
   38.00000       50743.00       225.2621    
   39.00000       48264.00       219.6907    
   40.00000       54618.00       233.7049    
   41.00000       52489.00       229.1048    
   42.00000       52785.00       229.7499    
   43.00000       54607.00       233.6814    
   44.00000       54171.00       232.7466    
   45.00000       54903.00       234.3139    
   46.00000       52719.00       229.6062    
   47.00000       52462.00       229.0459    
   48.00000       51437.00       226.7973    
   49.00000       54049.00       232.4844    
   50.00000       47061.00       216.9355    
   51.00000       50767.00       225.3153    
   52.00000       55372.00       235.3126    
   53.00000       52527.00       229.1877    
   54.00000       52171.00       228.4097    
   55.00000       53683.00       231.6959    
   56.00000       52886.00       229.9696    
   57.00000       52385.00       228.8777    
   58.00000       50447.00       224.6041    
   59.00000       44195.00       210.2261    
   60.00000       52688.00       229.5387    
   61.00000       52355.00       228.8121    
   62.00000       55867.00       236.3620    
   63.00000       55487.00       235.5568    
   64.00000       55058.00       234.6444    
   65.00000       55694.00       235.9958    
   66.00000       55188.00       234.9213    
   67.00000       54716.00       233.9145    
   68.00000       53618.00       231.5556    
   69.00000       59374.00       243.6678    
   70.00000       53388.00       231.0584    
   71.00000       53865.00       232.0883    
   72.00000       54606.00       233.6793    
   73.00000       53557.00       231.4239    
   74.00000       56168.00       236.9979    
   75.00000       54197.00       232.8025    
   76.00000       55130.00       234.7978    
