sample v-GeO2 1325K x4                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2675.000       51.72040    
   1.000000       342.0000       18.49324    
   2.000000       373.0000       19.31321    
   3.000000       441.0000       21.00000    
   4.000000       719.0000       26.81417    
   5.000000       932.0000       30.52868    
   6.000000       1070.000       32.71085    
   7.000000       1326.000       36.41428    
   8.000000       1310.000       36.19392    
   9.000000       1450.000       38.07887    
   10.00000       1324.000       36.38681    
   11.00000       1308.000       36.16628    
   12.00000       1135.000       33.68976    
   13.00000       1001.000       31.63858    
   14.00000       937.0000       30.61046    
   15.00000       886.0000       29.76575    
   16.00000       970.0000       31.14482    
   17.00000       1021.000       31.95309    
   18.00000       1191.000       34.51087    
   19.00000       2787.000       52.79205    
   20.00000       1460.000       38.20995    
   21.00000       1571.000       39.63584    
   22.00000       1634.000       40.42277    
   23.00000       1972.000       44.40721    
   24.00000       6162.000       78.49841    
   25.00000       11205.00       105.8537    
   26.00000       11836.00       108.7934    
   27.00000       12992.00       113.9825    
   28.00000       13386.00       115.6979    
   29.00000       13125.00       114.5644    
   30.00000       11512.00       107.2940    
   31.00000       11764.00       108.4620    
   32.00000       12776.00       113.0310    
   33.00000       13889.00       117.8516    
   34.00000       13559.00       116.4431    
   35.00000       13514.00       116.2497    
   36.00000       14758.00       121.4825    
   37.00000       14560.00       120.6648    
   38.00000       13589.00       116.5719    
   39.00000       12728.00       112.8184    
   40.00000       15071.00       122.7640    
   41.00000       14359.00       119.8290    
   42.00000       14350.00       119.7915    
   43.00000       15214.00       123.3450    
   44.00000       15434.00       124.2337    
   45.00000       15725.00       125.3994    
   46.00000       15144.00       123.0610    
   47.00000       15177.00       123.1950    
   48.00000       15083.00       122.8129    
   49.00000       16227.00       127.3852    
   50.00000       14019.00       118.4019    
   51.00000       15416.00       124.1612    
   52.00000       16968.00       130.2613    
   53.00000       16128.00       126.9961    
   54.00000       16503.00       128.4640    
   55.00000       16849.00       129.8037    
   56.00000       16906.00       130.0231    
   57.00000       16794.00       129.5917    
   58.00000       16563.00       128.6973    
   59.00000       14207.00       119.1931    
   60.00000       18101.00       134.5400    
   61.00000       19175.00       138.4738    
   62.00000       19832.00       140.8261    
   63.00000       19630.00       140.1071    
   64.00000       19745.00       140.5169    
   65.00000       19983.00       141.3612    
   66.00000       19886.00       141.0177    
   67.00000       19598.00       139.9929    
   68.00000       19161.00       138.4233    
   69.00000       21106.00       145.2790    
   70.00000       18707.00       136.7735    
   71.00000       18643.00       136.5394    
   72.00000       18786.00       137.0620    
   73.00000       19270.00       138.8164    
   74.00000       20763.00       144.0937    
   75.00000       18529.00       136.1213    
   76.00000       18354.00       135.4769    
