sample v-GeO2 750K                                           20-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12251.00       110.6842    
   1.000000       1325.000       36.40055    
   2.000000       1681.000       41.00000    
   3.000000       1983.000       44.53089    
   4.000000       2818.000       53.08484    
   5.000000       3893.000       62.39391    
   6.000000       4440.000       66.63332    
   7.000000       5427.000       73.66817    
   8.000000       5750.000       75.82876    
   9.000000       6122.000       78.24321    
   10.00000       5670.000       75.29940    
   11.00000       5452.000       73.83766    
   12.00000       5095.000       71.37927    
   13.00000       4443.000       66.65583    
   14.00000       4150.000       64.42049    
   15.00000       3850.000       62.04837    
   16.00000       4206.000       64.85368    
   17.00000       4412.000       66.42289    
   18.00000       5152.000       71.77744    
   19.00000       12393.00       111.3239    
   20.00000       6194.000       78.70197    
   21.00000       6582.000       81.12952    
   22.00000       7144.000       84.52219    
   23.00000       8075.000       89.86100    
   24.00000       24590.00       156.8120    
   25.00000       45238.00       212.6923    
   26.00000       49770.00       223.0919    
   27.00000       52605.00       229.3578    
   28.00000       54576.00       233.6151    
   29.00000       52718.00       229.6040    
   30.00000       47312.00       217.5132    
   31.00000       47248.00       217.3660    
   32.00000       52972.00       230.1565    
   33.00000       57229.00       239.2258    
   34.00000       55122.00       234.7807    
   35.00000       54254.00       232.9249    
   36.00000       59625.00       244.1823    
   37.00000       58721.00       242.3242    
   38.00000       56258.00       237.1877    
   39.00000       53357.00       230.9913    
   40.00000       60969.00       246.9190    
   41.00000       58642.00       242.1611    
   42.00000       59548.00       244.0246    
   43.00000       60781.00       246.5380    
   44.00000       62226.00       249.4514    
   45.00000       63787.00       252.5609    
   46.00000       62329.00       249.6578    
   47.00000       61150.00       247.2853    
   48.00000       62000.00       248.9980    
   49.00000       65463.00       255.8574    
   50.00000       60148.00       245.2509    
   51.00000       64236.00       253.4482    
   52.00000       71216.00       266.8633    
   53.00000       69073.00       262.8174    
   54.00000       72298.00       268.8829    
   55.00000       73264.00       270.6732    
   56.00000       75289.00       274.3884    
   57.00000       76066.00       275.8007    
   58.00000       77756.00       278.8476    
   59.00000       70425.00       265.3771    
   60.00000       84159.00       290.1017    
   61.00000       86478.00       294.0714    
   62.00000       94409.00       307.2605    
   63.00000       94133.00       306.8110    
   64.00000       95327.00       308.7507    
   65.00000       96886.00       311.2652    
   66.00000       95892.00       309.6643    
   67.00000       93176.00       305.2474    
   68.00000       91590.00       302.6384    
   69.00000       98721.00       314.1990    
   70.00000       89763.00       299.6047    
   71.00000       86558.00       294.2074    
   72.00000       87169.00       295.2440    
   73.00000       83740.00       289.3786    
   74.00000       86617.00       294.3076    
   75.00000       81256.00       285.0544    
   76.00000       81876.00       286.1398    
