Empty fournace                                               25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   78.00000       6518.000       80.73413    
   79.00000       5639.000       75.09328    
   80.00000       7184.000       84.75848    
   81.00000       7111.000       84.32674    
   82.00000       7282.000       85.33463    
   83.00000       7338.000       85.66212    
   84.00000       7416.000       86.11620    
   85.00000       7452.000       86.32497    
   86.00000       7060.000       84.02380    
   87.00000       7427.000       86.18005    
   88.00000       7572.000       87.01724    
   89.00000       7874.000       88.73557    
   90.00000       6921.000       83.19255    
   91.00000       7180.000       84.73488    
   92.00000       7418.000       86.12782    
   93.00000       7062.000       84.03571    
   94.00000       7266.000       85.24084    
   95.00000       7169.000       84.66994    
   96.00000       7224.000       84.99412    
   97.00000       7495.000       86.57367    
   98.00000       7395.000       85.99419    
   99.00000       6539.000       80.86408    
   100.0000       6738.000       82.08532    
   101.0000       7120.000       84.38009    
   102.0000       7222.000       84.98235    
   103.0000       7491.000       86.55056    
   104.0000       7389.000       85.95929    
   105.0000       7682.000       87.64702    
   106.0000       7427.000       86.18005    
   107.0000       7516.000       86.69487    
   108.0000       7595.000       87.14930    
   109.0000       8254.000       90.85152    
   110.0000       7683.000       87.65273    
   111.0000       7631.000       87.35560    
   112.0000       7867.000       88.69611    
   113.0000       7479.000       86.48121    
   114.0000       7637.000       87.38993    
   115.0000       7510.000       86.66026    
   116.0000       7665.000       87.54999    
   117.0000       7221.000       84.97647    
   118.0000       6934.000       83.27065    
   119.0000       6019.000       77.58221    
   120.0000       7926.000       89.02808    
   121.0000       7238.000       85.07644    
   122.0000       7837.000       88.52683    
   123.0000       7902.000       88.89320    
   124.0000       7454.000       86.33655    
   125.0000       7633.000       87.36704    
   126.0000       7798.000       88.30628    
   127.0000       7855.000       88.62844    
   128.0000       7343.000       85.69131    
   129.0000       7994.000       89.40917    
   130.0000       7240.000       85.08819    
   131.0000       7458.000       86.35971    
   132.0000       7808.000       88.36288    
   133.0000       7503.000       86.61986    
   134.0000       7521.000       86.72370    
   135.0000       7375.000       85.87782    
   136.0000       7602.000       87.18945    
   137.0000       7708.000       87.79522    
   138.0000       7193.000       84.81155    
   139.0000       7701.000       87.75534    
   140.0000       7199.000       84.84692    
   141.0000       7288.000       85.36978    
   142.0000       7431.000       86.20325    
   143.0000       7865.000       88.68484    
   144.0000       7710.000       87.80660    
   145.0000       7575.000       87.03448    
   146.0000       7467.000       86.41180    
   147.0000       7842.000       88.55507    
   148.0000       7679.000       87.62991    
   149.0000       7894.000       88.84818    
   150.0000       7238.000       85.07644    
   151.0000       7538.000       86.82166    
   152.0000       7662.000       87.53285    
   153.0000       7531.000       86.78133    
   154.0000       7562.000       86.95976    
   155.0000       7215.000       84.94115    
   156.0000       7644.000       87.42997    
   157.0000       7668.000       87.56712    
   158.0000       7010.000       83.72575    
   159.0000       5068.000       71.18989    
   160.0000       8040.000       89.66605    
   161.0000       7807.000       88.35723    
   162.0000       7852.000       88.61151    
   163.0000       7732.000       87.93179    
   164.0000       7769.000       88.14193    
   165.0000       7706.000       87.78383    
   166.0000       7779.000       88.19864    
   167.0000       7937.000       89.08984    
   168.0000       7464.000       86.39445    
   169.0000       8154.000       90.29950    
   170.0000       7213.000       84.92938    
   171.0000       7365.000       85.81958    
   172.0000       7576.000       87.04022    
   173.0000       7226.000       85.00588    
   174.0000       6983.000       83.56435    
   175.0000       7345.000       85.70297    
   176.0000       7808.000       88.36288    
   177.0000       7387.000       85.94765    
   178.0000       7002.000       83.67796    
   179.0000       6925.000       83.21658    
   180.0000       7643.000       87.42426    
   181.0000       7591.000       87.12634    
   182.0000       7690.000       87.69264    
   183.0000       7878.000       88.75809    
   184.0000       7805.000       88.34591    
