sample v-GeO2 1400K x4                                       25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1024.000       32.00000    
   1.000000       142.0000       11.91638    
   2.000000       144.0000       12.00000    
   3.000000       177.0000       13.30413    
   4.000000       285.0000       16.88194    
   5.000000       382.0000       19.54482    
   6.000000       433.0000       20.80865    
   7.000000       549.0000       23.43075    
   8.000000       538.0000       23.19483    
   9.000000       537.0000       23.17326    
   10.00000       489.0000       22.11334    
   11.00000       477.0000       21.84033    
   12.00000       450.0000       21.21320    
   13.00000       421.0000       20.51828    
   14.00000       414.0000       20.34699    
   15.00000       379.0000       19.46792    
   16.00000       385.0000       19.62142    
   17.00000       450.0000       21.21320    
   18.00000       461.0000       21.47091    
   19.00000       1124.000       33.52611    
   20.00000       564.0000       23.74868    
   21.00000       637.0000       25.23886    
   22.00000       632.0000       25.13961    
   23.00000       761.0000       27.58623    
   24.00000       2509.000       50.08992    
   25.00000       4381.000       66.18913    
   26.00000       4809.000       69.34695    
   27.00000       5315.000       72.90405    
   28.00000       5353.000       73.16420    
   29.00000       5327.000       72.98630    
   30.00000       4618.000       67.95587    
   31.00000       4788.000       69.19537    
   32.00000       5236.000       72.36021    
   33.00000       5663.000       75.25291    
   34.00000       5564.000       74.59222    
   35.00000       5376.000       73.32121    
   36.00000       5929.000       77.00000    
   37.00000       5848.000       76.47221    
   38.00000       5490.000       74.09454    
   39.00000       5020.000       70.85196    
   40.00000       6034.000       77.67883    
   41.00000       5933.000       77.02597    
   42.00000       5851.000       76.49183    
   43.00000       6144.000       78.38367    
   44.00000       6240.000       78.99367    
   45.00000       6358.000       79.73707    
   46.00000       6007.000       77.50484    
   47.00000       6139.000       78.35177    
   48.00000       6020.000       77.58866    
   49.00000       6492.000       80.57294    
   50.00000       5650.000       75.16648    
   51.00000       6213.000       78.82259    
   52.00000       6802.000       82.47424    
   53.00000       6545.000       80.90118    
   54.00000       6703.000       81.87185    
   55.00000       6862.000       82.83719    
   56.00000       6834.000       82.66801    
   57.00000       6741.000       82.10359    
   58.00000       6562.000       81.00617    
   59.00000       5679.000       75.35914    
   60.00000       7212.000       84.92349    
   61.00000       7689.000       87.68694    
   62.00000       7804.000       88.34025    
   63.00000       7788.000       88.24965    
   64.00000       7786.000       88.23831    
   65.00000       7960.000       89.21883    
   66.00000       7902.000       88.89320    
   67.00000       7752.000       88.04544    
   68.00000       7413.000       86.09878    
   69.00000       8682.000       93.17725    
   70.00000       7500.000       86.60254    
   71.00000       7367.000       85.83123    
   72.00000       7490.000       86.54478    
   73.00000       7403.000       86.04069    
   74.00000       7805.000       88.34591    
   75.00000       7413.000       86.09878    
   76.00000       7689.000       87.68694    
