sample v-GeO2 350K                                           18-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       99466.00       315.3823    
   185.0000       98702.00       314.1687    
   186.0000       96456.00       310.5737    
   187.0000       93713.00       306.1258    
   188.0000       91749.00       302.9010    
   189.0000       95381.00       308.8381    
   190.0000       87955.00       296.5721    
   191.0000       86198.00       293.5950    
   192.0000       87568.00       295.9189    
   193.0000       83710.00       289.3268    
   194.0000       84695.00       291.0240    
   195.0000       82470.00       287.1759    
   196.0000       82319.00       286.9129    
   197.0000       81149.00       284.8666    
   198.0000       81641.00       285.7289    
   199.0000       80955.00       284.5259    
   200.0000       75616.00       274.9836    
   201.0000       75410.00       274.6088    
   202.0000       79087.00       281.2241    
   203.0000       78533.00       280.2374    
   204.0000       77940.00       279.1774    
   205.0000       76747.00       277.0325    
   206.0000       76910.00       277.3265    
   207.0000       78798.00       280.7098    
   208.0000       76565.00       276.7038    
   209.0000       79946.00       282.7472    
   210.0000       73038.00       270.2554    
   211.0000       73885.00       271.8180    
   212.0000       79818.00       282.5208    
   213.0000       76665.00       276.8845    
   214.0000       77426.00       278.2553    
   215.0000       73217.00       270.5864    
   216.0000       77538.00       278.4565    
   217.0000       77072.00       277.6184    
   218.0000       74138.00       272.2829    
   219.0000       71490.00       267.3761    
   220.0000       81388.00       285.2858    
   221.0000       74662.00       273.2435    
   222.0000       77188.00       277.8273    
   223.0000       77031.00       277.5446    
   224.0000       76818.00       277.1606    
   225.0000       75400.00       274.5906    
   226.0000       77690.00       278.7292    
   227.0000       78313.00       279.8446    
   228.0000       76740.00       277.0199    
   229.0000       80236.00       283.2596    
   230.0000       73973.00       271.9798    
   231.0000       74526.00       272.9945    
   232.0000       78215.00       279.6694    
   233.0000       77119.00       277.7031    
   234.0000       77357.00       278.1313    
   235.0000       75583.00       274.9236    
   236.0000       78605.00       280.3658    
   237.0000       76614.00       276.7923    
   238.0000       76839.00       277.1985    
   239.0000       70310.00       265.1603    
   240.0000       80872.00       284.3800    
   241.0000       78127.00       279.5121    
   242.0000       82449.00       287.1393    
   243.0000       77899.00       279.1039    
   244.0000       79341.00       281.6754    
   245.0000       82195.00       286.6967    
   246.0000       80989.00       284.5857    
   247.0000       81266.00       285.0719    
   248.0000       79125.00       281.2917    
   249.0000       83829.00       289.5324    
   250.0000       79555.00       282.0550    
   251.0000       80005.00       282.8516    
   252.0000       83255.00       288.5394    
   253.0000       81034.00       284.6647    
   254.0000       83657.00       289.2352    
   255.0000       80663.00       284.0123    
   256.0000       84128.00       290.0483    
   257.0000       82382.00       287.0226    
   258.0000       80199.00       283.1943    
   259.0000       75027.00       273.9106    
   260.0000       86514.00       294.1326    
   261.0000       86484.00       294.0816    
   262.0000       84918.00       291.4069    
   263.0000       85222.00       291.9281    
   264.0000       86263.00       293.7056    
   265.0000       86349.00       293.8520    
   266.0000       88286.00       297.1296    
   267.0000       90499.00       300.8305    
   268.0000       86513.00       294.1309    
   269.0000       91890.00       303.1336    
   270.0000       85971.00       293.2081    
   271.0000       83273.00       288.5706    
   272.0000       89206.00       298.6737    
   273.0000       87453.00       295.7245    
   274.0000       87844.00       296.3849    
   275.0000       84811.00       291.2233    
   276.0000       89047.00       298.4074    
   277.0000       85626.00       292.6192    
   278.0000       84046.00       289.9069    
   279.0000       73515.00       271.1365    
   280.0000       88624.00       297.6978    
   281.0000       85804.00       292.9232    
   282.0000       87218.00       295.3269    
   283.0000       85964.00       293.1962    
   284.0000       86122.00       293.4655    
   285.0000       86550.00       294.1938    
   286.0000       86567.00       294.2227    
   287.0000       87342.00       295.5368    
   288.0000       84364.00       290.4548    
   289.0000       89062.00       298.4326    
   290.0000       83918.00       289.6860    
   291.0000       83484.00       288.9360    
   292.0000       86325.00       293.8112    
   293.0000       83585.00       289.1107    
   294.0000       83947.00       289.7361    
   295.0000       83511.00       288.9827    
   296.0000       86639.00       294.3450    
   297.0000       82998.00       288.0938    
   298.0000       81514.00       285.5066    
   299.0000       81202.00       284.9597    
   300.0000       88048.00       296.7288    
   301.0000       83463.00       288.8996    
   302.0000       85236.00       291.9521    
   303.0000       83921.00       289.6912    
   304.0000       83833.00       289.5393    
   305.0000       84535.00       290.7490    
   306.0000       85202.00       291.8938    
   307.0000       83101.00       288.2724    
   308.0000       82939.00       287.9913    
   309.0000       88296.00       297.1464    
   310.0000       82403.00       287.0592    
   311.0000       83272.00       288.5689    
   312.0000       86492.00       294.0952    
   313.0000       82572.00       287.3535    
   314.0000       84779.00       291.1683    
   315.0000       81245.00       285.0351    
   316.0000       84119.00       290.0327    
   317.0000       85012.00       291.5682    
   318.0000       82112.00       286.5519    
   319.0000       77225.00       277.8939    
   320.0000       77398.00       278.2050    
   321.0000       81140.00       284.8508    
   322.0000       84276.00       290.3033    
   323.0000       82383.00       287.0244    
   324.0000       82699.00       287.5743    
   325.0000       82586.00       287.3778    
   326.0000       82539.00       287.2960    
   327.0000       80602.00       283.9049    
   328.0000       78761.00       280.6439    
   329.0000       83911.00       289.6740    
   330.0000       78751.00       280.6261    
   331.0000       78118.00       279.4960    
   332.0000       81815.00       286.0332    
   333.0000       77277.00       277.9874    
   334.0000       79570.00       282.0815    
   335.0000       77364.00       278.1439    
   336.0000       78472.00       280.1285    
   337.0000       78460.00       280.1071    
   338.0000       78257.00       279.7445    
   339.0000       77316.00       278.0576    
   340.0000       82309.00       286.8954    
   341.0000       77944.00       279.1845    
   342.0000       80726.00       284.1232    
   343.0000       80649.00       283.9877    
   344.0000       82513.00       287.2508    
   345.0000       83597.00       289.1315    
   346.0000       80972.00       284.5558    
   347.0000       79950.00       282.7543    
   348.0000       80231.00       283.2508    
   349.0000       83977.00       289.7878    
   350.0000       77993.00       279.2723    
   351.0000       78916.00       280.9199    
   352.0000       81708.00       285.8461    
   353.0000       78097.00       279.4584    
   354.0000       79331.00       281.6576    
   355.0000       78424.00       280.0428    
