sample v-GeO2 850K			21-11-07  2000.000K
   184.0000       97358.00       312.0224    
   185.0000       97693.00       312.5588    
   186.0000       94020.00       306.6268    
   187.0000       93173.00       305.2425    
   188.0000       90008.00       300.0133    
   189.0000       93960.00       306.5290    
   190.0000       86001.00       293.2593    
   191.0000       85487.00       292.3816    
   192.0000       86593.00       294.2669    
   193.0000       82821.00       287.7864    
   194.0000       82306.00       286.8902    
   195.0000       82699.00       287.5743    
   196.0000       81173.00       284.9088    
   197.0000       80610.00       283.9190    
   198.0000       79480.00       281.9220    
   199.0000       81532.00       285.5381    
   200.0000       74884.00       273.6494    
   201.0000       74808.00       273.5105    
   202.0000       78599.00       280.3551    
   203.0000       79104.00       281.2543    
   204.0000       77769.00       278.8709    
   205.0000       76706.00       276.9585    
   206.0000       75946.00       275.5830    
   207.0000       80121.00       283.0565    
   208.0000       75623.00       274.9964    
   209.0000       79715.00       282.3384    
   210.0000       71135.00       266.7115    
   211.0000       74482.00       272.9139    
   212.0000       80117.00       283.0495    
   213.0000       76590.00       276.7490    
   214.0000       75734.00       275.1981    
   215.0000       74674.00       273.2654    
   216.0000       76639.00       276.8375    
   217.0000       77265.00       277.9658    
   218.0000       73207.00       270.5679    
   219.0000       70924.00       266.3156    
   220.0000       80969.00       284.5505    
   221.0000       75318.00       274.4413    
   222.0000       75892.00       275.4850    
   223.0000       77494.00       278.3774    
   224.0000       76216.00       276.0724    
   225.0000       76089.00       275.8423    
   226.0000       76264.00       276.1594    
   227.0000       78683.00       280.5049    
   228.0000       77016.00       277.5176    
   229.0000       81590.00       285.6396    
   230.0000       72578.00       269.4030    
   231.0000       74523.00       272.9890    
   232.0000       77923.00       279.1469    
   233.0000       76672.00       276.8971    
   234.0000       76255.00       276.1431    
   235.0000       76944.00       277.3878    
   236.0000       78486.00       280.1535    
   237.0000       76305.00       276.2336    
   238.0000       75661.00       275.0655    
   239.0000       69344.00       263.3325    
   240.0000       80927.00       284.4767    
   241.0000       78064.00       279.3994    
   242.0000       81477.00       285.4418    
   243.0000       79847.00       282.5721    
   244.0000       78925.00       280.9359    
   245.0000       82255.00       286.8013    
   246.0000       80040.00       282.9134    
   247.0000       82062.00       286.4647    
   248.0000       78950.00       280.9804    
   249.0000       84472.00       290.6407    
   250.0000       77965.00       279.2221    
   251.0000       80628.00       283.9507    
   252.0000       82984.00       288.0694    
   253.0000       80414.00       283.5736    
   254.0000       82111.00       286.5502    
   255.0000       80462.00       283.6582    
   256.0000       82707.00       287.5883    
   257.0000       81872.00       286.1328    
   258.0000       78153.00       279.5586    
   259.0000       72167.00       268.6392    
   260.0000       86306.00       293.7788    
   261.0000       84999.00       291.5459    
   262.0000       83645.00       289.2144    
   263.0000       84506.00       290.6992    
   264.0000       85145.00       291.7962    
   265.0000       84994.00       291.5373    
   266.0000       86008.00       293.2712    
   267.0000       90267.00       300.4447    
   268.0000       86149.00       293.5115    
   269.0000       92213.00       303.6659    
   270.0000       83521.00       289.0000    
   271.0000       83251.00       288.5325    
   272.0000       88065.00       296.7575    
   273.0000       85913.00       293.1092    
   274.0000       85320.00       292.0959    
   275.0000       85386.00       292.2088    
   276.0000       87001.00       294.9593    
   277.0000       85076.00       291.6779    
   278.0000       82718.00       287.6074    
   279.0000       72453.00       269.1710    
   280.0000       87403.00       295.6400    
   281.0000       85373.00       292.1866    
   282.0000       86584.00       294.2516    
   283.0000       87932.00       296.5333    
   284.0000       85728.00       292.7935    
   285.0000       85906.00       293.0973    
   286.0000       86039.00       293.3241    
   287.0000       87916.00       296.5063    
   288.0000       84022.00       289.8655    
   289.0000       89875.00       299.7916    
   290.0000       82606.00       287.4126    
   291.0000       83891.00       289.6394    
   292.0000       86140.00       293.4962    
   293.0000       83241.00       288.5152    
   294.0000       83416.00       288.8183    
   295.0000       84250.00       290.2585    
   296.0000       85740.00       292.8139    
   297.0000       82953.00       288.0156    
   298.0000       79689.00       282.2924    
   299.0000       81163.00       284.8912    
   300.0000       87853.00       296.4001    
   301.0000       83385.00       288.7646    
   302.0000       84139.00       290.0672    
   303.0000       84450.00       290.6028    
   304.0000       82908.00       287.9375    
   305.0000       84353.00       290.4359    
   306.0000       83845.00       289.5600    
   307.0000       83293.00       288.6053    
   308.0000       82460.00       287.1585    
   309.0000       88347.00       297.2322    
   310.0000       80053.00       282.9364    
   311.0000       83857.00       289.5807    
   312.0000       85862.00       293.0222    
   313.0000       81717.00       285.8618    
   314.0000       82719.00       287.6091    
   315.0000       80928.00       284.4785    
   316.0000       81741.00       285.9038    
   317.0000       84154.00       290.0931    
   318.0000       80080.00       282.9841    
