sample v-GeO2 1400K                                          23-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10579.00       102.8543    
   1.000000       1343.000       36.64697    
   2.000000       1526.000       39.06405    
   3.000000       1869.000       43.23193    
   4.000000       2754.000       52.47857    
   5.000000       3786.000       61.53048    
   6.000000       4386.000       66.22688    
   7.000000       5395.000       73.45066    
   8.000000       5313.000       72.89033    
   9.000000       5500.000       74.16199    
   10.00000       5133.000       71.64496    
   11.00000       5183.000       71.99306    
   12.00000       4656.000       68.23489    
   13.00000       4193.000       64.75338    
   14.00000       3807.000       61.70089    
   15.00000       3709.000       60.90156    
   16.00000       3986.000       63.13478    
   17.00000       4290.000       65.49809    
   18.00000       4725.000       68.73863    
   19.00000       11189.00       105.7781    
   20.00000       5856.000       76.52451    
   21.00000       6296.000       79.34734    
   22.00000       6653.000       81.56593    
   23.00000       7834.000       88.50989    
   24.00000       24827.00       157.5659    
   25.00000       43849.00       209.4015    
   26.00000       47990.00       219.0662    
   27.00000       51959.00       227.9452    
   28.00000       53409.00       231.1039    
   29.00000       52788.00       229.7564    
   30.00000       44688.00       211.3954    
   31.00000       46657.00       216.0023    
   32.00000       52178.00       228.4250    
   33.00000       55621.00       235.8410    
   34.00000       53956.00       232.2843    
   35.00000       53709.00       231.7520    
   36.00000       58878.00       242.6479    
   37.00000       58147.00       241.1369    
   38.00000       54639.00       233.7499    
   39.00000       52111.00       228.2783    
   40.00000       60170.00       245.2957    
   41.00000       58296.00       241.4456    
   42.00000       58712.00       242.3056    
   43.00000       61283.00       247.5540    
   44.00000       62037.00       249.0723    
   45.00000       63337.00       251.6684    
   46.00000       60726.00       246.4265    
   47.00000       60884.00       246.7468    
   48.00000       60459.00       245.8841    
   49.00000       65461.00       255.8535    
   50.00000       57103.00       238.9623    
   51.00000       61395.00       247.7802    
   52.00000       68366.00       261.4689    
   53.00000       66320.00       257.5267    
   54.00000       67379.00       259.5746    
   55.00000       69302.00       263.2527    
   56.00000       69512.00       263.6513    
   57.00000       69672.00       263.9545    
   58.00000       68371.00       261.4785    
   59.00000       58795.00       242.4768    
   60.00000       73201.00       270.5568    
   61.00000       75196.00       274.2189    
   62.00000       80007.00       282.8551    
   63.00000       80845.00       284.3326    
   64.00000       79973.00       282.7950    
   65.00000       81815.00       286.0332    
   66.00000       80223.00       283.2367    
   67.00000       79478.00       281.9184    
   68.00000       77480.00       278.3523    
   69.00000       84582.00       290.8298    
   70.00000       75780.00       275.2817    
   71.00000       75243.00       274.3046    
   72.00000       75552.00       274.8672    
   73.00000       74657.00       273.2343    
   74.00000       77384.00       278.1798    
   75.00000       73675.00       271.4314    
   76.00000       74127.00       272.2627    
