sample v-GeO2 800K                                           20-11-07   526.317K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   3234.000       56.86827    
   1.000000       364.0000       19.07878    
   2.000000       393.0000       19.82423    
   3.000000       556.0000       23.57965    
   4.000000       742.0000       27.23968    
   5.000000       1020.000       31.93744    
   6.000000       1222.000       34.95712    
   7.000000       1399.000       37.40321    
   8.000000       1499.000       38.71692    
   9.000000       1587.000       39.83717    
   10.00000       1474.000       38.39271    
   11.00000       1376.000       37.09447    
   12.00000       1339.000       36.59235    
   13.00000       1095.000       33.09079    
   14.00000       1108.000       33.28663    
   15.00000       1098.000       33.13608    
   16.00000       1168.000       34.17601    
   17.00000       1215.000       34.85685    
   18.00000       1338.000       36.57868    
   19.00000       3096.000       55.64171    
   20.00000       1651.000       40.63250    
   21.00000       1732.000       41.61731    
   22.00000       1812.000       42.56759    
   23.00000       2204.000       46.94678    
   24.00000       6735.000       82.06705    
   25.00000       11887.00       109.0275    
   26.00000       13318.00       115.4036    
   27.00000       13861.00       117.7327    
   28.00000       14089.00       118.6971    
   29.00000       13926.00       118.0085    
   30.00000       12351.00       111.1351    
   31.00000       12511.00       111.8526    
   32.00000       13837.00       117.6308    
   33.00000       14731.00       121.3713    
   34.00000       14582.00       120.7560    
   35.00000       14027.00       118.4356    
   36.00000       15681.00       125.2238    
   37.00000       15437.00       124.2457    
   38.00000       14845.00       121.8401    
   39.00000       13707.00       117.0769    
   40.00000       15897.00       126.0833    
   41.00000       15509.00       124.5351    
   42.00000       15733.00       125.4313    
   43.00000       16047.00       126.6768    
   44.00000       16381.00       127.9883    
   45.00000       16956.00       130.2152    
   46.00000       16605.00       128.8604    
   47.00000       16143.00       127.0551    
   48.00000       16105.00       126.9055    
   49.00000       17147.00       130.9465    
   50.00000       16048.00       126.6807    
   51.00000       16708.00       129.2594    
   52.00000       18703.00       136.7589    
   53.00000       18264.00       135.1444    
   54.00000       18898.00       137.4700    
   55.00000       19202.00       138.5713    
   56.00000       19612.00       140.0428    
   57.00000       19929.00       141.1701    
   58.00000       20334.00       142.5973    
   59.00000       17931.00       133.9067    
   60.00000       22270.00       149.2314    
   61.00000       22788.00       150.9570    
   62.00000       25199.00       158.7419    
   63.00000       25050.00       158.2719    
   64.00000       25498.00       159.6809    
   65.00000       25807.00       160.6456    
   66.00000       25351.00       159.2200    
   67.00000       24626.00       156.9267    
   68.00000       23960.00       154.7902    
   69.00000       25985.00       161.1986    
   70.00000       23495.00       153.2808    
   71.00000       22795.00       150.9801    
   72.00000       22969.00       151.5553    
   73.00000       22111.00       148.6977    
   74.00000       22818.00       151.0563    
   75.00000       21508.00       146.6561    
   76.00000       21277.00       145.8664    
