sample v-GeO2 900K                 21-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12730.00       112.8273    
   1.000000       2063.000       45.42026    
   2.000000       2285.000       47.80167    
   3.000000       2564.000       50.63596    
   4.000000       3618.000       60.14981    
   5.000000       4510.000       67.15653    
   6.000000       5200.000       72.11102    
   7.000000       6254.000       79.08224    
   8.000000       6393.000       79.95624    
   9.000000       6789.000       82.39539    
   10.00000       6073.000       77.92946    
   11.00000       6075.000       77.94228    
   12.00000       5598.000       74.81979    
   13.00000       4876.000       69.82836    
   14.00000       4707.000       68.60758    
   15.00000       4654.000       68.22023    
   16.00000       4986.000       70.61161    
   17.00000       5252.000       72.47068    
   18.00000       5836.000       76.39371    
   19.00000       12709.00       112.7342    
   20.00000       6841.000       82.71033    
   21.00000       7384.000       85.93021    
   22.00000       7740.000       87.97727    
   23.00000       8908.000       94.38220    
   24.00000       25859.00       160.8073    
   25.00000       45743.00       213.8761    
   26.00000       50324.00       224.3301    
   27.00000       54410.00       233.2595    
   28.00000       55729.00       236.0699    
   29.00000       54382.00       233.1995    
   30.00000       47341.00       217.5799    
   31.00000       48474.00       220.1681    
   32.00000       54040.00       232.4651    
   33.00000       57968.00       240.7654    
   34.00000       56144.00       236.9473    
   35.00000       55602.00       235.8008    
   36.00000       60621.00       246.2133    
   37.00000       60008.00       244.9653    
   38.00000       57095.00       238.9456    
   39.00000       54804.00       234.1025    
   40.00000       62719.00       250.4376    
   41.00000       60170.00       245.2957    
   42.00000       61167.00       247.3196    
   43.00000       63025.00       251.0478    
   44.00000       63649.00       252.2875    
   45.00000       65352.00       255.6404    
   46.00000       63282.00       251.5591    
   47.00000       64197.00       253.3713    
   48.00000       63422.00       251.8372    
   49.00000       67692.00       260.1768    
   50.00000       60555.00       246.0793    
   51.00000       65370.00       255.6756    
   52.00000       72562.00       269.3734    
   53.00000       70744.00       265.9774    
   54.00000       72378.00       269.0316    
   55.00000       75312.00       274.4303    
   56.00000       76013.00       275.7046    
   57.00000       78042.00       279.3600    
   58.00000       77816.00       278.9552    
   59.00000       70373.00       265.2791    
   60.00000       85501.00       292.4055    
   61.00000       87749.00       296.2246    
   62.00000       93177.00       305.2491    
   63.00000       95026.00       308.2629    
   64.00000       95455.00       308.9579    
   65.00000       96968.00       311.3969    
   66.00000       94969.00       308.1704    
   67.00000       94610.00       307.5874    
   68.00000       90287.00       300.4780    
   69.00000       99155.00       314.8889    
   70.00000       88527.00       297.5349    
   71.00000       86844.00       294.6931    
   72.00000       86691.00       294.4333    
   73.00000       84482.00       290.6579    
   74.00000       86215.00       293.6239    
   75.00000       82120.00       286.5659    
   76.00000       81668.00       285.7761    
