empty can 800K cell                                          16-11-07    37.707K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       926.0000       30.43025    
   185.0000       925.0000       30.41381    
   186.0000       899.0000       29.98333    
   187.0000       985.0000       31.38471    
   188.0000       897.0000       29.94996    
   189.0000       952.0000       30.85450    
   190.0000       894.0000       29.89983    
   191.0000       865.0000       29.41088    
   192.0000       885.0000       29.74895    
   193.0000       858.0000       29.29164    
   194.0000       899.0000       29.98333    
   195.0000       860.0000       29.32576    
   196.0000       904.0000       30.06659    
   197.0000       891.0000       29.84962    
   198.0000       855.0000       29.24038    
   199.0000       929.0000       30.47950    
   200.0000       850.0000       29.15476    
   201.0000       817.0000       28.58321    
   202.0000       862.0000       29.35984    
   203.0000       964.0000       31.04835    
   204.0000       905.0000       30.08322    
   205.0000       853.0000       29.20616    
   206.0000       871.0000       29.51271    
   207.0000       925.0000       30.41381    
   208.0000       885.0000       29.74895    
   209.0000       899.0000       29.98333    
   210.0000       814.0000       28.53069    
   211.0000       882.0000       29.69848    
   212.0000       926.0000       30.43025    
   213.0000       870.0000       29.49576    
   214.0000       831.0000       28.82707    
   215.0000       870.0000       29.49576    
   216.0000       879.0000       29.64793    
   217.0000       833.0000       28.86174    
   218.0000       811.0000       28.47806    
   219.0000       872.0000       29.52965    
   220.0000       862.0000       29.35984    
   221.0000       793.0000       28.16026    
   222.0000       868.0000       29.46184    
   223.0000       903.0000       30.04996    
   224.0000       857.0000       29.27456    
   225.0000       864.0000       29.39388    
   226.0000       880.0000       29.66479    
   227.0000       852.0000       29.18904    
   228.0000       853.0000       29.20616    
   229.0000       872.0000       29.52965    
   230.0000       840.0000       28.98275    
   231.0000       867.0000       29.44486    
   232.0000       914.0000       30.23243    
   233.0000       902.0000       30.03332    
   234.0000       871.0000       29.51271    
   235.0000       886.0000       29.76575    
   236.0000       889.0000       29.81610    
   237.0000       825.0000       28.72281    
   238.0000       896.0000       29.93326    
   239.0000       774.0000       27.82086    
   240.0000       954.0000       30.88689    
   241.0000       807.0000       28.40775    
   242.0000       920.0000       30.33150    
   243.0000       883.0000       29.71532    
   244.0000       791.0000       28.12472    
   245.0000       964.0000       31.04835    
   246.0000       860.0000       29.32576    
   247.0000       915.0000       30.24897    
   248.0000       918.0000       30.29852    
   249.0000       837.0000       28.93095    
   250.0000       831.0000       28.82707    
   251.0000       846.0000       29.08608    
   252.0000       917.0000       30.28201    
   253.0000       839.0000       28.96550    
   254.0000       904.0000       30.06659    
   255.0000       887.0000       29.78255    
   256.0000       896.0000       29.93326    
   257.0000       803.0000       28.33726    
   258.0000       806.0000       28.39014    
   259.0000       811.0000       28.47806    
   260.0000       863.0000       29.37686    
   261.0000       914.0000       30.23243    
   262.0000       877.0000       29.61419    
   263.0000       843.0000       29.03446    
   264.0000       879.0000       29.64793    
   265.0000       879.0000       29.64793    
   266.0000       871.0000       29.51271    
   267.0000       909.0000       30.14963    
   268.0000       851.0000       29.17190    
   269.0000       893.0000       29.88311    
   270.0000       818.0000       28.60070    
   271.0000       812.0000       28.49561    
   272.0000       919.0000       30.31501    
   273.0000       859.0000       29.30870    
   274.0000       823.0000       28.68798    
   275.0000       797.0000       28.23119    
   276.0000       852.0000       29.18904    
   277.0000       797.0000       28.23119    
   278.0000       855.0000       29.24038    
   279.0000       637.0000       25.23886    
   280.0000       889.0000       29.81610    
   281.0000       834.0000       28.87906    
   282.0000       832.0000       28.84441    
   283.0000       892.0000       29.86637    
   284.0000       875.0000       29.58040    
   285.0000       800.0000       28.28427    
   286.0000       859.0000       29.30870    
   287.0000       842.0000       29.01724    
   288.0000       823.0000       28.68798    
   289.0000       886.0000       29.76575    
   290.0000       841.0000       29.00000    
   291.0000       799.0000       28.26659    
   292.0000       889.0000       29.81610    
   293.0000       804.0000       28.35489    
   294.0000       836.0000       28.91366    
   295.0000       871.0000       29.51271    
   296.0000       866.0000       29.42788    
   297.0000       792.0000       28.14249    
   298.0000       813.0000       28.51315    
   299.0000       821.0000       28.65310    
   300.0000       864.0000       29.39388    
   301.0000       825.0000       28.72281    
   302.0000       779.0000       27.91057    
   303.0000       794.0000       28.17801    
   304.0000       845.0000       29.06888    
   305.0000       768.0000       27.71281    
   306.0000       835.0000       28.89637    
   307.0000       806.0000       28.39014    
   308.0000       828.0000       28.77499    
   309.0000       841.0000       29.00000    
   310.0000       787.0000       28.05352    
   311.0000       846.0000       29.08608    
   312.0000       875.0000       29.58040    
   313.0000       818.0000       28.60070    
   314.0000       867.0000       29.44486    
