sample v-GeO2 1000K                                          22-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       97465.00       312.1938    
   185.0000       97498.00       312.2467    
   186.0000       92602.00       304.3058    
   187.0000       92611.00       304.3206    
   188.0000       89123.00       298.5348    
   189.0000       93678.00       306.0686    
   190.0000       85247.00       291.9709    
   191.0000       85301.00       292.0634    
   192.0000       85771.00       292.8669    
   193.0000       83023.00       288.1371    
   194.0000       82327.00       286.9268    
   195.0000       82434.00       287.1132    
   196.0000       80814.00       284.2780    
   197.0000       80550.00       283.8133    
   198.0000       79862.00       282.5987    
   199.0000       80853.00       284.3466    
   200.0000       74995.00       273.8521    
   201.0000       75065.00       273.9799    
   202.0000       77596.00       278.5606    
   203.0000       79183.00       281.3947    
   204.0000       77246.00       277.9316    
   205.0000       76637.00       276.8339    
   206.0000       76610.00       276.7851    
   207.0000       79851.00       282.5792    
   208.0000       76566.00       276.7056    
   209.0000       80209.00       283.2119    
   210.0000       71769.00       267.8974    
   211.0000       74422.00       272.8040    
   212.0000       78833.00       280.7722    
   213.0000       76536.00       276.6514    
   214.0000       75257.00       274.3301    
   215.0000       74248.00       272.4849    
   216.0000       76890.00       277.2905    
   217.0000       77694.00       278.7364    
   218.0000       72700.00       269.6294    
   219.0000       71126.00       266.6946    
   220.0000       81666.00       285.7726    
   221.0000       75163.00       274.1587    
   222.0000       76082.00       275.8297    
   223.0000       77778.00       278.8871    
   224.0000       76520.00       276.6225    
   225.0000       76438.00       276.4742    
   226.0000       76643.00       276.8447    
   227.0000       78635.00       280.4193    
   228.0000       76773.00       277.0794    
   229.0000       81390.00       285.2893    
   230.0000       73122.00       270.4108    
   231.0000       75603.00       274.9600    
   232.0000       77803.00       278.9319    
   233.0000       77384.00       278.1798    
   234.0000       76537.00       276.6532    
   235.0000       76591.00       276.7508    
   236.0000       78176.00       279.5997    
   237.0000       76728.00       276.9982    
   238.0000       75513.00       274.7963    
   239.0000       69717.00       264.0398    
   240.0000       81006.00       284.6155    
   241.0000       77942.00       279.1809    
   242.0000       81497.00       285.4768    
   243.0000       78793.00       280.7009    
   244.0000       79206.00       281.4356    
   245.0000       82431.00       287.1080    
   246.0000       80317.00       283.4025    
   247.0000       81703.00       285.8374    
   248.0000       79267.00       281.5439    
   249.0000       85104.00       291.7259    
   250.0000       77682.00       278.7149    
   251.0000       80246.00       283.2773    
   252.0000       82959.00       288.0260    
   253.0000       80740.00       284.1479    
   254.0000       81250.00       285.0439    
   255.0000       80641.00       283.9736    
   256.0000       82802.00       287.7534    
   257.0000       82178.00       286.6671    
   258.0000       77831.00       278.9821    
   259.0000       71544.00       267.4771    
   260.0000       85835.00       292.9761    
   261.0000       84759.00       291.1340    
   262.0000       84112.00       290.0207    
   263.0000       83667.00       289.2525    
   264.0000       84832.00       291.2593    
   265.0000       84822.00       291.2422    
   266.0000       86144.00       293.5030    
