sample v-GeO2 700K                                           19-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12275.00       110.7926    
   1.000000       1396.000       37.36308    
   2.000000       1611.000       40.13726    
   3.000000       1970.000       44.38468    
   4.000000       2768.000       52.61179    
   5.000000       3949.000       62.84107    
   6.000000       4536.000       67.34983    
   7.000000       5565.000       74.59893    
   8.000000       5840.000       76.41989    
   9.000000       6005.000       77.49194    
   10.00000       5661.000       75.23962    
   11.00000       5391.000       73.42343    
   12.00000       5007.000       70.76015    
   13.00000       4358.000       66.01515    
   14.00000       4177.000       64.62971    
   15.00000       3829.000       61.87891    
   16.00000       4157.000       64.47480    
   17.00000       4420.000       66.48308    
   18.00000       5121.000       71.56116    
   19.00000       12257.00       110.7113    
   20.00000       6125.000       78.26238    
   21.00000       6673.000       81.68843    
   22.00000       7129.000       84.43340    
   23.00000       8171.000       90.39359    
   24.00000       24641.00       156.9745    
   25.00000       45129.00       212.4359    
   26.00000       50035.00       223.6850    
   27.00000       53758.00       231.8577    
   28.00000       54883.00       234.2712    
   29.00000       53977.00       232.3295    
   30.00000       47188.00       217.2280    
   31.00000       48067.00       219.2419    
   32.00000       53595.00       231.5059    
   33.00000       56862.00       238.4576    
   34.00000       55580.00       235.7541    
   35.00000       54210.00       232.8304    
   36.00000       59793.00       244.5261    
   37.00000       59574.00       244.0779    
   38.00000       56776.00       238.2771    
   39.00000       53118.00       230.4734    
   40.00000       61191.00       247.3681    
   41.00000       59496.00       243.9180    
   42.00000       60533.00       246.0345    
   43.00000       60858.00       246.6941    
   44.00000       63066.00       251.1295    
   45.00000       64393.00       253.7578    
   46.00000       63343.00       251.6804    
   47.00000       62443.00       249.8860    
   48.00000       62392.00       249.7839    
   49.00000       66656.00       258.1782    
   50.00000       60499.00       245.9654    
   51.00000       63808.00       252.6024    
   52.00000       72032.00       268.3878    
   53.00000       69657.00       263.9261    
   54.00000       72694.00       269.6183    
   55.00000       73951.00       271.9393    
   56.00000       75672.00       275.0854    
   57.00000       76477.00       276.5447    
   58.00000       77397.00       278.2032    
   59.00000       69743.00       264.0890    
   60.00000       84262.00       290.2792    
   61.00000       86108.00       293.4417    
   62.00000       93698.00       306.1013    
   63.00000       93628.00       305.9869    
   64.00000       94935.00       308.1152    
   65.00000       96192.00       310.1483    
   66.00000       95139.00       308.4461    
   67.00000       92475.00       304.0970    
   68.00000       90688.00       301.1445    
   69.00000       98047.00       313.1246    
   70.00000       88715.00       297.8506    
   71.00000       86044.00       293.3326    
   72.00000       85973.00       293.2115    
   73.00000       84279.00       290.3085    
   74.00000       87198.00       295.2931    
   75.00000       81235.00       285.0175    
   76.00000       82214.00       286.7298    
